protocol,baseline,feature_ablation,router_seed,dataset,examples,evidence_recall,precision,mrr,complete_recovery,active_fraction,comparisons,graph_calls,recall_delta_vs_one_shot,corrected_vs_one_shot,harmed_vs_one_shot
lodo_2wikimultihopqa,B0_validation_fixed,default,1,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0_validation_fixed,default,7,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0_validation_fixed,default,21,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0_validation_fixed,default,42,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0_validation_fixed,default,87,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,1,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,7,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,21,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,42,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B0b_structural_graph_fixed,default,87,2wikimultihopqa,24,0.18564814814814815,0.23958333333333334,0.5180238334650099,0.0,0.10355713981967528,125.625,1.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,1,2wikimultihopqa,24,0.1894675925925926,0.23958333333333334,0.5242763772175537,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,7,2wikimultihopqa,24,0.22002314814814816,0.2708333333333333,0.5137671834870111,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,21,2wikimultihopqa,24,0.2134259259259259,0.2604166666666667,0.5922619047619048,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,42,2wikimultihopqa,24,0.22118055555555557,0.28125,0.5419808201058202,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B1_one_shot_no_graph,default,87,2wikimultihopqa,24,0.19918981481481482,0.25,0.5399040435139574,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,1,2wikimultihopqa,24,0.23564814814814816,0.2708333333333333,0.5086276539601348,0.0,0.10355713981967528,125.625,0.16666666666666666,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,7,2wikimultihopqa,24,0.22002314814814816,0.2708333333333333,0.5137671834870111,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,21,2wikimultihopqa,24,0.21828703703703703,0.22916666666666666,0.5259187370600414,0.0,0.10355713981967528,125.625,0.2916666666666667,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,42,2wikimultihopqa,24,0.20902777777777778,0.2604166666666667,0.519707284254698,0.0,0.10355713981967528,125.625,0.08333333333333333,0.0,0.0,0.0
lodo_2wikimultihopqa,B2_one_shot_graph,default,87,2wikimultihopqa,24,0.19918981481481482,0.25,0.5399040435139574,0.0,0.10355713981967528,125.625,0.0,0.0,0.0,0.0
lodo_2wikimultihopqa,B3_callback_no_graph,compact_state,1,2wikimultihopqa,24,0.20613425925925924,0.2604166666666667,0.5086000635886538,0.0,0.10355713981967528,125.625,0.0,0.016666666666666666,0.08333333333333333,0.0
lodo_2wikimultihopqa,B3_callback_no_graph,compact_state,7,2wikimultihopqa,24,0.19918981481481482,0.23958333333333334,0.5203644057092333,0.0,0.10355713981967528,125.625,0.0,-0.020833333333333332,0.0,0.08333333333333333
lodo_2wikimultihopqa,B3_callback_no_graph,compact_state,21,2wikimultihopqa,24,0.20879629629629629,0.25,0.5714285714285714,0.0,0.10355713981967528,125.625,0.0,-0.004629629629629629,0.08333333333333333,0.125
lodo_2wikimultihopqa,B3_callback_no_graph,compact_state,42,2wikimultihopqa,24,0.19918981481481482,0.25,0.5310168080642218,0.0,0.10355713981967528,125.625,0.0,-0.02199074074074074,0.0,0.125
