comparison,left_condition,left_selector_profile,mean_delta,metric,paired_examples,regime,right_condition,right_selector_profile,selector_profile,status
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,official_multihop_rag_score,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,physical_context_tokens,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,visible_prompt_tokens,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,selected_native_kv_tokens,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,ttft_ms,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,total_latency_ms,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,tokens_per_second,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,active_detail_bytes,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,peak_memory_bytes,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,temporary_allocation_bytes,0,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,exact_match,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,token_f1,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,official_multihop_rag_score,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,physical_context_tokens,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,visible_prompt_tokens,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,selected_native_kv_tokens,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,ttft_ms,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,total_latency_ms,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,tokens_per_second,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,active_detail_bytes,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,peak_memory_bytes,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
selected_strong_vs_strong_conventional,NO_PRA_STANDARD_RAG,strong_conventional_reranker,,temporary_allocation_bytes,0,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,strong_conventional_reranker,NOT_MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,exact_match,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,token_f1,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,official_multihop_rag_score,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,physical_context_tokens,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-121.46666666666667,visible_prompt_tokens,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,121.46666666666667,selected_native_kv_tokens,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,1.0917363998790581,ttft_ms,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,5.36005039466545,total_latency_ms,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-2.7615085090358122,tokens_per_second,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,13930769.066666666,active_detail_bytes,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,peak_memory_bytes,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-44152840.53333333,temporary_allocation_bytes,15,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,exact_match,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,token_f1,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,official_multihop_rag_score,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,0.0,physical_context_tokens,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-121.46666666666667,visible_prompt_tokens,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,121.46666666666667,selected_native_kv_tokens,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-64.73844159627333,ttft_ms,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-60.11141932103783,total_latency_ms,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,47.00868922968339,tokens_per_second,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,13930769.066666666,active_detail_bytes,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-129645044.46666667,peak_memory_bytes,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_generic,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,-144436664.73333332,temporary_allocation_bytes,15,WARM,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_generic,pra_generic,MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,exact_match,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,token_f1,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,official_multihop_rag_score,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,physical_context_tokens,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,visible_prompt_tokens,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
native_vs_selected_strong,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_strong_reranker,,selected_native_kv_tokens,0,COLD,PRA_NATIVE_MEMORY_NO_ADAPTOR,pra_strong_reranker,pra_strong_reranker,NOT_MEASURED
