dataset,condition,examples,candidate_chunks,index_construction_ms,cached_routing_ms,cached_routing_p95_ms,index_bytes,index_bytes_per_chunk,native_dots,low_rank_dots,lexical_scoring_ms,materialized_native_kv_tokens,active_memory_fraction,backing_native_kv_bytes,transfer_bytes,evidence_recall,evidence_precision,any_evidence,chain_completion,mrr
2wikimultihopqa,approximate,20,55.0,14.96589498128742,12.885074000805616,13.84809500304982,36030.55,657.7859505270507,0.0,0.0,12.885074000805616,128.0,0.0884853679170077,7154892.8,524288.0,0.281984126984127,0.35,0.8,0.2,0.575
2wikimultihopqa,bm25,20,55.0,14.96589498128742,12.767153501044959,13.532074983231723,36030.55,657.7859505270507,0.0,0.0,12.767153501044959,127.05,0.08759668690671771,7154892.8,520396.8,0.2655952380952381,0.325,0.8,0.15,0.6291666666666667
2wikimultihopqa,exact,20,55.0,14.96589498128742,12.851304996293038,13.566040014848113,36030.55,657.7859505270507,0.0,0.0,12.851304996293038,128.0,0.0884853679170077,7154892.8,524288.0,0.33365079365079364,0.4125,0.9,0.2,0.6125
2wikimultihopqa,inherited_hybrid,20,55.0,14.96589498128742,12.948157001519576,13.840579986572266,36030.55,657.7859505270507,0.0,0.0,12.948157001519576,122.0,0.08313219152532718,7154892.8,499712.0,0.12400793650793651,0.1625,0.55,0.05,0.3416666666666667
2wikimultihopqa,native_mean,20,55.0,5.442215001676232,1.9239884987473488,2.232719981111586,225335.0,4097.0,880.0,0.0,0.0,121.0,0.08259395231687372,7154892.8,495616.0,0.08555555555555555,0.1125,0.4,0.1,0.1875
2wikimultihopqa,rank16_retrained,20,55.0,2.460769994650036,1.4356125076301396,1.6312249936163425,114400.0,2080.0,0.0,28160.0,0.0,128.0,0.0884853679170077,7154892.8,524288.0,0.11777777777777779,0.1625,0.5,0.05,0.33333333333333337
2wikimultihopqa,rank8_centroid8_retrained,20,55.0,705.8291550376453,1.3205559947527945,1.4716599718667567,14520.0,264.0,0.0,3520.0,0.0,125.9,0.08616811297418128,7154892.8,515686.4,0.1365873015873016,0.175,0.6,0.05,0.4083333333333333
musique,approximate,20,79.45,21.788850019220263,20.96749351010658,21.944009966682643,61932.4,779.6799269659996,0.0,0.0,20.96749351010658,125.65,0.052284753257727676,10345881.6,514662.4,0.13225137943673412,0.275,0.75,0.25,0.675
musique,bm25,20,79.45,21.788850019220263,21.0241610056255,21.773809974547476,61932.4,779.6799269659996,0.0,0.0,21.0241610056255,128.0,0.05346406343130171,10345881.6,524288.0,0.15259133696204635,0.3375,0.95,0.3,0.7416666666666667
musique,exact,20,79.45,21.788850019220263,20.982335503213108,21.86975998338312,61932.4,779.6799269659996,0.0,0.0,20.982335503213108,126.65,0.052762764730003006,10345881.6,518758.4,0.13776419994955463,0.3,0.9,0.25,0.7083333333333333
musique,inherited_hybrid,20,79.45,21.788850019220263,21.17956449277699,22.310364968143404,61932.4,779.6799269659996,0.0,0.0,21.17956449277699,126.45,0.052719229216981675,10345881.6,517939.2,0.09405207873743343,0.1875,0.7,0.15,0.4625
musique,native_mean,20,79.45,4.549494979437441,2.619943005265668,2.9490850283764303,325506.65,4097.0,1271.2,0.0,0.0,125.4,0.05228942979004757,10345881.6,513638.4,0.08421596233667172,0.1875,0.6,0.15,0.3416666666666667
musique,rank16_retrained,20,79.45,3.9536650059744716,1.649360996671021,1.8544150167144835,165256.0,2080.0,0.0,40678.4,0.0,128.0,0.05346406343130171,10345881.6,524288.0,0.06208467257380301,0.1375,0.45,0.15,0.20833333333333334
musique,rank8_centroid8_retrained,20,79.45,1223.7164749996737,1.528434498468414,1.7308499780483544,20974.8,264.0,0.0,5084.8,0.0,122.65,0.05113980240579484,10345881.6,502374.4,0.08278288740245263,0.1625,0.45,0.2,0.3458333333333333
