geometry,test_mean_k,test_recall_at_1,test_recall_at_4,test_success,test_test_edges,validation_mean_k,validation_success,validation_threshold
parent_semantic,4.0,0.11428571428571428,0.6857142857142857,0.6857142857142857,35,4.0,0.82,0.21545185148715973
local_semantic,3.8285714285714287,0.2571428571428571,0.6857142857142857,0.6571428571428571,35,4.0,0.78,0.2134731411933899
native_qk,3.5714285714285716,0.2857142857142857,0.7142857142857143,0.7142857142857143,7,3.7,0.8,0.04584503173828125
