complete_oracle,dataset,evidence_group_chain,fraction,materialized_kv_fraction,materialized_kv_tokens,method,native_qk_dot_products,oracle_jaccard,oracle_precision,oracle_recall,routing_comparisons,rows,semantic_gist_comparisons
0.675,qasper,0.7,0.1,0.13492453765021833,596.1125,parent_closure,0.0,0.39375,0.4125,0.7375,46.0625,80,46.0625
0.7625,qasper,0.775,0.2,0.23172774999225684,1042.8625,local_gist_closure,0.0,0.2626225490196078,0.2711458333333333,0.82875,540.0,80,540.0
0.725,qasper,0.7625,0.2,0.23116458142024512,1039.775,native_qk_max_topk_p20,1949958.4,0.24958333333333332,0.2558333333333333,0.79375,1950498.4,80,540.0
0.7125,qasper,0.75,0.2,0.23112337785955384,1041.275,native_qk_top4_topk_p20,1949958.4,0.24115196078431372,0.24697916666666667,0.77,1950498.4,80,540.0
0.7375,qasper,0.75,0.2,0.2307262449618377,1035.975,one_shot_parent,0.0,0.25909313725490196,0.26989583333333333,0.8125,18.1875,80,18.1875
0.7375,qasper,0.7625,0.2,0.2307067640026462,1037.2875,parent_closure,0.0,0.260343137254902,0.27156250000000004,0.81875,66.5625,80,66.5625
0.7625,qasper,0.8,0.3,0.3362340002116957,1509.1625,local_gist_closure,0.0,0.18422619047619046,0.19040178571428573,0.84375,689.375,80,689.375
0.75,qasper,0.7875,0.3,0.33647624802137716,1511.5625,native_qk_max_topk_p20,2971942.4,0.18110119047619047,0.18727678571428572,0.83125,2972631.775,80,689.375
0.7375,qasper,0.775,0.3,0.33665551169632635,1511.6,native_qk_top4_topk_p20,2971942.4,0.17982142857142858,0.1866517857142857,0.82125,2972631.775,80,689.375
0.775,qasper,0.8125,0.3,0.3370090783272818,1512.8625,one_shot_parent,0.0,0.18845238095238095,0.19501488095238095,0.8574999999999999,18.1875,80,18.1875
0.75,qasper,0.7625,0.3,0.33665169306282716,1510.9875,parent_closure,0.0,0.18072916666666666,0.18675595238095238,0.825,85.625,80,85.625
0.8,qasper,0.825,0.4,0.430279674327223,1936.8,local_gist_closure,0.0,0.15112522742957527,0.15535443722943723,0.8724999999999999,833.5,80,833.5
0.8,qasper,0.825,0.4,0.4305081810092197,1938.775,native_qk_max_topk_p20,4045369.6,0.15055414392370914,0.15411931818181818,0.85875,4046203.1,80,833.5
0.8,qasper,0.825,0.4,0.4296045182326482,1934.7375,native_qk_top4_topk_p20,4045369.6,0.15055414392370914,0.15411931818181818,0.85875,4046203.1,80,833.5
0.8,qasper,0.8375,0.4,0.43099234104029926,1937.8,one_shot_parent,0.0,0.1538653812974465,0.1582260101010101,0.87375,18.1875,80,18.1875
0.7875,qasper,0.8,0.4,0.4310934239130583,1939.9125,parent_closure,0.0,0.14704049422799423,0.15032918470418472,0.85,104.0,80,104.0
