budget_parents,complete_oracle,dataset,evidence_group_chain,example_id,fraction,materialized_kv_fraction,materialized_kv_tokens,method,native_qk_dot_products,oracle_feasible,oracle_jaccard,oracle_parent_ids,oracle_precision,oracle_recall,oracle_size,routing_comparisons,seed,selected_parent_ids,semantic_gist_comparisons
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,one_shot_parent,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,parent_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,local_gist_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,44.0,11,[3],44
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.05,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,one_shot_parent,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,parent_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,local_gist_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,44.0,11,[3],44
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.1,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,one_shot_parent,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,parent_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,5.0,11,[3],5
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,local_gist_closure,0,0.0,0.0,"[2, 4]",0.0,0.0,2,44.0,11,[3],44
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,native_qk_max_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
1,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.2,0.21035332785538208,256,native_qk_top4_topk_p20,0,0.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,[3],83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.3,0.3689400164338537,449,one_shot_parent,0,1.0,0.3333333333333333,"[2, 4]",0.5,0.5,2,5.0,11,"[3, 4]",5
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,parent_closure,0,1.0,0.0,"[2, 4]",0.0,0.0,2,10.0,11,"[0, 3]",10
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,local_gist_closure,0,1.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,"[0, 3]",83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,native_qk_max_topk_p20,131072,1.0,0.0,"[2, 4]",0.0,0.0,2,131155.0,11,"[0, 3]",83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.3,0.42070665571076415,512,native_qk_top4_topk_p20,131072,1.0,0.0,"[2, 4]",0.0,0.0,2,131155.0,11,"[0, 3]",83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.4,0.3689400164338537,449,one_shot_parent,0,1.0,0.3333333333333333,"[2, 4]",0.5,0.5,2,5.0,11,"[3, 4]",5
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,parent_closure,0,1.0,0.0,"[2, 4]",0.0,0.0,2,10.0,11,"[0, 3]",10
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,local_gist_closure,0,1.0,0.0,"[2, 4]",0.0,0.0,2,83.0,11,"[0, 3]",83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,native_qk_max_topk_p20,131072,1.0,0.0,"[2, 4]",0.0,0.0,2,131155.0,11,"[0, 3]",83
2,0.0,hotpotqa,0.0,5adc3aff5542996e685252eb,0.4,0.42070665571076415,512,native_qk_top4_topk_p20,131072,1.0,0.0,"[2, 4]",0.0,0.0,2,131155.0,11,"[0, 3]",83
1,0.0,hotpotqa,0.0,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,one_shot_parent,0,0.0,0.0,"[0, 3]",0.0,0.0,2,5.0,11,[2],5
1,0.0,hotpotqa,0.0,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,parent_closure,0,0.0,0.0,"[0, 3]",0.0,0.0,2,5.0,11,[2],5
1,0.0,hotpotqa,0.0,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,local_gist_closure,0,0.0,0.0,"[0, 3]",0.0,0.0,2,45.0,11,[2],45
1,0.0,hotpotqa,0.0,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,native_qk_max_topk_p20,0,0.0,0.0,"[0, 3]",0.0,0.0,2,85.0,11,[2],85
1,0.0,hotpotqa,0.0,5ab56db7554299494045efc6,0.05,0.2014162077104642,256,native_qk_top4_topk_p20,0,0.0,0.0,"[0, 3]",0.0,0.0,2,85.0,11,[2],85
