dataset,condition,examples,evidence_recall,precision,mrr,path_completion,requested_chunks,requested_token_budget,mean_graph_ms,mean_cluster_ms,mean_routing_ms,mean_graph_facets,mean_graph_edges,mean_graph_calls,mean_graph_density,mean_facet_overlap,mean_pairwise_similarity_evaluations
hotpotqa,embedding_kmeans,16,0.16741071428571427,0.203125,0.29166666666666663,0.0,4.0,128.0,0.0,0.0,3.9312875305768102,0.0,0.0,0.0,0.0,0.0,0.0
hotpotqa,graph_cc,16,0.23363095238095236,0.28125,0.35416666666666663,0.0,4.0,128.0,35.71795005700551,34.483856230508536,74.67565000115428,2.4375,58.375,1.0,0.15864070200510108,0.0,524.25
hotpotqa,graph_label_propagation,16,0.1513392857142857,0.1875,0.34375,0.0,4.0,128.0,15.574331249808893,95.39241877791937,114.88470633048564,5.9375,58.375,1.0,0.15864070200510108,0.0,524.25
hotpotqa,syntactic_graph,16,0.21220238095238092,0.25,0.328125,0.0,4.0,128.0,13.393762477790006,22.096018714364618,40.09779368061572,3.4375,58.375,1.0,0.15864070200510108,0.4416666666666666,524.25
hotpotqa,paper26_bm25,16,0.3977678571428572,0.453125,0.875,0.0,4.0,128.0,0.0,0.0,28.61121874593664,0.0,0.0,0.0,0.0,0.0,0.0
hotpotqa,paper26_hybrid,16,0.2875,0.34375,0.6354166666666666,0.0,4.0,128.0,0.0,0.0,28.247149966773577,0.0,0.0,0.0,0.0,0.0,0.0
hotpotqa,graph_cc_hybrid,16,0.303125,0.359375,0.6041666666666666,0.0,4.0,128.0,35.71795005700551,34.483856230508536,98.04862503369804,2.4375,58.375,1.0,0.15864070200510108,0.0,524.25
hotpotqa,graph_label_propagation_hybrid,16,0.2875,0.34375,0.6458333333333333,0.0,4.0,128.0,15.574331249808893,95.39241877791937,137.64620007714257,5.9375,58.375,1.0,0.15864070200510108,0.0,524.25
hotpotqa,syntactic_graph_hybrid,16,0.303125,0.359375,0.6041666666666666,0.0,4.0,128.0,13.393762477790006,22.096018714364618,62.9508436541073,3.4375,58.375,1.0,0.15864070200510108,0.4416666666666666,524.25
2wikimultihopqa,global_semantic,24,0.13182870370370373,0.1875,0.3020833333333333,0.0,4.0,128.0,0.0,0.0,5.418724981912722,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,paper25_multiscale,24,0.1693287037037037,0.20833333333333334,0.5972222222222222,0.0,4.0,128.0,0.0,0.0,4.855862469412386,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,paper25_clause,24,0.15578703703703703,0.1875,0.40277777777777773,0.0,4.0,128.0,0.0,0.0,5.470812534137319,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,embedding_kmeans,24,0.14872685185185186,0.1875,0.3993055555555556,0.0,4.0,128.0,0.0,0.0,4.966108322453995,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,graph_cc,24,0.17453703703703705,0.20833333333333334,0.4583333333333333,0.0,4.0,128.0,17.465041669008013,22.606412501772866,44.820858301439635,1.9166666666666667,46.583333333333336,1.0,0.19811657748984265,0.0,287.75
2wikimultihopqa,graph_label_propagation,24,0.1519675925925926,0.21875,0.37847222222222215,0.0,4.0,128.0,16.353120843026165,70.11357919933896,90.72315420295733,4.25,46.583333333333336,1.0,0.19811657748984265,0.0,287.75
2wikimultihopqa,syntactic_graph,24,0.17453703703703705,0.20833333333333334,0.4583333333333333,0.0,4.0,128.0,11.840479128295556,19.24890829832293,35.478424930867426,2.9166666666666665,46.583333333333336,1.0,0.19811657748984265,0.563888888888889,287.75
2wikimultihopqa,paper26_bm25,24,0.26168981481481485,0.3125,0.6111111111111112,0.0,4.0,128.0,0.0,0.0,16.93999165824304,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,paper26_hybrid,24,0.20335648148148147,0.25,0.46527777777777773,0.0,4.0,128.0,0.0,0.0,17.331441670345765,0.0,0.0,0.0,0.0,0.0,0.0
2wikimultihopqa,graph_cc_hybrid,24,0.20335648148148147,0.25,0.4444444444444446,0.0,4.0,128.0,17.465041669008013,22.606412501772866,58.421508312070124,1.9166666666666667,46.583333333333336,1.0,0.19811657748984265,0.0,287.75
2wikimultihopqa,graph_label_propagation_hybrid,24,0.19953703703703704,0.23958333333333334,0.4791666666666667,0.0,4.0,128.0,16.353120843026165,70.11357919933896,106.56138337799348,4.25,46.583333333333336,1.0,0.19811657748984265,0.0,287.75
2wikimultihopqa,syntactic_graph_hybrid,24,0.20335648148148147,0.25,0.4444444444444446,0.0,4.0,128.0,11.840479128295556,19.24890829832293,49.67278331362953,2.9166666666666665,46.583333333333336,1.0,0.19811657748984265,0.563888888888889,287.75
musique,global_semantic,18,0.10842444592444593,0.3333333333333333,0.5462962962962963,0.0,4.0,128.0,0.0,0.0,4.270977806299925,0.0,0.0,0.0,0.0,0.0,0.0
musique,paper25_multiscale,18,0.10881595256595256,0.3055555555555556,0.5,0.0,4.0,128.0,0.0,0.0,4.362466615728206,0.0,0.0,0.0,0.0,0.0,0.0
musique,paper25_clause,18,0.10242997742997742,0.3055555555555556,0.4444444444444444,0.0,4.0,128.0,0.0,0.0,4.000183311291039,0.0,0.0,0.0,0.0,0.0,0.0
musique,embedding_kmeans,18,0.08756174381174381,0.2361111111111111,0.32870370370370366,0.0,4.0,128.0,0.0,0.0,4.848811051083936,0.0,0.0,0.0,0.0,0.0,0.0
musique,graph_cc,18,0.08981042106042104,0.25,0.4305555555555556,0.0,4.0,128.0,15.340322253501249,23.73236667416576,43.079111143015325,2.2222222222222223,75.0,1.0,0.1228893609581869,0.0,796.0
musique,graph_label_propagation,18,0.1108053983053983,0.3333333333333333,0.5046296296296295,0.0,4.0,128.0,15.773316690077385,89.10901671172016,109.49213893359735,7.0,75.0,1.0,0.1228893609581869,0.0,796.0
musique,syntactic_graph,18,0.09169534169534169,0.2638888888888889,0.4583333333333333,0.0,4.0,128.0,12.442850029199487,23.69825560082164,40.08974453123907,3.7777777777777777,75.88888888888889,1.3333333333333333,0.12353849973148587,0.3839947089947089,570.0
musique,paper26_bm25,18,0.13214759777259777,0.4305555555555556,0.7962962962962963,0.0,4.0,128.0,0.0,0.0,51.01324444533222,0.0,0.0,0.0,0.0,0.0,0.0
musique,paper26_hybrid,18,0.15068646631146634,0.5,0.8055555555555556,0.0,4.0,128.0,0.0,0.0,55.68644444509927,0.0,0.0,0.0,0.0,0.0,0.0
musique,graph_cc_hybrid,18,0.1429318366818367,0.4722222222222222,0.7916666666666666,0.0,4.0,128.0,15.340322253501249,23.73236667416576,94.23458338197734,2.2222222222222223,75.0,1.0,0.1228893609581869,0.0,796.0
musique,graph_label_propagation_hybrid,18,0.15185659248159253,0.4861111111111111,0.8055555555555556,0.0,4.0,128.0,15.773316690077385,89.10901671172016,159.25090555619033,7.0,75.0,1.0,0.1228893609581869,0.0,796.0
musique,syntactic_graph_hybrid,18,0.1429318366818367,0.4722222222222222,0.7916666666666666,0.0,4.0,128.0,12.442850029199487,23.69825560082164,94.01670562672533,3.7777777777777777,75.88888888888889,1.3333333333333333,0.12353849973148587,0.3839947089947089,570.0
