all_evidence,alpha,any_evidence,candidate_overlap,candidate_proposals,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,examples_x_seeds,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,path_score,relational_gap,routing_seconds,selected_fraction,selected_unique_chunks,unique_parents
0.0,0.25,0.425,0.1109375,5.125,hotpotqa,2,0.4475161868360398,0.6875,0.12011904761904761,80,0.05,direct,149.8125,0.25,0.26666666666666666,0.05743785526468975,91.2625,iterative,product,1.0475319528615192,0.002711994996207068,0.05736640324168615,2.875,2.075
0.0,0.0,0.6,0.1897392290249433,12.625,hotpotqa,2,0.4475161868360398,2.95,0.18619047619047618,80,0.1,direct,219.5625,0.35,0.36,0.10635651439538352,169.025,iterative,product,1.0475319528615192,0.004502483751275576,0.10586188000599997,5.3125,2.3125
0.0,0.25,0.7,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.21148809523809523,80,0.1,direct,219.5625,0.4,0.4266666666666667,0.10575188659212165,168.25,iterative,direct,1.0475319528615192,0.0034230849967570977,0.10586188000599997,5.3125,2.8
0.0,0.25,0.7375,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.2086904761904762,80,0.1,direct,219.5625,0.4125,0.4266666666666667,0.10630970093048378,168.95,iterative,last,1.0475319528615192,0.0034265137488546315,0.10586188000599997,5.3125,2.4875
0.0,0.25,0.6625,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.2024404761904762,80,0.1,direct,219.5625,0.375,0.4,0.10623409872617787,168.9125,iterative,logsum,1.0475319528615192,0.0035026212521188428,0.10586188000599997,5.3125,2.275
0.0,0.25,0.7,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.2076488095238095,80,0.1,direct,219.5625,0.4125,0.41333333333333333,0.10623409872617787,168.9125,iterative,mean,1.0475319528615192,0.0033436700010497588,0.10586188000599997,5.3125,2.35
0.0,0.25,0.65,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.20038690476190477,80,0.1,direct,219.5625,0.4,0.37333333333333335,0.10635961536288538,169.0375,iterative,min,1.0475319528615192,0.003381490000174381,0.10586188000599997,5.3125,2.0625
0.0,0.25,0.6625,0.23732107426303856,12.625,hotpotqa,2,0.4475161868360398,3.475,0.2024404761904762,80,0.1,direct,219.5625,0.375,0.4,0.10623409872617787,168.9125,iterative,product,1.0475319528615192,0.0033994649980741086,0.10586188000599997,5.3125,2.275
0.0,0.25,0.7375,0.0,5.75,hotpotqa,2,0.4475161868360398,0.0,0.2100297619047619,80,0.1,mean,100.25,0.4,0.4533333333333333,0.10590050126823855,168.4625,iterative,product,1.0475319528615192,0.002784902502025943,0.10586188000599997,5.3125,2.0
0.0125,0.25,0.7125,0.3770656179138322,12.625,hotpotqa,2,0.4475161868360398,4.9375,0.20348214285714286,80,0.1,residual,219.5625,0.375,0.44,0.10606486959207247,168.725,iterative,product,1.0475319528615192,0.004011488751712022,0.10586188000599997,5.3125,2.35
0.0,0.25,0.7375,0.0,5.75,hotpotqa,2,0.4475161868360398,0.0,0.2100297619047619,80,0.1,weighted_mean,100.25,0.4,0.4533333333333333,0.10590050126823855,168.4625,iterative,product,1.0475319528615192,0.002968078748381231,0.10586188000599997,5.3125,2.0
0.0125,0.5,0.7,0.3332925878684807,12.625,hotpotqa,2,0.4475161868360398,4.45,0.20910714285714285,80,0.1,direct,219.5625,0.375,0.4266666666666667,0.10606486959207247,168.725,iterative,product,1.0475319528615192,0.0033963574955123478,0.10586188000599997,5.3125,2.3125
0.0125,0.75,0.7375,0.45106823979591837,12.625,hotpotqa,2,0.4475161868360398,5.5625,0.21785714285714283,80,0.1,direct,219.5625,0.3875,0.4533333333333333,0.10600764264635631,168.6375,iterative,product,1.0475319528615192,0.0033857212481962053,0.10586188000599997,5.3125,2.2875
0.0125,1.0,0.7,0.6108630952380952,12.625,hotpotqa,2,0.4475161868360398,6.875,0.20711309523809524,80,0.1,direct,219.5625,0.3625,0.44,0.10462684187874553,166.625,iterative,product,1.0475319528615192,0.00340597625108785,0.10586188000599997,5.3125,2.0
0.025,0.25,0.875,0.47452052095493025,38.5,hotpotqa,2,0.4475161868360398,19.7375,0.32279761904761906,80,0.2,direct,363.4375,0.5125,0.5466666666666666,0.20679999533382154,328.1625,iterative,product,1.0475319528615192,0.005596854998293566,0.2072174780270652,10.375,2.75
0.1125,0.25,0.9625,0.6561033352142539,82.0,hotpotqa,2,0.4475161868360398,54.0375,0.4783928571428572,80,0.3,direct,517.9375,0.6625,0.64,0.307662907018574,487.9125,iterative,product,1.0475319528615192,0.008077881252393126,0.30861366046371486,15.4375,3.1625
0.0,0.25,0.375,0.016666666666666666,3.875,hotpotqa,3,0.4475161868360398,0.2125,0.11324404761904763,80,0.05,direct,165.5625,0.2125,0.25333333333333335,0.05748776969709135,91.35,iterative,product,1.0475319528615192,0.00271925250053755,0.05736640324168615,2.875,2.5375
0.0,0.25,0.6625,0.16497916666666668,11.5625,hotpotqa,3,0.4475161868360398,2.3875,0.20508928571428572,80,0.1,direct,273.0,0.3625,0.4266666666666667,0.10640184343038175,169.175,iterative,product,1.0475319528615192,0.003804003747791285,0.10586188000599997,5.3125,2.95
0.025,0.25,0.8875,0.3660920138888889,38.375,hotpotqa,3,0.4475161868360398,16.1875,0.3293154761904762,80,0.2,direct,501.375,0.5625,0.5466666666666666,0.20726865581090625,329.0125,iterative,product,1.0475319528615192,0.006521355004224461,0.2072174780270652,10.375,4.05
0.05,0.25,0.95,0.5040848690191067,71.6875,hotpotqa,3,0.4475161868360398,40.15,0.4625595238095238,80,0.3,direct,676.75,0.625,0.7066666666666667,0.3088991362416184,489.6,iterative,product,1.0475319528615192,0.009126785003900295,0.30861366046371486,15.4375,5.1
0.0,0.25,0.375,0.003125,3.3125,hotpotqa,4,0.4475161868360398,0.0375,0.11324404761904763,80,0.05,direct,169.4375,0.2,0.26666666666666666,0.05748776969709135,91.35,iterative,product,1.0475319528615192,0.0028853362491645385,0.05736640324168615,2.875,2.6875
0.0,0.25,0.6125,0.10130208333333332,10.1875,hotpotqa,4,0.4475161868360398,1.6625,0.19321428571428573,80,0.1,direct,303.25,0.3625,0.38666666666666666,0.10640184343038175,169.175,iterative,product,1.0475319528615192,0.004344540000602137,0.10586188000599997,5.3125,3.775
