all_evidence_ci95,all_evidence_mean,all_evidence_std,alpha,any_evidence_ci95,any_evidence_mean,any_evidence_std,dataset,depth,evidence_coverage_ci95,evidence_coverage_mean,evidence_coverage_std,fraction,frontier,method,path_score,seeds
0.0,0.0,0.0,0.25,0.13879999999999998,0.425,0.11180339887498948,hotpotqa,2,0.03719655966950661,0.12011904761904761,0.029961828512299674,0.05,direct,iterative,product,5
0.0,0.0,0.0,0.0,0.1409520663204339,0.6,0.11353688827865593,hotpotqa,2,0.04336504522954831,0.18619047619047618,0.03493054358091607,0.1,direct,iterative,product,5
0.0,0.0,0.0,0.25,0.10116701537556595,0.7,0.08149003006503311,hotpotqa,2,0.04706139341569432,0.21148809523809523,0.03790795201489681,0.1,direct,iterative,direct,5
0.0,0.0,0.0,0.25,0.14925034338318957,0.7375,0.12022115038544591,hotpotqa,2,0.049181690229459694,0.2086904761904762,0.03961585108119925,0.1,direct,iterative,last,5
0.0,0.0,0.0,0.25,0.11767342520722338,0.6625,0.09478594305064438,hotpotqa,2,0.043179539303093976,0.2024404761904762,0.03478111855866068,0.1,direct,iterative,logsum,5
0.0,0.0,0.0,0.25,0.1274959411118644,0.7,0.10269797953221865,hotpotqa,2,0.03880866520997364,0.2076488095238095,0.03126037951207933,0.1,direct,iterative,mean,5
0.0,0.0,0.0,0.25,0.08846798856083482,0.65,0.07126096406869613,hotpotqa,2,0.025047201224335132,0.20038690476190477,0.020175520383187796,0.1,direct,iterative,min,5
0.0,0.0,0.0,0.25,0.11767342520722338,0.6625,0.09478594305064438,hotpotqa,2,0.043179539303093976,0.2024404761904762,0.03478111855866068,0.1,direct,iterative,product,5
0.0,0.0,0.0,0.25,0.10116701537556595,0.7375,0.08149003006503311,hotpotqa,2,0.044232373957909826,0.2100297619047619,0.03562917686458134,0.1,mean,iterative,product,5
0.034699999999999995,0.0125,0.02795084971874737,0.25,0.11767342520722338,0.7125,0.09478594305064438,hotpotqa,2,0.04862581931789668,0.20348214285714286,0.03916809706644073,0.1,residual,iterative,product,5
0.0,0.0,0.0,0.25,0.10116701537556595,0.7375,0.08149003006503311,hotpotqa,2,0.044232373957909826,0.2100297619047619,0.03562917686458134,0.1,weighted_mean,iterative,product,5
0.034699999999999995,0.0125,0.02795084971874737,0.5,0.10116701537556595,0.7,0.08149003006503311,hotpotqa,2,0.04559931535077236,0.20910714285714285,0.03673024814545269,0.1,direct,iterative,product,5
