all_evidence,alpha,any_evidence,budget,candidate_chunks,candidate_overlap,candidate_proposals,chain_completion,chain_feasible,dataset,depth,direct_mrr,duplicate_proposals,evidence_coverage,exact_all_feasible,example_id,fraction,frontier,gist_comparisons,hop1_recall,hop2_recall,materialized_kv_fraction,materialized_kv_tokens,method,oracle_chain_completion,oracle_exact_all,path_score,relational_gap,routing_seconds,seed,selected_fraction,selected_unique_chunks,stop_reason,unique_parents
0.0,0.0,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.003148999996483326,11,0.10256410256410256,4,unique_budget,2
0.0,0.5,1.0,4,39,0.25,6,0.0,1.0,hotpotqa,2,0.3333333333333333,1,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.0029613000224344432,11,0.10256410256410256,4,unique_budget,2
0.0,0.75,1.0,4,39,0.5,6,0.0,1.0,hotpotqa,2,0.3333333333333333,2,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.0019302999717183411,11,0.10256410256410256,4,unique_budget,2
0.0,1.0,1.0,4,39,0.5,6,0.0,1.0,hotpotqa,2,0.3333333333333333,2,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.002878400031477213,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.5,6,0.0,1.0,hotpotqa,2,0.3333333333333333,2,0.25,1.0,5adc3aff5542996e685252eb,0.1,residual,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.003066500008571893,11,0.10256410256410256,4,unique_budget,3
0.0,0.25,1.0,4,39,0.0,4,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,mean,78,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.0032376000308431685,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.0,4,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,weighted_mean,78,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,product,0.634968101978302,0.0022362000308930874,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,logsum,0.634968101978302,0.0019664999563246965,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,last,0.634968101978302,0.002749399980530143,11,0.10256410256410256,4,unique_budget,3
0.0,0.25,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,min,0.634968101978302,0.0031845999765209854,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,mean,0.634968101978302,0.00283140002284199,11,0.10256410256410256,4,unique_budget,2
0.0,0.25,1.0,4,39,0.0,6,0.0,1.0,hotpotqa,2,0.3333333333333333,0,0.25,1.0,5adc3aff5542996e685252eb,0.1,direct,117,1.0,0.0,0.10517666392769104,128,iterative,1.0,1.0,direct,0.634968101978302,0.0019200999522581697,11,0.10256410256410256,4,unique_budget,3
0.0,1.0,1.0,2,40,0.0,2,0.0,1.0,hotpotqa,1,1.0,0,0.25,0.0,5ab56db7554299494045efc6,0.05,direct,40,0.0,1.0,0.05035405192761605,64,one_shot,1.0,0.0,direct,1.2364094518125057,0.0009235999896191061,11,0.05,2,unique_budget,1
0.0,0.25,1.0,2,40,0.0,2,0.0,1.0,hotpotqa,2,1.0,0,0.25,0.0,5ab56db7554299494045efc6,0.05,direct,80,0.0,1.0,0.05035405192761605,64,iterative,1.0,0.0,product,1.2364094518125057,0.001442600041627884,11,0.05,2,unique_budget,2
0.0,0.25,1.0,2,40,0.0,2,0.0,1.0,hotpotqa,3,1.0,0,0.25,0.0,5ab56db7554299494045efc6,0.05,direct,80,0.0,1.0,0.05035405192761605,64,iterative,1.0,0.0,product,1.2364094518125057,0.002392300055362284,11,0.05,2,unique_budget,2
0.0,0.25,1.0,2,40,0.0,2,0.0,1.0,hotpotqa,4,1.0,0,0.25,0.0,5ab56db7554299494045efc6,0.05,direct,80,0.0,1.0,0.05035405192761605,64,iterative,1.0,0.0,product,1.2364094518125057,0.0016810999950394034,11,0.05,2,unique_budget,2
0.0,1.0,1.0,4,40,0.0,4,0.0,1.0,hotpotqa,1,1.0,0,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,40,0.0,1.0,0.1007081038552321,128,one_shot,1.0,1.0,direct,1.2364094518125057,0.001103999966289848,11,0.1,4,unique_budget,1
0.0,0.25,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,2,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.001943600014783442,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,3,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0018405999871902168,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.0,4,0.0,1.0,hotpotqa,4,1.0,0,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,160,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.002824300026986748,11,0.1,4,unique_budget,4
0.0,1.0,1.0,8,40,0.0,8,0.0,1.0,hotpotqa,1,1.0,0,0.25,1.0,5ab56db7554299494045efc6,0.2,direct,40,0.0,1.0,0.2014162077104642,256,one_shot,1.0,1.0,direct,1.2364094518125057,0.001421900000423193,11,0.2,8,unique_budget,1
0.0,0.25,1.0,8,40,0.375,20,1.0,1.0,hotpotqa,2,1.0,6,0.5,1.0,5ab56db7554299494045efc6,0.2,direct,200,1.0,1.0,0.2014162077104642,256,iterative,1.0,1.0,product,1.2364094518125057,0.0036368999863043427,11,0.2,8,unique_budget,2
0.0,0.25,1.0,8,40,0.3333333333333333,21,1.0,1.0,hotpotqa,3,1.0,6,0.5,1.0,5ab56db7554299494045efc6,0.2,direct,280,1.0,1.0,0.2014162077104642,256,iterative,1.0,1.0,product,1.2364094518125057,0.0038029999705031514,11,0.2,8,unique_budget,3
0.0,0.25,1.0,8,40,0.25,14,1.0,1.0,hotpotqa,4,1.0,3,0.5,1.0,5ab56db7554299494045efc6,0.2,direct,280,1.0,1.0,0.2014162077104642,256,iterative,1.0,1.0,product,1.2364094518125057,0.006113299983553588,11,0.2,8,unique_budget,4
0.0,1.0,1.0,12,40,0.0,12,1.0,1.0,hotpotqa,1,1.0,0,0.75,1.0,5ab56db7554299494045efc6,0.3,direct,40,1.0,1.0,0.3021243115656963,384,one_shot,1.0,1.0,direct,1.2364094518125057,0.0029058000072836876,11,0.3,12,unique_budget,1
0.0,0.25,1.0,12,40,0.5,42,1.0,1.0,hotpotqa,2,1.0,18,0.75,1.0,5ab56db7554299494045efc6,0.3,direct,280,1.0,1.0,0.3021243115656963,384,iterative,1.0,1.0,product,1.2364094518125057,0.004643599968403578,11,0.3,12,unique_budget,2
0.0,0.25,1.0,12,40,0.34375,36,1.0,1.0,hotpotqa,3,1.0,11,0.75,1.0,5ab56db7554299494045efc6,0.3,direct,360,1.0,1.0,0.3021243115656963,384,iterative,1.0,1.0,product,1.2364094518125057,0.00572339998325333,11,0.3,12,unique_budget,3
0.0,0.25,1.0,12,40,0.2962962962962963,30,1.0,1.0,hotpotqa,4,1.0,8,0.5,1.0,5ab56db7554299494045efc6,0.3,direct,400,1.0,1.0,0.3021243115656963,384,iterative,1.0,1.0,product,1.2364094518125057,0.008053599973209202,11,0.3,12,unique_budget,4
0.0,0.0,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,2,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0019596999627538025,11,0.1,4,unique_budget,2
0.0,0.5,1.0,4,40,0.25,6,0.0,1.0,hotpotqa,2,1.0,1,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0027185999788343906,11,0.1,4,unique_budget,2
0.0,0.75,1.0,4,40,0.5,6,0.0,1.0,hotpotqa,2,1.0,2,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0023691000533290207,11,0.1,4,unique_budget,2
0.0,1.0,1.0,4,40,0.5,6,0.0,1.0,hotpotqa,2,1.0,2,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0031223000260069966,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,0.0,1.0,hotpotqa,2,1.0,1,0.25,1.0,5ab56db7554299494045efc6,0.1,residual,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.003372300008777529,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.0,4,0.0,1.0,hotpotqa,2,1.0,0,0.25,1.0,5ab56db7554299494045efc6,0.1,mean,80,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0028173999744467437,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.0,4,0.0,1.0,hotpotqa,2,1.0,0,0.25,1.0,5ab56db7554299494045efc6,0.1,weighted_mean,80,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,product,1.2364094518125057,0.0033597000292502344,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,1.0,1.0,hotpotqa,2,1.0,1,0.5,1.0,5ab56db7554299494045efc6,0.1,direct,120,1.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,logsum,1.2364094518125057,0.0037617000052705407,11,0.1,4,unique_budget,2
0.0,0.25,1.0,4,40,0.25,6,0.0,1.0,hotpotqa,2,1.0,1,0.25,1.0,5ab56db7554299494045efc6,0.1,direct,120,0.0,1.0,0.1007081038552321,128,iterative,1.0,1.0,last,1.2364094518125057,0.0025389999500475824,11,0.1,4,unique_budget,2
