split,dataset,example_id,facet_mode,requested_facet_count,actual_facet_count,construction_latency_ms,graph_construction_ms,graph_clustering_ms,graph_calls,graph_nodes,graph_edges,graph_density,graph_memory_bytes,pairwise_similarity_evaluations,facet_count,tree_node_count,mean_facet_overlap
validation,hotpotqa,5abcd77755429965836004ce,graph,2,2,33.81339996121824,7.44049996137619,9.705000091344118,1,28,84,0.1111111111111111,3024,756,2,2,0.0
validation,hotpotqa,5abcd77755429965836004ce,graph,4,2,33.81339996121824,7.44049996137619,9.705000091344118,1,28,84,0.1111111111111111,3024,756,2,2,0.0
validation,hotpotqa,5abcd77755429965836004ce,syntactic_graph,2,2,32.67650003544986,6.582600064575672,9.655000176280737,1,28,84,0.1111111111111111,3024,756,3,3,1.0
validation,hotpotqa,5abcd77755429965836004ce,syntactic_graph,4,3,32.67650003544986,6.582600064575672,9.655000176280737,1,28,84,0.1111111111111111,3024,756,3,3,1.0
validation,hotpotqa,5ae0d5335542990adbacf674,global,1,1,0.5602999590337276,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,hotpotqa,5ae0d5335542990adbacf674,syntactic,2,2,2.1573000121861696,0.0,0.0,0,0,0,0.0,0,0,3,3,0.3076923076923077
validation,hotpotqa,5ae0d5335542990adbacf674,syntactic,4,3,2.1573000121861696,0.0,0.0,0,0,0,0.0,0,0,3,3,0.3076923076923077
validation,hotpotqa,5ae0d5335542990adbacf674,multiscale,2,2,17.955500166863203,0.0,0.0,0,0,0,0.0,0,0,23,23,0.15140787543384934
validation,hotpotqa,5ae0d5335542990adbacf674,multiscale,4,4,17.955500166863203,0.0,0.0,0,0,0,0.0,0,0,23,23,0.15140787543384934
validation,hotpotqa,5ae0d5335542990adbacf674,graph,2,2,64.53209999017417,6.936900084838271,36.011400166898966,1,13,34,0.21794871794871795,1264,156,4,4,0.0
validation,hotpotqa,5ae0d5335542990adbacf674,graph,4,4,64.53209999017417,6.936900084838271,36.011400166898966,1,13,34,0.21794871794871795,1264,156,4,4,0.0
validation,hotpotqa,5ae0d5335542990adbacf674,syntactic_graph,2,2,44.07009994611144,14.089199947193265,13.217000057920814,1,13,34,0.21794871794871795,1264,156,5,5,0.16666666666666666
validation,hotpotqa,5ae0d5335542990adbacf674,syntactic_graph,4,4,44.07009994611144,14.089199947193265,13.217000057920814,1,13,34,0.21794871794871795,1264,156,5,5,0.16666666666666666
validation,hotpotqa,5a8a1a975542992e4fca8505,global,1,1,0.32049999572336674,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,hotpotqa,5a8a1a975542992e4fca8505,syntactic,2,2,1.4823998790234327,0.0,0.0,0,0,0,0.0,0,0,3,3,0.2222222222222222
validation,hotpotqa,5a8a1a975542992e4fca8505,syntactic,4,3,1.4823998790234327,0.0,0.0,0,0,0,0.0,0,0,3,3,0.2222222222222222
validation,hotpotqa,5a8a1a975542992e4fca8505,multiscale,2,2,18.18280015140772,0.0,0.0,0,0,0,0.0,0,0,32,32,0.10919821692117715
validation,hotpotqa,5a8a1a975542992e4fca8505,multiscale,4,4,18.18280015140772,0.0,0.0,0,0,0,0.0,0,0,32,32,0.10919821692117715
validation,hotpotqa,5a8a1a975542992e4fca8505,graph,2,2,27.67520002089441,4.686699947342277,11.961100157350302,1,18,46,0.1503267973856209,1720,306,4,4,0.0
validation,hotpotqa,5a8a1a975542992e4fca8505,graph,4,4,27.67520002089441,4.686699947342277,11.961100157350302,1,18,46,0.1503267973856209,1720,306,4,4,0.0
validation,hotpotqa,5a8a1a975542992e4fca8505,syntactic_graph,2,2,36.05500003322959,5.703599890694022,14.269700041040778,1,18,46,0.1503267973856209,1720,306,5,5,0.16666666666666666
validation,hotpotqa,5a8a1a975542992e4fca8505,syntactic_graph,4,4,36.05500003322959,5.703599890694022,14.269700041040778,1,18,46,0.1503267973856209,1720,306,5,5,0.16666666666666666
validation,hotpotqa,5adf5cd25542992d7e9f9320,global,1,1,0.47770002856850624,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,syntactic,2,2,1.0749001521617174,0.0,0.0,0,0,0,0.0,0,0,3,3,0.15384615384615385
validation,hotpotqa,5adf5cd25542992d7e9f9320,syntactic,4,3,1.0749001521617174,0.0,0.0,0,0,0,0.0,0,0,3,3,0.15384615384615385
validation,hotpotqa,5adf5cd25542992d7e9f9320,multiscale,2,2,19.836900057271123,0.0,0.0,0,0,0,0.0,0,0,47,47,0.07469387721305884
validation,hotpotqa,5adf5cd25542992d7e9f9320,multiscale,4,4,19.836900057271123,0.0,0.0,0,0,0,0.0,0,0,47,47,0.07469387721305884
validation,hotpotqa,5adf5cd25542992d7e9f9320,graph,2,2,25.917600141838193,7.525900145992637,6.546299904584885,1,26,82,0.12615384615384614,2920,650,2,2,0.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,graph,4,2,25.917600141838193,7.525900145992637,6.546299904584885,1,26,82,0.12615384615384614,2920,650,2,2,0.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,syntactic_graph,2,2,25.85979993455112,7.288599852472544,8.204399840906262,1,26,82,0.12615384615384614,2920,650,3,3,1.0
validation,hotpotqa,5adf5cd25542992d7e9f9320,syntactic_graph,4,3,25.85979993455112,7.288599852472544,8.204399840906262,1,26,82,0.12615384615384614,2920,650,3,3,1.0
validation,hotpotqa,5a7415cf55429979e28828a6,global,1,1,0.5744998343288898,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,hotpotqa,5a7415cf55429979e28828a6,syntactic,2,2,2.076700096949935,0.0,0.0,0,0,0,0.0,0,0,4,4,0.1895424836601307
validation,hotpotqa,5a7415cf55429979e28828a6,syntactic,4,4,2.076700096949935,0.0,0.0,0,0,0,0.0,0,0,4,4,0.1895424836601307
validation,hotpotqa,5a7415cf55429979e28828a6,multiscale,2,2,35.32289993017912,0.0,0.0,0,0,0,0.0,0,0,62,62,0.056566927126232826
validation,hotpotqa,5a7415cf55429979e28828a6,multiscale,4,4,35.32289993017912,0.0,0.0,0,0,0,0.0,0,0,62,62,0.056566927126232826
validation,hotpotqa,5a7415cf55429979e28828a6,graph,2,2,40.76669993810356,7.491199998185039,11.538299964740872,1,34,92,0.08199643493761141,3392,1122,3,3,0.0
validation,hotpotqa,5a7415cf55429979e28828a6,graph,4,3,40.76669993810356,7.491199998185039,11.538299964740872,1,34,92,0.08199643493761141,3392,1122,3,3,0.0
validation,hotpotqa,5a7415cf55429979e28828a6,syntactic_graph,2,2,38.544900016859174,6.477799965068698,13.668699888512492,1,34,92,0.08199643493761141,3392,1122,4,4,0.3333333333333333
validation,hotpotqa,5a7415cf55429979e28828a6,syntactic_graph,4,4,38.544900016859174,6.477799965068698,13.668699888512492,1,34,92,0.08199643493761141,3392,1122,4,4,0.3333333333333333
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,global,1,1,0.5526000168174505,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,syntactic,2,2,1.2996001169085503,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,syntactic,4,2,1.2996001169085503,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,multiscale,2,2,14.234500005841255,0.0,0.0,0,0,0,0.0,0,0,24,24,0.13447832360875828
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,multiscale,4,4,14.234500005841255,0.0,0.0,0,0,0,0.0,0,0,24,24,0.13447832360875828
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,graph,2,2,24.135699961334467,4.612800199538469,9.268799796700478,1,14,40,0.21978021978021978,1456,182,2,2,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,graph,4,2,24.135699961334467,4.612800199538469,9.268799796700478,1,14,40,0.21978021978021978,1456,182,2,2,0.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,syntactic_graph,2,2,31.483399914577603,8.605299983173609,8.682299870997667,1,14,40,0.21978021978021978,1456,182,3,3,1.0
validation,qasper,1603.01514:111afb77cfbf4c98e0458606378fa63a0e965e36,syntactic_graph,4,3,31.483399914577603,8.605299983173609,8.682299870997667,1,14,40,0.21978021978021978,1456,182,3,3,1.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,global,1,1,0.4789999220520258,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,syntactic,2,2,0.732499873265624,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,syntactic,4,2,0.732499873265624,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,multiscale,2,2,17.931099981069565,0.0,0.0,0,0,0,0.0,0,0,34,34,0.1018628264098642
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,multiscale,4,4,17.931099981069565,0.0,0.0,0,0,0,0.0,0,0,34,34,0.1018628264098642
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,graph,2,2,31.486100051552057,7.186800008639693,10.820900090038776,1,19,52,0.15204678362573099,1912,342,2,2,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,graph,4,2,31.486100051552057,7.186800008639693,10.820900090038776,1,19,52,0.15204678362573099,1912,342,2,2,0.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,syntactic_graph,2,2,32.861300045624375,6.048599956557155,12.668099952861667,1,19,52,0.15204678362573099,1912,342,3,3,1.0
validation,qasper,1809.03449:52f9cd05d8312ae3c7a43689804bac63f7cac34b,syntactic_graph,4,3,32.861300045624375,6.048599956557155,12.668099952861667,1,19,52,0.15204678362573099,1912,342,3,3,1.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,global,1,1,0.5308999679982662,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,syntactic,2,2,1.9208998419344425,0.0,0.0,0,0,0,0.0,0,0,3,3,0.4
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,syntactic,4,3,1.9208998419344425,0.0,0.0,0,0,0,0.0,0,0,3,3,0.4
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,multiscale,2,2,10.436399839818478,0.0,0.0,0,0,0,0.0,0,0,17,17,0.19657407407407398
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,multiscale,4,4,10.436399839818478,0.0,0.0,0,0,0,0.0,0,0,17,17,0.19657407407407398
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,graph,2,2,22.68220018595457,6.525699980556965,8.231200044974685,1,10,26,0.28888888888888886,968,90,2,2,0.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,graph,4,2,22.68220018595457,6.525699980556965,8.231200044974685,1,10,26,0.28888888888888886,968,90,2,2,0.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,syntactic_graph,2,2,19.804100040346384,6.593999918550253,6.986499996855855,1,10,26,0.28888888888888886,968,90,3,3,1.0
validation,qasper,1909.03405:7b4fb6da74e6bd1baea556788a02969134cf0800,syntactic_graph,4,3,19.804100040346384,6.593999918550253,6.986499996855855,1,10,26,0.28888888888888886,968,90,3,3,1.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,global,1,1,0.4021001514047384,0.0,0.0,0,0,0,0.0,0,0,1,1,0.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,syntactic,2,2,0.8996999822556973,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,syntactic,4,2,0.8996999822556973,0.0,0.0,0,0,0,0.0,0,0,2,2,0.0
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,multiscale,2,2,10.196200106292963,0.0,0.0,0,0,0,0.0,0,0,17,17,0.19657407407407398
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,multiscale,4,4,10.196200106292963,0.0,0.0,0,0,0,0.0,0,0,17,17,0.19657407407407398
validation,qasper,1802.08636:f03112b868b658c954db62fc64430bebbaa7d9e0,graph,2,2,23.585200076922774,4.455100046470761,10.320100001990795,1,10,26,0.28888888888888886,968,90,3,3,0.0
