condition,cumulative_unique_native_tokens,cumulative_visible_tokens,cumulative_wall_ms,example_id
PRA_NATIVE_MEMORY_NO_ADAPTOR,2013,0,5396.70941606164,multihoprag:0018
PRA_SELECTED_CONTEXT_NO_ADAPTOR,2013,2008,5290.151333028916,multihoprag:0018
PRA_NATIVE_MEMORY_NO_ADAPTOR,4045,2008,10875.754332053475,multihoprag:0061
PRA_SELECTED_CONTEXT_NO_ADAPTOR,4045,4036,10654.564708063845,multihoprag:0061
PRA_NATIVE_MEMORY_NO_ADAPTOR,6059,4036,16340.816624113359,multihoprag:0123
PRA_SELECTED_CONTEXT_NO_ADAPTOR,6059,6046,16042.623124085367,multihoprag:0123
PRA_NATIVE_MEMORY_NO_ADAPTOR,8104,6046,22072.440833144356,multihoprag:0146
PRA_SELECTED_CONTEXT_NO_ADAPTOR,8104,8087,21707.757832016796,multihoprag:0146
PRA_NATIVE_MEMORY_NO_ADAPTOR,10135,8087,27902.386708185077,multihoprag:0171
PRA_SELECTED_CONTEXT_NO_ADAPTOR,10135,10114,27406.583165051416,multihoprag:0171
PRA_NATIVE_MEMORY_NO_ADAPTOR,12114,10114,33336.966584203765,multihoprag:0243
PRA_SELECTED_CONTEXT_NO_ADAPTOR,12114,12088,32890.7927480177,multihoprag:0243
PRA_NATIVE_MEMORY_NO_ADAPTOR,14148,12088,38923.0790422298,multihoprag:0258
PRA_SELECTED_CONTEXT_NO_ADAPTOR,14148,14118,38384.202039043885,multihoprag:0258
PRA_NATIVE_MEMORY_NO_ADAPTOR,16180,14118,44536.221875285264,multihoprag:0340
PRA_SELECTED_CONTEXT_NO_ADAPTOR,16180,16145,43792.795830057,multihoprag:0340
PRA_NATIVE_MEMORY_NO_ADAPTOR,18164,16145,50021.36125025572,multihoprag:0348
PRA_SELECTED_CONTEXT_NO_ADAPTOR,18164,18124,49224.93566409685,multihoprag:0348
PRA_NATIVE_MEMORY_NO_ADAPTOR,20191,18124,55744.715542241465,multihoprag:0371
PRA_SELECTED_CONTEXT_NO_ADAPTOR,20191,20146,54771.13174711121,multihoprag:0371
PRA_NATIVE_MEMORY_NO_ADAPTOR,22236,20146,61323.94954224583,multihoprag:0385
PRA_SELECTED_CONTEXT_NO_ADAPTOR,22236,22186,60340.35170509014,multihoprag:0385
PRA_NATIVE_MEMORY_NO_ADAPTOR,24285,22186,66991.5392092662,multihoprag:0580
PRA_SELECTED_CONTEXT_NO_ADAPTOR,24285,24232,65905.67774610827,multihoprag:0580
PRA_NATIVE_MEMORY_NO_ADAPTOR,26305,24232,72691.66729226708,multihoprag:0645
PRA_SELECTED_CONTEXT_NO_ADAPTOR,26305,26247,71450.77308011241,multihoprag:0645
PRA_NATIVE_MEMORY_NO_ADAPTOR,28282,26247,78174.4962502853,multihoprag:0756
PRA_SELECTED_CONTEXT_NO_ADAPTOR,28282,28219,76884.78533015586,multihoprag:0756
PRA_NATIVE_MEMORY_NO_ADAPTOR,30313,28219,83898.31183326896,multihoprag:0762
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30313,30246,82385.24458016036,multihoprag:0762
PRA_NATIVE_MEMORY_NO_ADAPTOR,32359,30246,89610.31549918698,multihoprag:0777
PRA_SELECTED_CONTEXT_NO_ADAPTOR,32359,32289,88033.33766420837,multihoprag:0777
PRA_NATIVE_MEMORY_NO_ADAPTOR,34375,32289,95262.63470720733,multihoprag:0779
PRA_SELECTED_CONTEXT_NO_ADAPTOR,34375,34300,93459.20095714973,multihoprag:0779
PRA_NATIVE_MEMORY_NO_ADAPTOR,36393,34300,100803.12129022786,multihoprag:0800
PRA_SELECTED_CONTEXT_NO_ADAPTOR,36393,36313,98980.21895810962,multihoprag:0800
PRA_NATIVE_MEMORY_NO_ADAPTOR,38429,36313,106434.3897482031,multihoprag:0957
PRA_SELECTED_CONTEXT_NO_ADAPTOR,38429,38345,104427.09720809944,multihoprag:0957
PRA_NATIVE_MEMORY_NO_ADAPTOR,40458,38345,112090.4417061829,multihoprag:0990
PRA_SELECTED_CONTEXT_NO_ADAPTOR,40458,40369,109994.04045805568,multihoprag:0990
PRA_NATIVE_MEMORY_NO_ADAPTOR,42470,40369,117650.7005392341,multihoprag:1139
PRA_SELECTED_CONTEXT_NO_ADAPTOR,42470,42377,115479.96100009186,multihoprag:1139
PRA_NATIVE_MEMORY_NO_ADAPTOR,44512,42377,123304.87895623082,multihoprag:1204
PRA_SELECTED_CONTEXT_NO_ADAPTOR,44512,44414,121031.10320813721,multihoprag:1204
PRA_NATIVE_MEMORY_NO_ADAPTOR,46560,44414,128917.11883124663,multihoprag:1242
PRA_SELECTED_CONTEXT_NO_ADAPTOR,46560,46457,126667.92729118606,multihoprag:1242
PRA_NATIVE_MEMORY_NO_ADAPTOR,48588,46457,134599.4600392878,multihoprag:1336
PRA_SELECTED_CONTEXT_NO_ADAPTOR,48588,48480,132222.93974919012,multihoprag:1336
PRA_NATIVE_MEMORY_NO_ADAPTOR,50580,48480,140159.1002062196,multihoprag:1622
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50580,50468,137767.97804021044,multihoprag:1622
PRA_NATIVE_MEMORY_NO_ADAPTOR,52597,50468,145898.7106232089,multihoprag:1666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,52597,52479,143279.7382901772,multihoprag:1666
PRA_NATIVE_MEMORY_NO_ADAPTOR,54590,52479,151532.44654019363,multihoprag:1804
PRA_SELECTED_CONTEXT_NO_ADAPTOR,54590,54467,148869.53112320043,multihoprag:1804
PRA_NATIVE_MEMORY_NO_ADAPTOR,56637,54467,157340.3713312,multihoprag:1829
PRA_SELECTED_CONTEXT_NO_ADAPTOR,56637,56508,154443.43820615904,multihoprag:1829
PRA_NATIVE_MEMORY_NO_ADAPTOR,58646,56508,162896.73512318404,multihoprag:1850
PRA_SELECTED_CONTEXT_NO_ADAPTOR,58646,58511,159958.15308124293,multihoprag:1850
PRA_NATIVE_MEMORY_NO_ADAPTOR,60639,58511,168470.92195722507,multihoprag:1852
PRA_SELECTED_CONTEXT_NO_ADAPTOR,60639,60499,165285.16153921373,multihoprag:1852
PRA_NATIVE_MEMORY_NO_ADAPTOR,62678,60499,174130.64641621895,multihoprag:1855
PRA_SELECTED_CONTEXT_NO_ADAPTOR,62678,62532,170846.23174823355,multihoprag:1855
PRA_NATIVE_MEMORY_NO_ADAPTOR,64710,62532,179786.23083222192,multihoprag:1873
PRA_SELECTED_CONTEXT_NO_ADAPTOR,64710,64558,176415.327914292,multihoprag:1873
PRA_NATIVE_MEMORY_NO_ADAPTOR,66744,64558,185435.0169582176,multihoprag:1900
PRA_SELECTED_CONTEXT_NO_ADAPTOR,66744,66587,181975.30783037655,multihoprag:1900
PRA_NATIVE_MEMORY_NO_ADAPTOR,68778,66587,191089.45200027665,multihoprag:1907
PRA_SELECTED_CONTEXT_NO_ADAPTOR,68778,68617,187537.31899737613,multihoprag:1907
PRA_NATIVE_MEMORY_NO_ADAPTOR,70801,68617,196747.08758335328,multihoprag:1948
PRA_SELECTED_CONTEXT_NO_ADAPTOR,70801,70636,193061.6437473218,multihoprag:1948
PRA_NATIVE_MEMORY_NO_ADAPTOR,72811,70636,202281.69091633754,multihoprag:2047
