agent,n,arm,policy,status,tasks_completed,resolved,calls,requests,full_history_tokens,materialized_tokens,own_saving_fraction,paired_saving_fraction,lost_full_success_ids,evidence_root,autonomous_completion,wall_time_valid
kilo,1,full,full,execution_complete_pending_grade,1,1,24,24,537187,537187,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\kilo\n1\full,True,True
kilo,1,tail90,matched_token_tail,execution_complete_pending_grade,1,1,13,14,102041,92712,0.09142403543673616,0.8274120557645661,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\kilo\n1\tail90,False,False
opencode,1,full,full,execution_complete_pending_grade,1,1,15,16,292772,292772,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\opencode\n1\full,True,True
opencode,1,tail90,matched_token_tail,execution_complete_pending_grade,1,1,19,20,134278,117516,0.12483057537347886,0.5986091566133374,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\opencode\n1\tail90,True,True
pi,1,full,full,execution_complete_pending_grade,1,1,49,49,770535,770535,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pi\n1\full,True,True
pi,1,tail90,matched_token_tail,execution_complete_pending_grade,1,1,27,27,374040,176981,0.5268393754678644,0.7703141323885352,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pi\n1\tail90,True,True
pra_agent,1,full,full,execution_complete_pending_grade,1,1,19,19,209642,209642,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pra_agent\n1\full,True,True
pra_agent,1,tail90,matched_token_tail,execution_complete_pending_grade,1,1,16,16,200629,159438,0.20530930224444122,0.23947491437784418,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pra_agent\n1\tail90,True,True
pra_agent,3,full,full,execution_complete_pending_grade,1,,25,25,351712,351712,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pra_agent\n3\full,False,False
pra_agent,3,full_prior,full,execution_complete_pending_grade,3,3,35,35,708506,708506,0.0,0.0,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pra_agent\n3\full_prior,True,True
pra_agent,3,recent_frontier,frontier_dag_retirement,execution_complete_pending_grade,3,3,39,39,857587,572963,0.33188935933030705,,,D:\git\rd\pdattention-paper8-5\docs\papers\shared\results\paper8_5_agent_memory\cross_agent_matrix_v3\pra_agent\n3\recent_frontier,False,True
