dataset,queries_per_source,amortized_ingestion_seconds_per_query,routing_seconds_per_query,routing_index_bytes_per_source,native_kv_tokens_materialized,routing_break_even_queries_vs_native_mean,routing_break_even_queries_vs_source_bm25
hotpotqa,1,131.09126105019823,0.00018610002007335424,651.75,1020.0,479353.7009955803,70051.70697914633
hotpotqa,10,13.109126105019822,0.00018610002007335424,651.75,1020.0,479353.7009955803,70051.70697914633
hotpotqa,100,1.3109126105019824,0.00018610002007335424,651.75,1020.0,479353.7009955803,70051.70697914633
hotpotqa,1000,0.13109126105019822,0.00018610002007335424,651.75,1020.0,479353.7009955803,70051.70697914633
qasper,1,46.64790672514937,0.0005612249951809645,2205.0,1019.875,25846.758667278504,9842.602359262415
qasper,10,4.664790672514937,0.0005612249951809645,2205.0,1019.875,25846.758667278504,9842.602359262415
qasper,100,0.4664790672514937,0.0005612249951809645,2205.0,1019.875,25846.758667278504,9842.602359262415
qasper,1000,0.04664790672514937,0.0005612249951809645,2205.0,1019.875,25846.758667278504,9842.602359262415
2wikimultihopqa,1,176.82234930020059,0.0004528750432655215,965.5,904.0,7320.366312364356,170830.47146448243
2wikimultihopqa,10,17.68223493002006,0.0004528750432655215,965.5,904.0,7320.366312364356,170830.47146448243
2wikimultihopqa,100,1.7682234930020058,0.0004528750432655215,965.5,904.0,7320.366312364356,170830.47146448243
2wikimultihopqa,1000,0.17682234930020058,0.0004528750432655215,965.5,904.0,7320.366312364356,170830.47146448243
musique,1,25.33359893746092,0.37141544991754927,16792.625,902.875,never,never
musique,10,2.533359893746092,0.37141544991754927,16792.625,902.875,never,never
musique,100,0.2533359893746092,0.37141544991754927,16792.625,902.875,never,never
musique,1000,0.02533359893746092,0.37141544991754927,16792.625,902.875,never,never
