dataset,condition,baseline,paired_identities,recall_delta,ci95_low,ci95_high
hotpotqa,teacher_8b_generic_1x32_summary_exact,native_mean,4,0.0,-0.375,0.375
qasper,subb_600m_retrieval_1x32_summary_exact,native_mean,8,0.1625,-0.4,0.6875
2wikimultihopqa,teacher_8b_retrieval_1x32_summary_bm25,native_mean,4,-0.20833333333333331,-0.41666666666666663,0.0
musique,subb_600m_retrieval_1x32_summary_hybrid_a0.50,native_mean,8,-0.052083333333333336,-0.375,0.20833333333333331
