baseline,ci95_high,ci95_low,dataset,losses,mean_delta,method,pairs,ties,wins
native_mean,0.02315791847041846,-0.08241567460317462,hotpotqa,21,-0.026358450577200578,lowrank_r16_ensemble,64,27,16
exact,-0.08052962662337665,-0.20820932539682532,hotpotqa,43,-0.1445678887085137,lowrank_r16_ensemble,64,10,11
bm25,-0.20781250000000007,-0.31399485930735926,hotpotqa,54,-0.2614836985930736,lowrank_r16_ensemble,64,7,3
hybrid,-0.061662946428571425,-0.16927083333333331,hotpotqa,30,-0.11328125,lowrank_r16_ensemble,64,28,6
native_mean,0.01993709415584416,-0.07274643759018759,hotpotqa,16,-0.02413983585858586,lowrank_r8_kmeans_ensemble,64,33,15
exact,-0.07873940295815296,-0.20718682359307355,hotpotqa,41,-0.142349273989899,lowrank_r8_kmeans_ensemble,64,12,11
native_mean,0.11479978354978354,0.01915753517316017,qasper,5,0.06376488095238095,lowrank_r16_ensemble,64,43,16
exact,-0.05545522186147186,-0.22625074578199575,qasper,39,-0.1426524864024864,lowrank_r16_ensemble,64,17,8
bm25,0.17669101731601733,0.02039761453823953,qasper,13,0.09618562860750361,lowrank_r16_ensemble,64,29,22
hybrid,0.09770528950216452,-0.015364583333333334,qasper,11,0.03823728354978355,lowrank_r16_ensemble,64,37,16
native_mean,0.13421435335497836,0.022558170995670996,qasper,3,0.07387209145021645,lowrank_r8_kmeans_ensemble,64,46,15
exact,-0.030954028610278614,-0.23234842414529905,qasper,41,-0.1325452759046509,lowrank_r8_kmeans_ensemble,64,13,10
