active_memory_fraction,any_evidence,chain_completion,condition,dataset,evidence_precision,evidence_recall,exact_identity,identities,index_bytes_per_chunk,materialized_native_kv_tokens,mrr,rows,seeds
0.08407449224540607,0.96875,0.53125,bm25,hotpotqa,0.4765625,0.3937764926046176,0.0,64,,127.328125,0.8841145833333334,64,0
0.08423632950575949,0.78125,0.203125,exact,hotpotqa,0.3359375,0.2768606827200577,0.0,64,,127.5625,0.6080729166666666,64,0
0.08440566808965416,0.5,0.1875,full_k_teacher,hotpotqa,0.17578125,0.1442471590909091,0.0,64,24576,127.875,0.30078125,64,0
0.08080987881807433,0.75,0.21875,hybrid,hotpotqa,0.29296875,0.245574044011544,0.0,64,,122.765625,0.52734375,64,0
0.08438161733382467,0.475,0.121875,lowrank_r16,hotpotqa,0.146875,0.12133116883116883,0.0,64,2048,127.790625,0.29270833333333335,320,5
0.08437658308915577,0.5,0.09375,lowrank_r16_ensemble,hotpotqa,0.15625,0.132292794011544,0.0,64,2048,127.765625,0.27734375,64,0
0.0833973203738021,0.471875,0.125,lowrank_r8_kmeans,hotpotqa,0.14453125,0.11707352543290044,0.0,64,256,126.615625,0.27369791666666665,320,5
0.08304713137381663,0.5,0.140625,lowrank_r8_kmeans_ensemble,hotpotqa,0.15625,0.13451140873015874,0.0,64,256,125.984375,0.2955729166666667,64,0
0.08103925345107492,0.515625,0.171875,native_mean,hotpotqa,0.1953125,0.15865124458874458,0.0,64,768,123.15625,0.32421875,64,0
0.0829730728731912,1.0,0.96875,oracle_evidence,hotpotqa,0.98046875,0.802209595959596,0.296875,64,,126.8125,0.9921875,64,0
0.03250757130371028,0.25,0.25,bm25,qasper,0.08203125,0.05914107593795094,0.0,64,,128.0,0.14453125,64,0
0.03250757130371028,0.71875,0.71875,exact,qasper,0.42578125,0.29797919094794095,0.015625,64,,128.0,0.5143229166666666,64,0
0.03250757130371028,0.1875,0.1875,full_k_teacher,qasper,0.046875,0.04268465909090909,0.0,64,24576,128.0,0.08333333333333333,64,0
0.0317861360416451,0.265625,0.265625,hybrid,qasper,0.0859375,0.11708942099567099,0.0,64,,124.328125,0.13932291666666666,64,0
0.0324174137983094,0.328125,0.328125,lowrank_r16,qasper,0.1046875,0.13594038773726275,0.0,64,2048,127.459375,0.22760416666666666,320,5
0.03245233410448574,0.375,0.375,lowrank_r16_ensemble,qasper,0.12109375,0.15532670454545455,0.0,64,2048,127.515625,0.2513020833333333,64,0
0.032198939907373075,0.303125,0.303125,lowrank_r8_kmeans,qasper,0.09375,0.11854493596681097,0.0,64,256,126.38125,0.1875,320,5
0.032144780575234934,0.375,0.375,lowrank_r8_kmeans_ensemble,qasper,0.1171875,0.16543391504329005,0.0,64,256,126.0,0.21614583333333334,64,0
0.0317861360416451,0.203125,0.203125,native_mean,qasper,0.05859375,0.09156182359307359,0.0,64,768,124.328125,0.1015625,64,0
0.03250757130371028,1.0,1.0,oracle_evidence,qasper,0.91015625,0.7236366064491064,0.109375,64,,128.0,1.0,64,0
