dataset,evidence_recall,m,method,rank,seed,teacher_top4_overlap
hotpotqa,0.11517857142857142,4,lowrank_medoid,8,37,0.109375
hotpotqa,0.1099702380952381,4,lowrank_medoid,8,53,0.015625
hotpotqa,0.06517857142857143,4,lowrank_medoid,8,71,0.078125
hotpotqa,0.09375,8,lowrank_medoid,8,11,0.0625
hotpotqa,0.10684523809523809,8,lowrank_medoid,8,23,0.171875
hotpotqa,0.07723214285714285,8,lowrank_medoid,8,37,0.15625
hotpotqa,0.11354166666666667,8,lowrank_medoid,8,53,0.203125
hotpotqa,0.10178571428571428,8,lowrank_medoid,8,71,0.046875
hotpotqa,0.10119047619047619,4,lowrank_medoid,16,11,0.234375
hotpotqa,0.09955357142857142,4,lowrank_medoid,16,23,0.015625
hotpotqa,0.08973214285714286,4,lowrank_medoid,16,37,0.125
hotpotqa,0.09285714285714285,4,lowrank_medoid,16,53,0.0
hotpotqa,0.11726190476190475,4,lowrank_medoid,16,71,0.125
hotpotqa,0.09375,8,lowrank_medoid,16,11,0.28125
hotpotqa,0.11681547619047618,8,lowrank_medoid,16,23,0.046875
hotpotqa,0.09285714285714285,8,lowrank_medoid,16,37,0.140625
hotpotqa,0.061607142857142846,8,lowrank_medoid,16,53,0.109375
hotpotqa,0.10267857142857142,8,lowrank_medoid,16,71,0.09375
hotpotqa,0.06874999999999999,4,lowrank_medoid,32,11,0.0625
hotpotqa,0.09508928571428571,4,lowrank_medoid,32,23,0.0
hotpotqa,0.08705357142857142,4,lowrank_medoid,32,37,0.125
hotpotqa,0.059375,4,lowrank_medoid,32,53,0.03125
hotpotqa,0.18422619047619046,4,lowrank_medoid,32,71,0.015625
hotpotqa,0.0943452380952381,8,lowrank_medoid,32,11,0.078125
hotpotqa,0.09657738095238096,8,lowrank_medoid,32,23,0.046875
hotpotqa,0.12038690476190475,8,lowrank_medoid,32,37,0.125
hotpotqa,0.11681547619047618,8,lowrank_medoid,32,53,0.0625
hotpotqa,0.1886904761904762,8,lowrank_medoid,32,71,0.15625
qasper,0.21436011904761904,32,lowrank_all,8,11,0.109375
qasper,0.2391975732600733,32,lowrank_all,8,23,0.21875
