backing_native_kv_bytes,cached_online_ms,compression_vs_full_native_32d,compression_vs_mean_native_d,compression_vs_native_m8,construction_ms,dataset,evidence_recall,index_bytes_per_chunk,low_rank_dots,m,materialized_kv_tokens,method,native_dots,peak_delta_gpu_bytes,rank,transfer_bytes
6506496.0,0.8615325030405074,128.0,4.0,32.0,0.7009474997175857,hotpotqa,0.10443452380952381,1024.0,12832.0,32,127.225,lowrank_all,0.0,69920.0,8,521113.6
6506496.0,0.901131751597859,64.0,2.0,16.0,0.6971600087126717,hotpotqa,0.12104166666666667,2048.0,25664.0,32,126.75,lowrank_all,0.0,121248.0,16,519168.0
6506496.0,0.9032400010619313,32.0,1.0,8.0,0.6768199906218797,hotpotqa,0.14535714285714285,4096.0,51328.0,32,127.225,lowrank_all,0.0,223904.0,32,521113.6
6506496.0,0.9245087474118918,1024.0,32.0,256.0,227.24028250668198,hotpotqa,0.10241071428571429,128.0,1604.0,4,117.15,lowrank_farthest,0.0,65984.0,8,479846.4
6506496.0,0.9166997484862804,512.0,16.0,128.0,419.31391000398435,hotpotqa,0.10645833333333332,256.0,3208.0,8,120.825,lowrank_farthest,0.0,73952.0,8,494899.2
6506496.0,0.9266062534879893,512.0,16.0,128.0,235.31315872096457,hotpotqa,0.085,256.0,3208.0,4,117.0125,lowrank_farthest,0.0,123712.0,16,479283.2
6506496.0,0.9176580002531409,256.0,8.0,64.0,402.34526249114424,hotpotqa,0.10886904761904763,512.0,6416.0,8,119.1625,lowrank_farthest,0.0,137984.0,16,488089.6
6506496.0,0.8465747517766431,256.0,8.0,64.0,219.43674877111334,hotpotqa,0.10544642857142858,512.0,6416.0,4,120.0125,lowrank_farthest,0.0,239072.0,32,491571.2
6506496.0,0.8925349992932752,128.0,4.0,32.0,379.3013662623707,hotpotqa,0.08827380952380953,1024.0,12832.0,8,123.65,lowrank_farthest,0.0,266304.0,32,506470.4
6506496.0,0.7567587489029393,1024.0,32.0,256.0,390.10590624820907,hotpotqa,0.07610119047619048,128.0,1604.0,4,119.375,lowrank_kmeans,0.0,72224.0,8,488960.0
