ablation,dataset,evidence_recall,m,parameter_count,rank,teacher_top4_overlap
bilinear_only,hotpotqa,0.15339285714285716,4,16448,8,0.3625
bilinear_only,hotpotqa,0.13327380952380952,8,16448,8,0.434375
bilinear_only,hotpotqa,0.13369047619047617,4,32896,16,0.328125
bilinear_only,hotpotqa,0.1486904761904762,8,32896,16,0.365625
bilinear_only,hotpotqa,0.16104166666666667,4,65792,32,0.384375
bilinear_only,hotpotqa,0.1305654761904762,8,65792,32,0.459375
bilinear_only,qasper,0.09334294871794872,4,16448,8,0.33125
bilinear_only,qasper,0.1401939102564103,8,16448,8,0.415625
bilinear_only,qasper,0.05646771978021979,4,32896,16,0.296875
bilinear_only,qasper,0.11187545787545787,8,32896,16,0.39375
bilinear_only,qasper,0.06149427655677657,4,65792,32,0.334375
bilinear_only,qasper,0.14884249084249085,8,65792,32,0.384375
salience_only,hotpotqa,0.18130952380952375,4,321,0,0.284375
salience_only,hotpotqa,0.14407738095238093,8,321,0,0.553125
salience_only,qasper,0.0644235347985348,4,321,0,0.365625
salience_only,qasper,0.0935393772893773,8,321,0,0.5
salience_plus_bilinear,hotpotqa,0.1624107142857143,4,16769,8,0.38125
salience_plus_bilinear,hotpotqa,0.15565476190476196,8,16769,8,0.365625
salience_plus_bilinear,hotpotqa,0.16666666666666669,4,33217,16,0.3
salience_plus_bilinear,hotpotqa,0.15386904761904763,8,33217,16,0.378125
salience_plus_bilinear,hotpotqa,0.12854166666666664,4,66113,32,0.315625
salience_plus_bilinear,hotpotqa,0.1366369047619048,8,66113,32,0.446875
salience_plus_bilinear,qasper,0.06713484432234432,4,16769,8,0.321875
salience_plus_bilinear,qasper,0.12829189560439558,8,16769,8,0.409375
salience_plus_bilinear,qasper,0.057408195970695984,4,33217,16,0.325
salience_plus_bilinear,qasper,0.12429212454212453,8,33217,16,0.3875
salience_plus_bilinear,qasper,0.06391391941391941,4,66113,32,0.346875
salience_plus_bilinear,qasper,0.11612545787545789,8,66113,32,0.434375
