baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
Paper 2.6 exact,-0.12288690476190475,-0.3080357142857143,hotpotqa,12,4,-0.21080357142857145,lowrank_kmeans,16,8,2,2
Paper 2.6 gist,0.024017857142857136,-0.17,hotpotqa,8,4,-0.07464285714285714,lowrank_kmeans,16,8,2,6
Paper 2.6 hybrid,-0.10729166666666665,-0.3060714285714286,hotpotqa,12,4,-0.20336309523809523,lowrank_kmeans,16,8,2,2
QC exploratory,0.001875,-0.14226190476190476,hotpotqa,9,4,-0.0668452380952381,lowrank_kmeans,16,8,2,5
QC primary,-0.038958333333333345,-0.14458333333333337,hotpotqa,12,4,-0.09056547619047621,lowrank_kmeans,16,8,1,3
QK key-only m8,0.011874999999999993,-0.10678571428571428,hotpotqa,8,4,-0.047827380952380955,lowrank_kmeans,16,8,5,3
QK mean,0.019880952380952374,-0.12729166666666666,hotpotqa,6,4,-0.047410714285714285,lowrank_kmeans,16,8,5,5
Paper 2.6 BM25,-0.16758928571428572,-0.43086309523809535,hotpotqa,14,8,-0.297172619047619,lowrank_kmeans,16,8,1,1
Paper 2.6 exact,-0.08333333333333333,-0.290029761904762,hotpotqa,11,8,-0.1863095238095238,lowrank_kmeans,16,8,2,3
Paper 2.6 gist,0.04830357142857143,-0.1498809523809524,hotpotqa,8,8,-0.050148809523809526,lowrank_kmeans,16,8,2,6
Paper 2.6 hybrid,-0.06604166666666667,-0.29500000000000004,hotpotqa,12,8,-0.17886904761904765,lowrank_kmeans,16,8,1,3
QC exploratory,0.007857142857142852,-0.10136904761904758,hotpotqa,8,8,-0.04235119047619048,lowrank_kmeans,16,8,2,6
QC primary,-0.024315476190476193,-0.11273809523809523,hotpotqa,12,8,-0.06607142857142859,lowrank_kmeans,16,8,2,2
QK key-only m8,0.025535714285714294,-0.08107142857142856,hotpotqa,6,8,-0.023333333333333327,lowrank_kmeans,16,8,5,5
QK mean,0.042916666666666665,-0.09999999999999999,hotpotqa,5,8,-0.022916666666666672,lowrank_kmeans,16,8,4,7
Paper 2.6 BM25,-0.15556547619047617,-0.4438690476190477,hotpotqa,15,4,-0.3036011904761905,lowrank_kmeans,16,16,0,1
Paper 2.6 exact,-0.10199404761904761,-0.28907738095238095,hotpotqa,12,4,-0.19273809523809524,lowrank_kmeans,16,16,3,1
Paper 2.6 gist,0.051875000000000004,-0.16157738095238094,hotpotqa,7,4,-0.05657738095238096,lowrank_kmeans,16,16,5,4
Paper 2.6 hybrid,-0.08383928571428573,-0.30461309523809527,hotpotqa,12,4,-0.18529761904761902,lowrank_kmeans,16,16,3,1
QC exploratory,0.019315476190476195,-0.12035714285714287,hotpotqa,8,4,-0.0487797619047619,lowrank_kmeans,16,16,3,5
QC primary,-0.023124999999999993,-0.12410714285714286,hotpotqa,11,4,-0.0725,lowrank_kmeans,16,16,4,1
QK key-only m8,0.02110119047619048,-0.08104166666666666,hotpotqa,8,4,-0.02976190476190476,lowrank_kmeans,16,16,4,4
QK mean,0.03758928571428572,-0.10291666666666668,hotpotqa,5,4,-0.02934523809523809,lowrank_kmeans,16,16,6,5
Paper 2.6 BM25,-0.17901785714285715,-0.44062500000000004,hotpotqa,14,8,-0.3129761904761905,lowrank_kmeans,16,16,0,2
Paper 2.6 exact,-0.11104166666666665,-0.3005952380952382,hotpotqa,11,8,-0.20211309523809526,lowrank_kmeans,16,16,2,3
Paper 2.6 gist,0.032410714285714286,-0.1630952380952381,hotpotqa,8,8,-0.06595238095238096,lowrank_kmeans,16,16,3,5
Paper 2.6 hybrid,-0.08258928571428571,-0.3076190476190476,hotpotqa,12,8,-0.19467261904761904,lowrank_kmeans,16,16,3,1
QC exploratory,-0.005327380952380958,-0.12166666666666666,hotpotqa,10,8,-0.05815476190476192,lowrank_kmeans,16,16,2,4
QC primary,-0.04598214285714286,-0.12154761904761904,hotpotqa,12,8,-0.08187500000000002,lowrank_kmeans,16,16,3,1
