baseline,ci95_high,ci95_low,dataset,losses,m,mean_delta,method,pairs,rank,ties,wins
Paper 2.6 gist,0.06964285714285713,-0.10223214285714285,hotpotqa,5,2,-0.017857142857142856,native_kmeans,16,0,7,4
Paper 2.6 hybrid,-0.04538690476190475,-0.26041666666666663,hotpotqa,8,2,-0.14657738095238093,native_kmeans,16,0,7,1
QC exploratory,0.04616071428571428,-0.06622023809523811,hotpotqa,8,2,-0.010059523809523812,native_kmeans,16,0,2,6
QC primary,0.01604166666666667,-0.08589285714285719,hotpotqa,9,2,-0.03377976190476191,native_kmeans,16,0,2,5
QK key-only m8,0.046875,-0.018333333333333333,hotpotqa,2,2,0.008958333333333336,native_kmeans,16,0,12,2
QK mean,0.05,-0.034375,hotpotqa,1,2,0.009375000000000001,native_kmeans,16,0,13,2
Paper 2.6 BM25,-0.1583333333333333,-0.4447916666666667,hotpotqa,12,4,-0.3019345238095238,native_kmeans,16,0,3,1
Paper 2.6 exact,-0.08392857142857142,-0.3026785714285714,hotpotqa,9,4,-0.19107142857142856,native_kmeans,16,0,6,1
Paper 2.6 gist,0.037946428571428575,-0.1549107142857143,hotpotqa,6,4,-0.054910714285714285,native_kmeans,16,0,7,3
Paper 2.6 hybrid,-0.06770833333333334,-0.30729166666666663,hotpotqa,9,4,-0.18363095238095237,native_kmeans,16,0,6,1
QC exploratory,-0.003958333333333338,-0.09098214285714286,hotpotqa,11,4,-0.047113095238095246,native_kmeans,16,0,2,3
QC primary,-0.02229166666666667,-0.11812499999999998,hotpotqa,11,4,-0.07083333333333333,native_kmeans,16,0,2,3
QK key-only m8,-0.005,-0.05619047619047618,hotpotqa,4,4,-0.028095238095238093,native_kmeans,16,0,12,0
QK mean,0.021875000000000002,-0.08035714285714285,hotpotqa,3,4,-0.027678571428571427,native_kmeans,16,0,12,1
Paper 2.6 BM25,-0.13973214285714283,-0.4184523809523809,hotpotqa,11,8,-0.2769345238095238,native_kmeans,16,0,4,1
Paper 2.6 exact,-0.041071428571428564,-0.3026785714285714,hotpotqa,8,8,-0.16607142857142854,native_kmeans,16,0,6,2
Paper 2.6 gist,0.05,-0.109375,hotpotqa,5,8,-0.029910714285714284,native_kmeans,16,0,8,3
Paper 2.6 hybrid,-0.02395833333333333,-0.296875,hotpotqa,9,8,-0.15863095238095234,native_kmeans,16,0,4,3
QC exploratory,0.04538690476190476,-0.10223214285714284,hotpotqa,8,8,-0.022113095238095237,native_kmeans,16,0,2,6
QC primary,0.026666666666666658,-0.12187500000000001,hotpotqa,9,8,-0.04583333333333334,native_kmeans,16,0,1,6
QK key-only m8,0.05645833333333333,-0.06077380952380952,hotpotqa,4,8,-0.0030952380952380927,native_kmeans,16,0,9,3
QK mean,0.0625,-0.08660714285714285,hotpotqa,2,8,-0.002678571428571426,native_kmeans,16,0,11,3
Paper 2.6 BM25,-0.12425595238095238,-0.42113095238095244,hotpotqa,12,1,-0.2742559523809524,native_mean,16,0,2,2
Paper 2.6 exact,-0.08616071428571428,-0.2441964285714286,hotpotqa,9,1,-0.16339285714285717,native_mean,16,0,7,0
Paper 2.6 gist,0.0625,-0.109375,hotpotqa,5,1,-0.027232142857142858,native_mean,16,0,8,3
Paper 2.6 hybrid,-0.0630952380952381,-0.2488095238095238,hotpotqa,10,1,-0.15595238095238093,native_mean,16,0,5,1
QC exploratory,0.030238095238095238,-0.0705952380952381,hotpotqa,8,1,-0.019434523809523808,native_mean,16,0,3,5
QC primary,0.008690476190476182,-0.09523809523809526,hotpotqa,10,1,-0.04315476190476192,native_mean,16,0,2,4
QK key-only m8,0.05708333333333333,-0.051666666666666666,hotpotqa,4,1,-0.0004166666666666676,native_mean,16,0,10,2
QK mean,0.0,0.0,hotpotqa,0,1,0.0,native_mean,16,0,16,0
Paper 2.6 BM25,-0.15238095238095237,-0.46071428571428574,hotpotqa,11,1,-0.30639880952380955,native_medoid,16,0,4,1
Paper 2.6 exact,-0.10178571428571428,-0.290625,hotpotqa,9,1,-0.19553571428571428,native_medoid,16,0,7,0
Paper 2.6 gist,0.01875,-0.15625,hotpotqa,3,1,-0.059375,native_medoid,16,0,12,1
Paper 2.6 hybrid,-0.07589285714285715,-0.30803571428571425,hotpotqa,10,1,-0.18809523809523807,native_medoid,16,0,4,2
QC exploratory,0.017708333333333336,-0.12229166666666666,hotpotqa,9,1,-0.051577380952380965,native_medoid,16,0,2,5
QC primary,-0.01437500000000001,-0.13375,hotpotqa,12,1,-0.07529761904761906,native_medoid,16,0,1,3
QK key-only m8,0.0381547619047619,-0.09901785714285716,hotpotqa,6,1,-0.03255952380952381,native_medoid,16,0,8,2
QK mean,0.04196428571428571,-0.109375,hotpotqa,4,1,-0.03214285714285714,native_medoid,16,0,10,2
Paper 2.6 BM25,-0.128125,-0.41398809523809527,hotpotqa,11,2,-0.26800595238095243,native_medoid,16,0,4,1
Paper 2.6 exact,-0.054017857142857145,-0.2700892857142857,hotpotqa,7,2,-0.15714285714285714,native_medoid,16,0,8,1
Paper 2.6 gist,0.07187500000000001,-0.1232142857142857,hotpotqa,4,2,-0.020982142857142855,native_medoid,16,0,8,4
Paper 2.6 hybrid,-0.0287202380952381,-0.27976190476190477,hotpotqa,8,2,-0.14970238095238092,native_medoid,16,0,6,2
QC exploratory,0.04044642857142857,-0.0687202380952381,hotpotqa,8,2,-0.013184523809523807,native_medoid,16,0,2,6
QC primary,0.019166666666666665,-0.09232142857142857,hotpotqa,10,2,-0.03690476190476191,native_medoid,16,0,1,5
QK key-only m8,0.037500000000000006,-0.018333333333333333,hotpotqa,2,2,0.005833333333333335,native_medoid,16,0,12,2
QK mean,0.0625,-0.053125000000000006,hotpotqa,2,2,0.006250000000000002,native_medoid,16,0,11,3
Paper 2.6 BM25,-0.1580357142857143,-0.44389880952380956,hotpotqa,12,4,-0.3019345238095238,native_medoid,16,0,3,1
Paper 2.6 exact,-0.08258928571428571,-0.30089285714285713,hotpotqa,9,4,-0.19107142857142856,native_medoid,16,0,6,1
Paper 2.6 gist,0.04107142857142858,-0.1526785714285714,hotpotqa,6,4,-0.054910714285714285,native_medoid,16,0,7,3
Paper 2.6 hybrid,-0.06845238095238096,-0.31086309523809524,hotpotqa,9,4,-0.18363095238095237,native_medoid,16,0,6,1
QC exploratory,-0.00556547619047619,-0.09041666666666667,hotpotqa,11,4,-0.047113095238095246,native_medoid,16,0,2,3
QC primary,-0.022708333333333344,-0.11875000000000002,hotpotqa,11,4,-0.07083333333333333,native_medoid,16,0,2,3
QK key-only m8,-0.005,-0.055714285714285716,hotpotqa,4,4,-0.028095238095238093,native_medoid,16,0,12,0
QK mean,0.021875000000000002,-0.08035714285714285,hotpotqa,3,4,-0.027678571428571427,native_medoid,16,0,12,1
Paper 2.6 BM25,-0.13214285714285715,-0.3955357142857143,hotpotqa,11,8,-0.2613095238095238,native_medoid,16,0,4,1
Paper 2.6 exact,-0.046875,-0.2633928571428571,hotpotqa,7,8,-0.1504464285714286,native_medoid,16,0,8,1
Paper 2.6 gist,0.07008928571428572,-0.103125,hotpotqa,5,8,-0.014285714285714284,native_medoid,16,0,7,4
Paper 2.6 hybrid,-0.03184523809523809,-0.25684523809523807,hotpotqa,8,8,-0.14300595238095234,native_medoid,16,0,6,2
QC exploratory,0.053273809523809515,-0.06830357142857142,hotpotqa,8,8,-0.006488095238095239,native_medoid,16,0,2,6
QC primary,0.0325,-0.09187500000000001,hotpotqa,9,8,-0.03020833333333334,native_medoid,16,0,1,6
QK key-only m8,0.061875,-0.027857142857142858,hotpotqa,3,8,0.012529761904761908,native_medoid,16,0,10,3
QK mean,0.06607142857142857,-0.04241071428571429,hotpotqa,2,8,0.012946428571428574,native_medoid,16,0,11,3
Paper 2.6 BM25,0.38540521978021974,0.05600595238095238,qasper,3,32,0.20400938644688646,lowrank_all,16,8,1,12
Paper 2.6 exact,0.26470238095238097,-0.08664491758241757,qasper,8,32,0.06802724358974359,lowrank_all,16,8,2,6
Paper 2.6 gist,0.3831011904761905,0.0631268315018315,qasper,3,32,0.20770100732600735,lowrank_all,16,8,2,11
Paper 2.6 hybrid,0.3538365384615385,0.012745650183150178,qasper,4,32,0.16462065018315017,lowrank_all,16,8,3,9
QC exploratory,0.12046474358974359,0.030121336996336994,qasper,2,32,0.07388507326007326,lowrank_all,16,8,2,12
QC primary,0.3656897893772894,0.049875,qasper,2,32,0.18823923992673997,lowrank_all,16,8,4,10
QK key-only m8,0.19271863553113552,0.03651304945054945,qasper,2,32,0.10670970695970697,lowrank_all,16,8,2,12
QK mean,0.2898021978021978,0.0425746336996337,qasper,3,32,0.14799862637362637,lowrank_all,16,8,3,10
Paper 2.6 BM25,0.3901160714285714,0.056127976190476186,qasper,3,32,0.2125803571428572,lowrank_all,16,16,2,11
Paper 2.6 exact,0.27625,-0.07905654761904762,qasper,8,32,0.07659821428571428,lowrank_all,16,16,1,7
Paper 2.6 gist,0.39331959706959707,0.07106593406593406,qasper,3,32,0.2162719780219781,lowrank_all,16,16,0,13
Paper 2.6 hybrid,0.3568809523809524,0.01930769230769231,qasper,5,32,0.1731916208791209,lowrank_all,16,16,1,10
QC exploratory,0.1336904761904762,0.036563186813186814,qasper,1,32,0.08245604395604397,lowrank_all,16,16,4,11
QC primary,0.36910714285714286,0.05843452380952381,qasper,2,32,0.19681021062271062,lowrank_all,16,16,1,13
QK key-only m8,0.19556547619047612,0.048298534798534805,qasper,3,32,0.11528067765567766,lowrank_all,16,16,1,12
QK mean,0.3001410256410256,0.046174908424908435,qasper,2,32,0.15656959706959708,lowrank_all,16,16,1,13
Paper 2.6 BM25,0.34970260989010993,0.03665544871794872,qasper,3,32,0.1762651098901099,lowrank_all,16,32,1,12
Paper 2.6 exact,0.23213736263736262,-0.10846703296703297,qasper,9,32,0.04028296703296705,lowrank_all,16,32,1,6
Paper 2.6 gist,0.35005952380952376,0.04458905677655678,qasper,3,32,0.17995673076923077,lowrank_all,16,32,2,11
Paper 2.6 hybrid,0.31717261904761906,-0.011864697802197805,qasper,5,32,0.13687637362637362,lowrank_all,16,32,1,10
QC exploratory,0.09822115384615383,-0.009175595238095233,qasper,4,32,0.0461407967032967,lowrank_all,16,32,3,9
QC primary,0.32106043956043956,0.031328296703296704,qasper,3,32,0.16049496336996338,lowrank_all,16,32,4,9
QK key-only m8,0.1571053113553114,0.02055769230769231,qasper,3,32,0.0789654304029304,lowrank_all,16,32,2,11
QK mean,0.2774464285714286,0.006315476190476199,qasper,4,32,0.12025434981684982,lowrank_all,16,32,2,10
Paper 2.6 BM25,0.07366529304029303,-0.04466964285714285,qasper,4,4,0.018267170329670325,lowrank_farthest,16,8,4,8
Paper 2.6 exact,-0.026892857142857145,-0.23086080586080585,qasper,11,4,-0.11771497252747251,lowrank_farthest,16,8,1,4
Paper 2.6 gist,0.060128434065934065,-0.014172161172161172,qasper,3,4,0.02195879120879121,lowrank_farthest,16,8,4,9
Paper 2.6 hybrid,0.04614972527472528,-0.0931900183150183,qasper,6,4,-0.021121565934065927,lowrank_farthest,16,8,2,8
QC exploratory,0.017910714285714283,-0.2835446428571428,qasper,6,4,-0.11185714285714286,lowrank_farthest,16,8,3,7
QC primary,0.04319642857142858,-0.03815773809523809,qasper,6,4,0.002497023809523808,lowrank_farthest,16,8,4,6
QK key-only m8,0.016017857142857146,-0.19553571428571434,qasper,7,4,-0.07903250915750916,lowrank_farthest,16,8,5,4
QK mean,0.05644688644688645,-0.1777261904761905,qasper,4,4,-0.03774358974358974,lowrank_farthest,16,8,3,9
Paper 2.6 BM25,0.18884821428571427,0.022334935897435893,qasper,4,8,0.10188621794871795,lowrank_farthest,16,8,2,10
Paper 2.6 exact,0.07024038461538462,-0.12906845238095238,qasper,10,8,-0.03409592490842491,lowrank_farthest,16,8,2,4
Paper 2.6 gist,0.18445329670329666,0.038077838827838835,qasper,2,8,0.10557783882783885,lowrank_farthest,16,8,4,10
Paper 2.6 hybrid,0.16019345238095237,-0.03200457875457876,qasper,5,8,0.0624974816849817,lowrank_farthest,16,8,1,10
QC exploratory,0.06772321428571429,-0.15041666666666664,qasper,4,8,-0.028238095238095246,lowrank_farthest,16,8,3,9
QC primary,0.15757440476190476,0.021770833333333336,qasper,4,8,0.08611607142857144,lowrank_farthest,16,8,2,10
QK key-only m8,0.08066666666666666,-0.0778301282051282,qasper,5,8,0.004586538461538464,lowrank_farthest,16,8,4,7
QK mean,0.14231891025641025,-0.06388049450549449,qasper,3,8,0.045875457875457874,lowrank_farthest,16,8,4,9
Paper 2.6 BM25,0.07982142857142856,-0.036041666666666666,qasper,3,4,0.025517857142857134,lowrank_farthest,16,16,4,9
Paper 2.6 exact,-0.02645238095238095,-0.19928571428571426,qasper,10,4,-0.11046428571428571,lowrank_farthest,16,16,3,3
Paper 2.6 gist,0.06581364468864467,-0.00724702380952381,qasper,3,4,0.02920947802197802,lowrank_farthest,16,16,4,9
Paper 2.6 hybrid,0.05346428571428571,-0.084375,qasper,6,4,-0.01387087912087912,lowrank_farthest,16,16,1,9
QC exploratory,0.020172619047619047,-0.2774874084249085,qasper,6,4,-0.10460645604395602,lowrank_farthest,16,16,3,7
QC primary,0.04465842490842492,-0.022089285714285718,qasper,6,4,0.009747710622710622,lowrank_farthest,16,16,3,7
QK key-only m8,0.020014880952380954,-0.18718360805860806,qasper,8,4,-0.07178182234432236,lowrank_farthest,16,16,3,5
QK mean,0.06160416666666667,-0.177,qasper,4,4,-0.030492902930402927,lowrank_farthest,16,16,3,9
Paper 2.6 BM25,0.11442261904761904,0.0004787087912087942,qasper,3,8,0.060877518315018316,lowrank_farthest,16,16,3,10
Paper 2.6 exact,0.012220238095238098,-0.17273855311355313,qasper,11,8,-0.07510462454212455,lowrank_farthest,16,16,1,4
Paper 2.6 gist,0.10718749999999999,0.022397206959706963,qasper,3,8,0.0645691391941392,lowrank_farthest,16,16,3,10
Paper 2.6 hybrid,0.09007211538461538,-0.051722527472527466,qasper,6,8,0.021488782051282053,lowrank_farthest,16,16,0,10
QC exploratory,0.05015224358974359,-0.2244551282051282,qasper,5,8,-0.06924679487179486,lowrank_farthest,16,16,3,8
QC primary,0.08605082417582417,0.008291666666666668,qasper,4,8,0.04510737179487179,lowrank_farthest,16,16,2,10
QK key-only m8,0.04245879120879122,-0.1384166666666667,qasper,6,8,-0.03642216117216117,lowrank_farthest,16,16,3,7
QK mean,0.08845009157509158,-0.1187493131868132,qasper,4,8,0.00486675824175824,lowrank_farthest,16,16,3,9
Paper 2.6 BM25,0.06532738095238096,-0.04630952380952381,qasper,3,4,0.014309523809523808,lowrank_farthest,16,32,5,8
Paper 2.6 exact,-0.05214880952380953,-0.20107142857142857,qasper,10,4,-0.12167261904761903,lowrank_farthest,16,32,4,2
Paper 2.6 gist,0.055934523809523816,-0.020518543956043953,qasper,3,4,0.018001144688644694,lowrank_farthest,16,32,4,9
Paper 2.6 hybrid,0.040955357142857154,-0.0961554487179487,qasper,6,4,-0.025079212454212456,lowrank_farthest,16,32,2,8
QC exploratory,0.02321794871794872,-0.3094397893772894,qasper,7,4,-0.11581478937728937,lowrank_farthest,16,32,3,6
QC primary,0.02773122710622711,-0.031041666666666662,qasper,6,4,-0.0014606227106227138,lowrank_farthest,16,32,4,6
QK key-only m8,0.02757326007326007,-0.22480860805860806,qasper,8,4,-0.08299015567765566,lowrank_farthest,16,32,3,5
QK mean,0.050812500000000003,-0.18911309523809525,qasper,4,4,-0.041701236263736265,lowrank_farthest,16,32,4,8
Paper 2.6 BM25,0.11548511904761904,0.010451923076923081,qasper,3,8,0.06202930402930404,lowrank_farthest,16,32,3,10
Paper 2.6 exact,0.00581501831501832,-0.1619175824175824,qasper,10,8,-0.07395283882783882,lowrank_farthest,16,32,3,3
Paper 2.6 gist,0.11576785714285713,0.01794711538461538,qasper,3,8,0.06572092490842492,lowrank_farthest,16,32,3,10
Paper 2.6 hybrid,0.09715315934065932,-0.05133928571428571,qasper,6,8,0.02264056776556777,lowrank_farthest,16,32,1,9
QC exploratory,0.06839880952380953,-0.24730654761904766,qasper,5,8,-0.06809500915750914,lowrank_farthest,16,32,3,8
QC primary,0.09017857142857143,0.004107142857142858,qasper,4,8,0.04625915750915752,lowrank_farthest,16,32,1,11
QK key-only m8,0.06240819597069598,-0.16486263736263737,qasper,5,8,-0.03527037545787545,lowrank_farthest,16,32,3,8
QK mean,0.09743887362637363,-0.1182619047619048,qasper,4,8,0.006018543956043952,lowrank_farthest,16,32,3,9
Paper 2.6 BM25,0.09922870879120876,-0.038648809523809516,qasper,4,4,0.02944299450549451,lowrank_kmeans,16,8,4,8
Paper 2.6 exact,-0.00139377289377288,-0.2088010531135531,qasper,11,4,-0.10653914835164834,lowrank_kmeans,16,8,1,4
Paper 2.6 gist,0.0922044413919414,-0.010814789377289379,qasper,3,4,0.033134615384615394,lowrank_kmeans,16,8,4,9
Paper 2.6 hybrid,0.06947390109890109,-0.08437728937728936,qasper,6,4,-0.009945741758241755,lowrank_kmeans,16,8,2,8
QC exploratory,0.013574862637362638,-0.2622380952380952,qasper,6,4,-0.10068131868131869,lowrank_kmeans,16,8,4,6
QC primary,0.07886904761904763,-0.0334047619047619,qasper,6,4,0.013672847985347989,lowrank_kmeans,16,8,3,7
QK key-only m8,0.010821886446886446,-0.16577335164835166,qasper,8,4,-0.06785668498168498,lowrank_kmeans,16,8,3,5
QK mean,0.08212499999999999,-0.1825327380952381,qasper,4,4,-0.02656776556776556,lowrank_kmeans,16,8,3,9
Paper 2.6 BM25,0.26872619047619045,0.02779441391941392,qasper,4,8,0.14121703296703297,lowrank_kmeans,16,8,2,10
Paper 2.6 exact,0.16749084249084248,-0.12498809523809526,qasper,10,8,0.005234890109890115,lowrank_kmeans,16,8,2,4
Paper 2.6 gist,0.27191758241758246,0.04383722527472528,qasper,3,8,0.14490865384615384,lowrank_kmeans,16,8,3,10
Paper 2.6 hybrid,0.24308516483516485,-0.022554716117216125,qasper,5,8,0.1018282967032967,lowrank_kmeans,16,8,1,10
QC exploratory,0.07400641025641025,-0.06657738095238094,qasper,5,8,0.011092719780219775,lowrank_kmeans,16,8,2,9
QC primary,0.25284615384615383,0.027518772893772893,qasper,4,8,0.12544688644688642,lowrank_kmeans,16,8,1,11
QK key-only m8,0.09439583333333333,0.004086996336996338,qasper,3,8,0.04391735347985348,lowrank_kmeans,16,8,5,8
QK mean,0.21113782051282054,-0.024369047619047624,qasper,4,8,0.08520627289377289,lowrank_kmeans,16,8,3,9
Paper 2.6 BM25,0.1310952380952381,-0.013788461538461536,qasper,3,4,0.059616300366300376,lowrank_kmeans,16,16,4,9
Paper 2.6 exact,0.007208791208791216,-0.15588369963369964,qasper,10,4,-0.07636584249084248,lowrank_kmeans,16,16,1,5
Paper 2.6 gist,0.12394322344322342,0.0069375000000000036,qasper,4,4,0.06330792124542126,lowrank_kmeans,16,16,4,8
Paper 2.6 hybrid,0.10520375457875457,-0.06619642857142856,qasper,6,4,0.020227564102564096,lowrank_kmeans,16,16,1,9
QC exploratory,0.04625595238095238,-0.22555975274725276,qasper,5,4,-0.07050801282051282,lowrank_kmeans,16,16,3,8
QC primary,0.08915064102564102,0.000734890109890112,qasper,5,4,0.04384615384615386,lowrank_kmeans,16,16,1,10
QK key-only m8,0.05298740842490843,-0.14720833333333336,qasper,8,4,-0.03768337912087913,lowrank_kmeans,16,16,3,5
QK mean,0.1034180402930403,-0.12243612637362637,qasper,5,4,0.003605540293040288,lowrank_kmeans,16,16,4,7
Paper 2.6 BM25,0.22193452380952375,0.04832440476190477,qasper,2,8,0.13280357142857144,lowrank_kmeans,16,16,3,11
Paper 2.6 exact,0.10437500000000002,-0.10582738095238095,qasper,7,8,-0.0031785714285714316,lowrank_kmeans,16,16,3,6
Paper 2.6 gist,0.21784821428571427,0.058341575091575094,qasper,2,8,0.1364951923076923,lowrank_kmeans,16,16,2,12
Paper 2.6 hybrid,0.19745535714285714,-0.0014910714285714353,qasper,5,8,0.09341483516483517,lowrank_kmeans,16,16,0,11
QC exploratory,0.11294642857142857,-0.12919345238095237,qasper,4,8,0.0026792582417582435,lowrank_kmeans,16,16,2,10
QC primary,0.1916881868131868,0.04813461538461538,qasper,3,8,0.1170334249084249,lowrank_kmeans,16,16,2,11
QK key-only m8,0.1165801282051282,-0.04874313186813187,qasper,4,8,0.035503891941391946,lowrank_kmeans,16,16,2,10
QK mean,0.18260531135531133,-0.04407623626373628,qasper,2,8,0.07679281135531137,lowrank_kmeans,16,16,2,12
Paper 2.6 BM25,0.11902083333333333,-0.02258859890109891,qasper,3,4,0.05107211538461538,lowrank_kmeans,16,32,5,8
Paper 2.6 exact,-0.004374313186813185,-0.17254464285714285,qasper,9,4,-0.08491002747252746,lowrank_kmeans,16,32,2,5
Paper 2.6 gist,0.09880952380952379,0.017021520146520145,qasper,2,4,0.05476373626373626,lowrank_kmeans,16,32,5,9
Paper 2.6 hybrid,0.09112087912087913,-0.07105059523809525,qasper,5,4,0.011683379120879127,lowrank_kmeans,16,32,2,9
QC exploratory,0.05165750915750916,-0.2557188644688645,qasper,5,4,-0.0790521978021978,lowrank_kmeans,16,32,4,7
QC primary,0.07397893772893772,-0.00066964285714286,qasper,4,4,0.03530196886446887,lowrank_kmeans,16,32,3,9
QK key-only m8,0.05814285714285712,-0.17888827838827842,qasper,7,4,-0.0462275641025641,lowrank_kmeans,16,32,3,6
QK mean,0.07617445054945055,-0.12708333333333335,qasper,3,4,-0.004938644688644693,lowrank_kmeans,16,32,5,8
Paper 2.6 BM25,0.15587797619047616,0.01369642857142857,qasper,2,8,0.08436607142857143,lowrank_kmeans,16,32,3,11
Paper 2.6 exact,0.0500952380952381,-0.15534226190476189,qasper,9,8,-0.05161607142857142,lowrank_kmeans,16,32,3,4
Paper 2.6 gist,0.15220833333333333,0.029095695970695973,qasper,3,8,0.08805769230769231,lowrank_kmeans,16,32,2,11
Paper 2.6 hybrid,0.13288988095238094,-0.042142857142857135,qasper,6,8,0.04497733516483516,lowrank_kmeans,16,32,0,10
QC exploratory,0.06480425824175824,-0.18761996336996337,qasper,5,8,-0.04575824175824176,lowrank_kmeans,16,32,3,8
QC primary,0.13227083333333334,0.014440476190476188,qasper,5,8,0.06859592490842492,lowrank_kmeans,16,32,1,10
QK key-only m8,0.058517857142857135,-0.11078296703296703,qasper,5,8,-0.012933608058608059,lowrank_kmeans,16,32,4,7
QK mean,0.10485714285714284,-0.07392261904761904,qasper,4,8,0.028355311355311358,lowrank_kmeans,16,32,3,9
Paper 2.6 BM25,0.10608287545787545,-0.03814629120879121,qasper,4,4,0.03415430402930404,lowrank_medoid,16,8,4,8
Paper 2.6 exact,0.001641941391941397,-0.20214285714285715,qasper,11,4,-0.10182783882783882,lowrank_medoid,16,8,1,4
Paper 2.6 gist,0.0977804487179487,-0.009216575091575092,qasper,3,4,0.037845924908424915,lowrank_medoid,16,8,4,9
Paper 2.6 hybrid,0.07665178571428571,-0.0853125,qasper,6,4,-0.005234432234432228,lowrank_medoid,16,8,2,8
QC exploratory,0.017440476190476187,-0.25345810439560446,qasper,6,4,-0.09597000915750917,lowrank_medoid,16,8,4,6
QC primary,0.0838580586080586,-0.027517857142857143,qasper,5,4,0.018384157509157513,lowrank_medoid,16,8,5,6
QK key-only m8,0.020316391941391943,-0.1662912087912088,qasper,9,4,-0.06314537545787545,lowrank_medoid,16,8,2,5
QK mean,0.08981250000000002,-0.17361607142857144,qasper,4,4,-0.021856456043956043,lowrank_medoid,16,8,3,9
Paper 2.6 BM25,0.27685096153846156,0.023559523809523805,qasper,4,8,0.1371694139194139,lowrank_medoid,16,8,3,9
Paper 2.6 exact,0.16002060439560445,-0.13408653846153842,qasper,10,8,0.0011872710622710617,lowrank_medoid,16,8,1,5
Paper 2.6 gist,0.2652291666666667,0.04006043956043956,qasper,2,8,0.1408610347985348,lowrank_medoid,16,8,4,10
Paper 2.6 hybrid,0.24547413003663004,-0.02695833333333334,qasper,5,8,0.09778067765567766,lowrank_medoid,16,8,0,11
QC exploratory,0.0699885531135531,-0.06754120879120878,qasper,5,8,0.00704510073260073,lowrank_medoid,16,8,4,7
QC primary,0.24624542124542126,0.025458791208791208,qasper,4,8,0.1213992673992674,lowrank_medoid,16,8,1,11
QK key-only m8,0.08282738095238096,0.003249999999999996,qasper,3,8,0.039869734432234426,lowrank_medoid,16,8,5,8
QK mean,0.2071943681318681,-0.02718269230769231,qasper,3,8,0.08115865384615384,lowrank_medoid,16,8,4,9
Paper 2.6 BM25,0.1029702380952381,-0.027803571428571434,qasper,3,4,0.03953273809523809,lowrank_medoid,16,16,6,7
Paper 2.6 exact,-0.02418452380952381,-0.16976190476190475,qasper,10,4,-0.09644940476190476,lowrank_medoid,16,16,3,3
Paper 2.6 gist,0.10065476190476191,-0.009454212454212452,qasper,4,4,0.04322435897435897,lowrank_medoid,16,16,5,7
Paper 2.6 hybrid,0.0793326465201465,-0.0765327380952381,qasper,6,4,0.00014400183150183044,lowrank_medoid,16,16,2,8
QC exploratory,0.035571428571428566,-0.2670714285714286,qasper,4,4,-0.09059157509157509,lowrank_medoid,16,16,5,7
QC primary,0.06472985347985347,-0.014570741758241752,qasper,5,4,0.023762591575091578,lowrank_medoid,16,16,2,9
QK key-only m8,0.04195238095238095,-0.18632944139194135,qasper,8,4,-0.05776694139194139,lowrank_medoid,16,16,4,4
QK mean,0.07709340659340659,-0.14196428571428577,qasper,5,4,-0.016478021978021985,lowrank_medoid,16,16,5,6
Paper 2.6 BM25,0.23800000000000002,0.04398328754578755,qasper,3,8,0.13414537545787547,lowrank_medoid,16,16,0,13
Paper 2.6 exact,0.12312156593406595,-0.11269734432234431,qasper,9,8,-0.0018367673992674,lowrank_medoid,16,16,1,6
Paper 2.6 gist,0.23449175824175822,0.05386080586080588,qasper,2,8,0.13783699633699634,lowrank_medoid,16,16,1,13
Paper 2.6 hybrid,0.21026556776556776,-0.010436813186813184,qasper,5,8,0.0947566391941392,lowrank_medoid,16,16,1,10
QC exploratory,0.10009249084249083,-0.11393131868131867,qasper,5,8,0.004021062271062279,lowrank_medoid,16,16,1,10
QC primary,0.2096909340659341,0.042196886446886434,qasper,2,8,0.11837522893772892,lowrank_medoid,16,16,3,11
QK key-only m8,0.10569940476190477,-0.0412202380952381,qasper,4,8,0.036845695970695966,lowrank_medoid,16,16,2,10
QK mean,0.1719047619047619,-0.01232600732600733,qasper,3,8,0.07813461538461539,lowrank_medoid,16,16,1,12
Paper 2.6 BM25,0.11441163003663006,-0.030666208791208797,qasper,3,4,0.04471771978021978,lowrank_medoid,16,32,5,8
Paper 2.6 exact,-0.004820970695970695,-0.17942216117216114,qasper,9,4,-0.09126442307692308,lowrank_medoid,16,32,2,5
Paper 2.6 gist,0.08769505494505495,0.013880952380952378,qasper,2,4,0.04840934065934066,lowrank_medoid,16,32,7,7
Paper 2.6 hybrid,0.08431868131868132,-0.07471565934065935,qasper,5,4,0.005328983516483501,lowrank_medoid,16,32,2,9
QC exploratory,0.04575641025641026,-0.2606904761904762,qasper,5,4,-0.0854065934065934,lowrank_medoid,16,32,5,6
QC primary,0.06749999999999999,-0.007288690476190476,qasper,5,4,0.028947573260073255,lowrank_medoid,16,32,2,9
QK key-only m8,0.047139880952380954,-0.17972184065934066,qasper,7,4,-0.052581959706959704,lowrank_medoid,16,32,3,6
QK mean,0.06573076923076923,-0.13065476190476194,qasper,3,4,-0.0112930402930403,lowrank_medoid,16,32,7,6
Paper 2.6 BM25,0.1031190476190476,0.0037200091575091583,qasper,3,8,0.05430036630036629,lowrank_medoid,16,32,3,10
Paper 2.6 exact,-0.001964285714285712,-0.1704761904761905,qasper,11,8,-0.08168177655677655,lowrank_medoid,16,32,2,3
Paper 2.6 gist,0.10517353479853479,0.015441391941391944,qasper,3,8,0.057991987179487184,lowrank_medoid,16,32,3,10
