boundary,listwise,loss,rank,response,seed,step,train_seconds
0.7628654837608337,5.188902854919434,5.3104567527771,8,0.12155391275882721,11,1,3.61580349993892
0.998569130897522,4.0604705810546875,4.27770471572876,8,0.2172343134880066,11,25,3.61580349993892
1.3513096570968628,3.6304616928100586,4.23658561706543,8,0.6061237454414368,11,50,3.61580349993892
0.5587382316589355,2.7556231021881104,3.259222984313965,8,0.503600001335144,11,75,3.61580349993892
0.6091855764389038,3.7641725540161133,4.205092430114746,8,0.4409196674823761,11,100,3.61580349993892
0.6416847109794617,3.4940123558044434,4.084136009216309,8,0.5901235342025757,11,125,3.61580349993892
0.8628889322280884,3.9137868881225586,4.5995917320251465,8,0.6858048439025879,11,150,3.61580349993892
0.4344971179962158,2.798175573348999,3.416882038116455,8,0.6187063455581665,11,175,3.61580349993892
0.5422698259353638,3.625058650970459,4.029516220092773,8,0.4044573903083801,11,200,3.61580349993892
0.16359162330627441,2.9800689220428467,3.7542474269866943,8,0.7741784453392029,11,225,3.61580349993892
0.1484823077917099,2.055304527282715,3.366595506668091,8,1.311290979385376,11,250,3.61580349993892
0.4618547856807709,3.4264650344848633,3.814004898071289,8,0.38753974437713623,11,275,3.61580349993892
0.5251487493515015,3.2895569801330566,4.085249423980713,8,0.7956924438476562,11,300,3.61580349993892
0.7716745138168335,4.1128716468811035,4.189293384552002,8,0.07642166316509247,23,1,3.857552899979055
2.1093294620513916,5.767039775848389,5.995100975036621,8,0.22806116938591003,23,25,3.857552899979055
0.6296480894088745,2.9026970863342285,3.25166654586792,8,0.3489695191383362,23,50,3.857552899979055
0.4530588984489441,3.1280856132507324,3.480154275894165,8,0.35206860303878784,23,75,3.857552899979055
0.5218192934989929,2.7436420917510986,3.3845622539520264,8,0.640920102596283,23,100,3.857552899979055
0.3528341054916382,3.1162848472595215,3.6991443634033203,8,0.5828595161437988,23,125,3.857552899979055
0.050650786608457565,1.4584587812423706,2.9559249877929688,8,1.4974663257598877,23,150,3.857552899979055
0.4728267788887024,2.6790823936462402,3.1898367404937744,8,0.5107543468475342,23,175,3.857552899979055
0.19444677233695984,2.306330680847168,3.097230911254883,8,0.7909001111984253,23,200,3.857552899979055
0.4819980263710022,3.1324808597564697,3.8741872310638428,8,0.741706371307373,23,225,3.857552899979055
0.4735812842845917,2.647059917449951,3.0098748207092285,8,0.36281490325927734,23,250,3.857552899979055
0.011987687088549137,0.26384884119033813,1.793670415878296,8,1.529821515083313,23,275,3.857552899979055
0.6275489926338196,2.958621025085449,3.169219732284546,8,0.21059861779212952,23,300,3.857552899979055
0.7923218011856079,5.209259986877441,5.324798107147217,8,0.11553802341222763,37,1,7.20698029990308
1.7350144386291504,5.475710391998291,5.856657028198242,8,0.38094666600227356,37,25,7.20698029990308
1.364235520362854,4.048572540283203,4.267906188964844,8,0.21933363378047943,37,50,7.20698029990308
0.9482056498527527,3.6800575256347656,3.9882609844207764,8,0.30820345878601074,37,75,7.20698029990308
0.32050299644470215,3.34505033493042,3.7626800537109375,8,0.41762977838516235,37,100,7.20698029990308
0.3047729432582855,2.409815788269043,3.1769165992736816,8,0.7671008110046387,37,125,7.20698029990308
0.05455435439944267,1.5499107837677002,2.7617692947387695,8,1.2118585109710693,37,150,7.20698029990308
0.4672184884548187,2.8005433082580566,3.3316760063171387,8,0.531132698059082,37,175,7.20698029990308
0.6293968558311462,3.3205413818359375,3.5769166946411133,8,0.25637534260749817,37,200,7.20698029990308
0.2046927809715271,2.6510391235351562,3.624654769897461,8,0.9736156463623047,37,225,7.20698029990308
