dataset,m,method,overlap_max,overlap_mean,overlap_min,rank,recall_max,recall_mean,recall_median,recall_min,recall_overlap_correlation,recall_std,seeds
hotpotqa,32,lowrank_all,0.3125,0.265625,0.203125,8,0.1255952380952381,0.10443452380952381,0.10625,0.08229166666666667,-0.10114448800330796,0.017420098203757964,5
hotpotqa,32,lowrank_all,0.40625,0.309375,0.1875,16,0.18764880952380952,0.12104166666666667,0.11889880952380952,0.08392857142857142,0.37472233833167273,0.03818680865746936,5
hotpotqa,32,lowrank_all,0.390625,0.271875,0.15625,32,0.1724702380952381,0.14535714285714285,0.13303571428571428,0.11726190476190475,-0.34524263854757553,0.022292322293111476,5
hotpotqa,4,lowrank_farthest,0.0625,0.05,0.03125,8,0.12410714285714285,0.10241071428571429,0.09955357142857142,0.08705357142857142,0.7039156845412935,0.012983628820439175,5
hotpotqa,8,lowrank_farthest,0.140625,0.071875,0.015625,8,0.13392857142857142,0.10645833333333332,0.1099702380952381,0.07053571428571428,0.4476781879218669,0.0209475187134284,5
hotpotqa,4,lowrank_farthest,0.234375,0.084375,0.015625,16,0.13288690476190476,0.08499999999999999,0.08392857142857142,0.06101190476190475,0.8375775305289407,0.02614298318340681,5
hotpotqa,8,lowrank_farthest,0.1875,0.090625,0.015625,16,0.1532738095238095,0.10886904761904762,0.09598214285714285,0.08705357142857142,0.9280551991375507,0.024124516079645976,5
hotpotqa,4,lowrank_farthest,0.0625,0.03125,0.0,32,0.1313988095238095,0.10544642857142857,0.11071428571428571,0.07723214285714285,0.3612992022790433,0.02021194914702675,5
hotpotqa,8,lowrank_farthest,0.09375,0.078125,0.0625,32,0.1299107142857143,0.08827380952380952,0.0944940476190476,0.04598214285714286,0.30955702175763705,0.032677487188188754,5
hotpotqa,4,lowrank_kmeans,0.09375,0.065625,0.015625,8,0.11517857142857142,0.07610119047619048,0.07142857142857142,0.04538690476190475,-0.2670853668698229,0.02619243769711034,5
hotpotqa,8,lowrank_kmeans,0.203125,0.13125,0.0625,8,0.14434523809523808,0.10059523809523807,0.08973214285714286,0.06830357142857142,0.2912795530665357,0.027407951233471034,5
hotpotqa,4,lowrank_kmeans,0.265625,0.103125,0.0,16,0.1261904761904762,0.09416666666666665,0.10163690476190475,0.06101190476190475,0.608815098040822,0.02541907120331115,5
hotpotqa,8,lowrank_kmeans,0.1875,0.13125,0.0625,16,0.10788690476190475,0.08479166666666667,0.08705357142857142,0.061607142857142846,0.6318994133196012,0.016612209075340095,5
hotpotqa,4,lowrank_kmeans,0.09375,0.040625,0.0,32,0.13735119047619046,0.09681547619047619,0.08973214285714284,0.08035714285714285,-0.5255029469971624,0.020686686252158366,5
hotpotqa,8,lowrank_kmeans,0.203125,0.10625,0.046875,32,0.1694940476190476,0.10449404761904761,0.09226190476190475,0.061607142857142846,0.965241895171758,0.03583899358079623,5
hotpotqa,4,lowrank_medoid,0.109375,0.06875,0.015625,8,0.11517857142857142,0.08544642857142856,0.07366071428571427,0.06324404761904762,-0.07456862809894625,0.02248578380568507,5
hotpotqa,8,lowrank_medoid,0.203125,0.128125,0.046875,8,0.11354166666666667,0.09863095238095239,0.10178571428571428,0.07723214285714285,0.2423831631081199,0.012501913118905167,5
hotpotqa,4,lowrank_medoid,0.234375,0.1,0.0,16,0.11726190476190475,0.10011904761904762,0.09955357142857142,0.08973214285714286,0.26666602444409615,0.009549537421571075,5
hotpotqa,8,lowrank_medoid,0.28125,0.134375,0.046875,16,0.11681547619047618,0.09354166666666666,0.09375,0.061607142857142846,-0.21972164502045313,0.01814099790498478,5
hotpotqa,4,lowrank_medoid,0.125,0.046875,0.0,32,0.18422619047619046,0.09889880952380951,0.08705357142857142,0.059375,-0.33213396347010143,0.044512169824348656,5
hotpotqa,8,lowrank_medoid,0.15625,0.09375,0.046875,32,0.1886904761904762,0.12336309523809523,0.11681547619047618,0.0943452380952381,0.8450953303709888,0.034289666810863005,5
qasper,32,lowrank_all,0.28125,0.19375,0.109375,8,0.27495764652014654,0.24564743589743587,0.24916895604395603,0.21436011904761904,0.5361731368926518,0.01957574980283571,5
qasper,32,lowrank_all,0.328125,0.228125,0.03125,16,0.3026945970695971,0.25421840659340667,0.26934638278388284,0.19395833333333332,0.6860972896940494,0.038633231891193984,5
qasper,32,lowrank_all,0.234375,0.159375,0.015625,32,0.29086538461538464,0.21790315934065937,0.24272321428571428,0.09467261904761905,0.9599569425715333,0.06656997957801718,5
qasper,4,lowrank_farthest,0.125,0.090625,0.046875,8,0.11273809523809523,0.05990521978021977,0.03764880952380952,0.0306547619047619,0.46931486390148497,0.03397258885238162,5
qasper,8,lowrank_farthest,0.171875,0.134375,0.09375,8,0.20669757326007326,0.1435242673992674,0.13833333333333334,0.0585279304029304,0.7632919498443621,0.051566384008328345,5
