dataset,m,method,overlap_max,overlap_mean,overlap_min,rank,recall_max,recall_mean,recall_median,recall_min,recall_overlap_correlation,recall_std,seeds
qasper,4,lowrank_farthest,0.21875,0.08125,0.0,16,0.12275412087912087,0.06715590659340659,0.07875228937728938,0.019791666666666666,0.37912902097843804,0.0363673502438207,5
qasper,8,lowrank_farthest,0.265625,0.121875,0.015625,16,0.17892971611721611,0.10251556776556776,0.12141483516483517,0.021741071428571426,0.8233933030258297,0.05346848753564929,5
qasper,4,lowrank_farthest,0.09375,0.028125,0.0,32,0.08095352564102563,0.055947573260073255,0.04766483516483516,0.02683150183150183,-0.37282684685096207,0.0213582543374844,5
qasper,8,lowrank_farthest,0.140625,0.075,0.0,32,0.17247023809523812,0.10366735347985348,0.10309638278388278,0.04290407509157509,0.933089936168547,0.04185442754571726,5
qasper,4,lowrank_kmeans,0.203125,0.121875,0.015625,8,0.10595238095238095,0.07108104395604395,0.06942078754578754,0.03318452380952381,0.5363198397659832,0.029939929220720248,5
qasper,8,lowrank_kmeans,0.296875,0.178125,0.109375,8,0.22529876373626376,0.18285508241758242,0.21502976190476192,0.058632097069597065,0.6347562809933903,0.06328978900212771,5
qasper,4,lowrank_kmeans,0.25,0.1,0.0,16,0.21467490842490844,0.1012543498168498,0.07986607142857143,0.05017857142857142,0.42991263273640695,0.058352283389907486,5
qasper,8,lowrank_kmeans,0.265625,0.14375,0.015625,16,0.2400766941391941,0.17444162087912088,0.19766369047619048,0.09031478937728937,0.7722388136732948,0.05653166959580927,5
qasper,4,lowrank_kmeans,0.09375,0.034375,0.0,32,0.1354624542124542,0.09271016483516484,0.09239697802197804,0.054511217948717945,0.9349164166905414,0.025782067677432012,5
qasper,8,lowrank_kmeans,0.1875,0.115625,0.0,32,0.23519345238095238,0.12600412087912088,0.10297733516483516,0.038990384615384614,0.7692460327492732,0.07043265763922638,5
qasper,4,lowrank_medoid,0.1875,0.115625,0.03125,8,0.1294654304029304,0.07579235347985348,0.06775412087912087,0.03931547619047619,0.6298661243545477,0.03256307242781869,5
qasper,8,lowrank_medoid,0.234375,0.16875,0.109375,8,0.2418337912087912,0.1788074633699634,0.19138392857142858,0.0753731684981685,0.6877810561492494,0.05957912169436783,5
qasper,4,lowrank_medoid,0.234375,0.1,0.0,16,0.13323031135531135,0.08117078754578755,0.07654990842490841,0.05017857142857142,0.4966954453021179,0.027819319212081875,5
qasper,8,lowrank_medoid,0.28125,0.128125,0.0,16,0.28995650183150184,0.1757834249084249,0.18514880952380952,0.07769459706959707,0.8221382849877771,0.07419338900249439,5
qasper,4,lowrank_medoid,0.125,0.04375,0.0,32,0.13962912087912085,0.08635576923076922,0.08638736263736264,0.053141025641025644,0.899242831753559,0.03165043667508168,5
qasper,8,lowrank_medoid,0.140625,0.1,0.015625,32,0.1630070970695971,0.09593841575091575,0.10839400183150182,0.023766025641025642,0.5187201223902806,0.04607560864207016,5
