dataset,model_tier,seed,method,examples,gist_count,mrr,f80,f90,auc_0_30,r_at_3,r_at_8,router_parameters,router_backbone_percent,native_detail_kv_bytes,payload_parity_max_abs_error,fractional_center_fraction,qk_spearman,qk_top1_agreement,qk_top3_overlap,position_correlation,absolute_position_correlation,r_at_5pct,any_r_at_5pct,all_r_at_5pct,kv_at_5pct,r_at_10pct,any_r_at_10pct,all_r_at_10pct,kv_at_10pct,r_at_20pct,any_r_at_20pct,all_r_at_20pct,kv_at_20pct,r_at_30pct,any_r_at_30pct,all_r_at_30pct,kv_at_30pct
hotpotqa,tiny,1,post_rope_mean,13,1,0.6794871794871795,0.2,0.5333333333333333,0.7217948717948718,0.8461538461538461,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.654945054945055,0.3076923076923077,0.6923076923076923,-0.46516228336277127,0.46516228336277127,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.05622819530599296,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.11839976392930691,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.18786448535370182,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.31644614473211136
hotpotqa,tiny,1,pre_rope_mean,13,1,0.5449050949050949,1.0,1.0,0.5833333333333334,0.6923076923076923,0.7692307692307693,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.2032967032967033,0.07692307692307693,0.28205128205128205,-0.17604411462091524,0.2695610369495328,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.057595874807445886,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.11921726275242793,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.1839942776634938,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.3293526011118343
hotpotqa,tiny,1,centered_g1,13,1,0.6373626373626374,0.2,0.5333333333333333,0.7038461538461538,0.8461538461538461,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.6255494505494504,0.3076923076923077,0.6153846153846154,-0.4482274387022456,0.4562795189730411,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.05303402264083112,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.12390001024000157,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.18801181837204733,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3210309346225863
hotpotqa,tiny,1,centered_g2,13,2,0.5641025641025641,0.26666666666666666,0.5333333333333333,0.5961538461538461,0.6153846153846154,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.6582417582417582,0.38461538461538464,0.6923076923076923,-0.4211690689919054,0.4211690689919054,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.04939658950764024,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.11241357229120884,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.17746135559281945,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3096978820205626
hotpotqa,tiny,1,centered_g4,13,4,0.3935897435897436,0.3333333333333333,0.5333333333333333,0.4525641025641025,0.5384615384615384,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.7335164835164836,0.46153846153846156,0.6666666666666666,-0.41176091230767375,0.41176091230767375,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.04918858891335283,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.10603933363786121,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.16607747170118023,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.30309699409750457
hotpotqa,tiny,1,centered_g8,13,8,0.37964257964257964,0.3333333333333333,1.0,0.43974358974358974,0.5384615384615384,0.8461538461538461,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.9697802197802198,0.8461538461538461,0.9230769230769231,-0.2977420568162798,0.34370621096417586,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.06614570420976297,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.14214306952256953,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.20569520662783747,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3469878910040994
hotpotqa,tiny,1,hidden_cosine,13,1,0.4834812623274162,0.5333333333333333,1.0,0.5012820512820513,0.5384615384615384,0.8461538461538461,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.1903846153846154,0.38461538461538464,0.2564102564102564,-0.15586875056788546,0.30270937626061295,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.07851331824987288,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.14081799767586894,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.21177240249760915,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.349154605900272
hotpotqa,tiny,1,learned_projection,13,1,0.9230769230769231,0.06666666666666667,0.13333333333333333,0.9474358974358973,1.0,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.19203296703296704,0.07692307692307693,0.38461538461538464,-0.22199129731605444,0.25379662797296193,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.053547514979177875,1.0,1.0,1.0,0.11755968641772932,1.0,1.0,1.0,0.19904239789824996,1.0,1.0,1.0,0.33449991631622095
hotpotqa,tiny,7,post_rope_mean,13,1,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.8494505494505494,0.8461538461538461,0.7948717948717948,-0.7547653069429187,0.7547653069429187,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.11484022267474693,1.0,1.0,1.0,0.1812049468939662,1.0,1.0,1.0,0.3040517406901545
hotpotqa,tiny,7,pre_rope_mean,13,1,0.6490231990231989,1.0,1.0,0.6448717948717948,0.6923076923076923,0.7692307692307693,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.07307692307692307,0.5384615384615384,0.2564102564102564,-0.05911140504681854,0.24853399395505368,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.04735959518599149,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.11778475323643298,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.18764161525641232,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.32845943100329333
hotpotqa,tiny,7,centered_g1,13,1,1.0,0.06666666666666667,0.06666666666666667,0.9833333333333333,1.0,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.8516483516483516,0.8461538461538461,0.7435897435897435,-0.745854985290404,0.745854985290404,1.0,1.0,1.0,0.056370380187364184,1.0,1.0,1.0,0.10929621713074138,1.0,1.0,1.0,0.17485631217454498,1.0,1.0,1.0,0.30778587063787666
hotpotqa,tiny,7,centered_g2,13,2,0.9230769230769231,0.06666666666666667,0.13333333333333333,0.9474358974358973,1.0,1.0,4096,0.36985668053629217,52932.92307692308,0.0,0.297360248447205,0.8623626373626373,0.8461538461538461,0.8461538461538461,-0.7603526595574484,0.7603526595574484,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.05161122956355191,1.0,1.0,1.0,0.10861548193673186,1.0,1.0,1.0,0.17317117108610403,1.0,1.0,1.0,0.3043944064238581
