condition,cumulative_unique_native_tokens,cumulative_visible_tokens,cumulative_wall_ms,example_id
PRA_NATIVE_MEMORY_NO_ADAPTOR,2013,0,1102.3783750715666,multihoprag:0018
PRA_SELECTED_CONTEXT_NO_ADAPTOR,2013,2008,1067.0223329798318,multihoprag:0018
PRA_NATIVE_MEMORY_NO_ADAPTOR,4045,2008,2224.1207910701632,multihoprag:0061
PRA_SELECTED_CONTEXT_NO_ADAPTOR,4045,4036,2150.6759579642676,multihoprag:0061
PRA_NATIVE_MEMORY_NO_ADAPTOR,6059,4036,3395.0011650449596,multihoprag:0123
PRA_SELECTED_CONTEXT_NO_ADAPTOR,6059,6046,3237.834041006863,multihoprag:0123
PRA_NATIVE_MEMORY_NO_ADAPTOR,8104,6046,4514.418956066947,multihoprag:0146
PRA_SELECTED_CONTEXT_NO_ADAPTOR,8104,8087,4375.161625037435,multihoprag:0146
PRA_NATIVE_MEMORY_NO_ADAPTOR,10135,8087,5634.100540075451,multihoprag:0171
PRA_SELECTED_CONTEXT_NO_ADAPTOR,10135,10114,5458.619082986843,multihoprag:0171
PRA_NATIVE_MEMORY_NO_ADAPTOR,12114,10114,6702.164540125523,multihoprag:0243
PRA_SELECTED_CONTEXT_NO_ADAPTOR,12114,12088,6494.904250022955,multihoprag:0243
PRA_NATIVE_MEMORY_NO_ADAPTOR,14148,12088,7805.319540086202,multihoprag:0258
PRA_SELECTED_CONTEXT_NO_ADAPTOR,14148,14118,7559.915000048932,multihoprag:0258
PRA_NATIVE_MEMORY_NO_ADAPTOR,16180,14118,8950.875832117163,multihoprag:0340
PRA_SELECTED_CONTEXT_NO_ADAPTOR,16180,16145,8626.570250024088,multihoprag:0340
PRA_NATIVE_MEMORY_NO_ADAPTOR,18164,16145,10037.286123086233,multihoprag:0348
PRA_SELECTED_CONTEXT_NO_ADAPTOR,18164,18124,9727.36837505363,multihoprag:0348
PRA_NATIVE_MEMORY_NO_ADAPTOR,20191,18124,11158.649748074822,multihoprag:0371
PRA_SELECTED_CONTEXT_NO_ADAPTOR,20191,20146,10809.813750034664,multihoprag:0371
PRA_NATIVE_MEMORY_NO_ADAPTOR,22236,20146,12263.933540089056,multihoprag:0385
PRA_SELECTED_CONTEXT_NO_ADAPTOR,22236,22186,11876.02704204619,multihoprag:0385
PRA_NATIVE_MEMORY_NO_ADAPTOR,24285,22186,13380.258749122731,multihoprag:0580
PRA_SELECTED_CONTEXT_NO_ADAPTOR,24285,24232,12955.063083034474,multihoprag:0580
PRA_NATIVE_MEMORY_NO_ADAPTOR,26305,24232,14547.182832146063,multihoprag:0645
PRA_SELECTED_CONTEXT_NO_ADAPTOR,26305,26247,14037.023333017714,multihoprag:0645
PRA_NATIVE_MEMORY_NO_ADAPTOR,28282,26247,15694.197832141072,multihoprag:0756
PRA_SELECTED_CONTEXT_NO_ADAPTOR,28282,28219,15135.053167003207,multihoprag:0756
PRA_NATIVE_MEMORY_NO_ADAPTOR,30313,28219,16870.705082139466,multihoprag:0762
PRA_SELECTED_CONTEXT_NO_ADAPTOR,30313,30246,16248.485249991063,multihoprag:0762
PRA_NATIVE_MEMORY_NO_ADAPTOR,32359,30246,18057.919083104935,multihoprag:0777
PRA_SELECTED_CONTEXT_NO_ADAPTOR,32359,32289,17372.63625091873,multihoprag:0777
PRA_NATIVE_MEMORY_NO_ADAPTOR,34375,32289,19264.630417106673,multihoprag:0779
PRA_SELECTED_CONTEXT_NO_ADAPTOR,34375,34300,18480.71816796437,multihoprag:0779
PRA_NATIVE_MEMORY_NO_ADAPTOR,36393,34300,20397.182959131896,multihoprag:0800
PRA_SELECTED_CONTEXT_NO_ADAPTOR,36393,36313,19574.23900195863,multihoprag:0800
PRA_NATIVE_MEMORY_NO_ADAPTOR,38429,36313,21516.76037517609,multihoprag:0957
PRA_SELECTED_CONTEXT_NO_ADAPTOR,38429,38345,20665.073501993902,multihoprag:0957
PRA_NATIVE_MEMORY_NO_ADAPTOR,40458,38345,22648.9505841746,multihoprag:0990
PRA_SELECTED_CONTEXT_NO_ADAPTOR,40458,40369,21760.635627026204,multihoprag:0990
PRA_NATIVE_MEMORY_NO_ADAPTOR,42470,40369,23814.40312624909,multihoprag:1139
PRA_SELECTED_CONTEXT_NO_ADAPTOR,42470,42377,22842.472710006405,multihoprag:1139
PRA_NATIVE_MEMORY_NO_ADAPTOR,44512,42377,24950.731084274594,multihoprag:1204
PRA_SELECTED_CONTEXT_NO_ADAPTOR,44512,44414,23982.271167973522,multihoprag:1204
PRA_NATIVE_MEMORY_NO_ADAPTOR,46560,44414,26078.851542260963,multihoprag:1242
PRA_SELECTED_CONTEXT_NO_ADAPTOR,46560,46457,25071.812751004472,multihoprag:1242
PRA_NATIVE_MEMORY_NO_ADAPTOR,48588,46457,27199.972293223254,multihoprag:1336
PRA_SELECTED_CONTEXT_NO_ADAPTOR,48588,48480,26157.851541996934,multihoprag:1336
PRA_NATIVE_MEMORY_NO_ADAPTOR,50580,48480,28347.723668208346,multihoprag:1622
PRA_SELECTED_CONTEXT_NO_ADAPTOR,50580,50468,27224.805999954697,multihoprag:1622
PRA_NATIVE_MEMORY_NO_ADAPTOR,52597,50468,29466.580459149554,multihoprag:1666
PRA_SELECTED_CONTEXT_NO_ADAPTOR,52597,52479,28352.37799899187,multihoprag:1666
PRA_NATIVE_MEMORY_NO_ADAPTOR,54590,52479,30584.22445913311,multihoprag:1804
PRA_SELECTED_CONTEXT_NO_ADAPTOR,54590,54467,29435.210665978957,multihoprag:1804
PRA_NATIVE_MEMORY_NO_ADAPTOR,56637,54467,31722.142001148313,multihoprag:1829
PRA_SELECTED_CONTEXT_NO_ADAPTOR,56637,56508,30535.974499944132,multihoprag:1829
PRA_NATIVE_MEMORY_NO_ADAPTOR,58646,56508,32877.871418138966,multihoprag:1850
PRA_SELECTED_CONTEXT_NO_ADAPTOR,58646,58511,31604.339708923362,multihoprag:1850
PRA_NATIVE_MEMORY_NO_ADAPTOR,60639,58511,33963.84658414172,multihoprag:1852
PRA_SELECTED_CONTEXT_NO_ADAPTOR,60639,60499,32700.42933494551,multihoprag:1852
PRA_NATIVE_MEMORY_NO_ADAPTOR,62678,60499,35081.81962615345,multihoprag:1855
PRA_SELECTED_CONTEXT_NO_ADAPTOR,62678,62532,33781.76800091751,multihoprag:1855
PRA_NATIVE_MEMORY_NO_ADAPTOR,64710,62532,36203.19791813381,multihoprag:1873
PRA_SELECTED_CONTEXT_NO_ADAPTOR,64710,64558,34877.37658491824,multihoprag:1873
PRA_NATIVE_MEMORY_NO_ADAPTOR,66744,64558,37404.436251090374,multihoprag:1900
PRA_SELECTED_CONTEXT_NO_ADAPTOR,66744,66587,36017.25929288659,multihoprag:1900
PRA_NATIVE_MEMORY_NO_ADAPTOR,68778,66587,38522.235251090024,multihoprag:1907
PRA_SELECTED_CONTEXT_NO_ADAPTOR,68778,68617,37100.06845986936,multihoprag:1907
PRA_NATIVE_MEMORY_NO_ADAPTOR,70801,68617,39640.3438760899,multihoprag:1948
PRA_SELECTED_CONTEXT_NO_ADAPTOR,70801,70636,38193.3956258581,multihoprag:1948
PRA_NATIVE_MEMORY_NO_ADAPTOR,72811,70636,40794.58575008903,multihoprag:2047
PRA_SELECTED_CONTEXT_NO_ADAPTOR,72811,72640,39259.38012584811,multihoprag:2047
PRA_NATIVE_MEMORY_NO_ADAPTOR,74832,72640,41913.61816605786,multihoprag:2080
PRA_SELECTED_CONTEXT_NO_ADAPTOR,74832,74655,40342.518792895135,multihoprag:2080
PRA_NATIVE_MEMORY_NO_ADAPTOR,76886,74655,43047.6530410815,multihoprag:2096
PRA_SELECTED_CONTEXT_NO_ADAPTOR,76886,76703,41435.62495987862,multihoprag:2096
PRA_NATIVE_MEMORY_NO_ADAPTOR,78905,76703,44195.719958108384,multihoprag:2126
PRA_SELECTED_CONTEXT_NO_ADAPTOR,78905,78719,42517.88437686628,multihoprag:2126
PRA_NATIVE_MEMORY_NO_ADAPTOR,80918,78719,45300.960957072675,multihoprag:2164
PRA_SELECTED_CONTEXT_NO_ADAPTOR,80918,80726,43634.08300187439,multihoprag:2164
PRA_NATIVE_MEMORY_NO_ADAPTOR,82969,80726,46432.81953904079,multihoprag:2206
PRA_SELECTED_CONTEXT_NO_ADAPTOR,82969,82772,44728.746793814935,multihoprag:2206
PRA_NATIVE_MEMORY_NO_ADAPTOR,85015,82772,47552.22199804848,multihoprag:2257
PRA_SELECTED_CONTEXT_NO_ADAPTOR,85015,84815,45809.840959787834,multihoprag:2257
PRA_NATIVE_MEMORY_NO_ADAPTOR,87038,84815,48734.432081109844,multihoprag:2292
PRA_SELECTED_CONTEXT_NO_ADAPTOR,87038,86833,46908.00929273246,multihoprag:2292
PRA_NATIVE_MEMORY_NO_ADAPTOR,89079,86833,49861.92762310384,multihoprag:2405
PRA_SELECTED_CONTEXT_NO_ADAPTOR,89079,88869,48044.567376724444,multihoprag:2405
