comparison,left_condition,left_selector_profile,mean_delta,metric,paired_examples,regime,right_condition,right_selector_profile,selector_profile,status
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.0,exact_match,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.003157897657897656,token_f1,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-0.04,official_multihop_rag_score,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-3.54,physical_context_tokens,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-3.4,visible_prompt_tokens,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.0,selected_native_kv_tokens,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-12.998192424420267,ttft_ms,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-13.044835808686912,total_latency_ms,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.17134843276470696,tokens_per_second,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.0,active_detail_bytes,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-96993.12,peak_memory_bytes,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,28180.64,temporary_allocation_bytes,50,COLD,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.0,exact_match,50,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,0.003157897657897656,token_f1,50,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-0.04,official_multihop_rag_score,50,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
selected_generic_vs_standard,NO_PRA_STANDARD_RAG,standard_bm25,-3.54,physical_context_tokens,50,WARM,PRA_SELECTED_CONTEXT_NO_ADAPTOR,pra_generic,standard_bm25,MEASURED
