model,seed,training_steps,training_tokens,training_seconds,tokens_per_second,final_train_loss
full_weight,17,500,760094,191.59129280003253,3967.2679738808615,0.8575778067111969
full_weight,29,500,759945,191.13646850001533,3975.9288531583343,0.8579896181821823
full_weight,41,500,759662,190.99989310000092,3977.2901841482567,0.8342485070228577
full_weight,53,500,759349,190.0972213000059,3994.529719093671,0.902386674284935
full_weight,67,500,759342,190.04271109995898,3995.6386414662334,0.7613867342472076
