model,seed,trainable_fraction,correct_memory_margin_gain_vs_none,correct_memory_margin_gain_vs_distractor,evidence_only_minus_parent_nll,evidence_only_minus_parent_accuracy,evidence_only_minus_parent_margin,whole_parent_evidence_selectivity,useful_memory_residual_divergence,distractor_residual_divergence
frozen,17,0.0,1.4368840716779232,1.3099842257797718,-0.14048078656196594,-0.095703125,-0.017918609082698822,0.33547965896838716,0.16624249517917633,0.15440291166305542
frozen,29,0.0,1.503016136586666,1.1873280927538872,-0.02994484454393387,0.013671875,0.06715942546725273,0.32398884475664036,0.09761941432952881,0.08326148986816406
frozen,41,0.0,1.648106620181352,1.7978906114585698,-0.4871260076761246,0.16015625,0.8540764455683529,0.32599119103037666,0.2081689089536667,0.20313525199890137
frozen,53,0.0,1.9144612029194832,1.7358608469367027,-0.22877966612577438,-0.013671875,0.21618667989969254,0.326282046092168,0.11746276915073395,0.08858301490545273
frozen,67,0.0,0.9745248528197408,1.3713699476793408,-0.10064631700515747,-0.0078125,0.07589432317763567,0.3481525260480615,0.18985781073570251,0.18672017753124237
consumer_lora,17,0.031154381084840057,3.157120890915394,3.3094532266259193,-0.6556777022778988,0.375,1.317603059578687,0.32745773606829515,0.35229748487472534,0.3363354206085205
consumer_lora,29,0.031154381084840057,3.5287828110158443,3.1271185614168644,-0.5099072568118572,0.255859375,0.9261748944409192,0.3185807658204589,0.24776627123355865,0.21440757811069489
consumer_lora,41,0.031154381084840057,4.043244782835245,3.517194803804159,-0.6689173132181168,0.357421875,1.2759553943760693,0.31687906432865764,0.31402456760406494,0.29213187098503113
consumer_lora,53,0.031154381084840057,2.757897198200226,3.1052284613251686,-0.6926698535680771,0.341796875,1.142275111284107,0.3376495397336236,0.1798333376646042,0.14471843838691711
consumer_lora,67,0.031154381084840057,2.881183486431837,3.474357310682535,-0.7539602033793926,0.37109375,1.312872318085283,0.34232168367325766,0.3477833569049835,0.34443846344947815
interface_lora,17,0.03970223325062035,3.8606763556599617,4.296432241797447,-0.8228046894073486,0.4140625,1.7881144830025733,0.3126191486052075,0.356532484292984,0.33310216665267944
interface_lora,29,0.03970223325062035,4.018812634050846,3.9269316270947456,-0.6828795485198498,0.359375,1.357908324804157,0.32763707951708504,0.3159569501876831,0.28968241810798645
interface_lora,41,0.03970223325062035,4.593814767897129,4.303398832678795,-0.872344421222806,0.46484375,1.885834573302418,0.3202707783958616,0.34896916151046753,0.31614166498184204
interface_lora,53,0.03970223325062035,3.3189259096980095,3.9088713005185127,-0.8532902523875237,0.39453125,1.5501702050678432,0.3364978310166673,0.25901907682418823,0.22720372676849365
interface_lora,67,0.03970223325062035,2.696827467530966,3.184031058102846,-0.5384168140590191,0.263671875,1.0264832158572972,0.3505628590324256,0.27281835675239563,0.275922954082489
broad_lora,17,0.1419068736141907,4.380327560007572,5.100814312696457,-0.9031152278184891,0.458984375,2.2519759153947234,0.32657439259765136,0.4011521637439728,0.3422924876213074
broad_lora,29,0.1419068736141907,4.958188399672508,4.975623071193695,-0.8476002514362335,0.4453125,2.0371691919863224,0.3169536427795979,0.4000205397605896,0.34166890382766724
broad_lora,41,0.1419068736141907,4.925727069377899,5.288877993822098,-0.9283945877104998,0.486328125,2.3484453232958913,0.3323656395584067,0.390654057264328,0.3456667363643646
broad_lora,53,0.1419068736141907,4.728391006588936,4.9853760823607445,-0.9341352060437202,0.482421875,2.1853739507496357,0.340999461364534,0.3372090756893158,0.29211077094078064
broad_lora,67,0.1419068736141907,3.7839988693594933,4.435735709965229,-0.8399193193763494,0.46484375,1.8512482163496315,0.34733947936009674,0.28881731629371643,0.2557739317417145
full_weight,17,1.0,6.14195653796196,6.8326867669820786,-1.0794870420359075,0.48046875,2.9885825319215655,0.3315085376783448,0.5060684084892273,0.43673309683799744
full_weight,29,1.0,6.185700461268425,6.470378786325455,-1.0422400636598468,0.4453125,2.7443687203340232,0.3193568094839781,0.4546435475349426,0.3902387022972107
full_weight,41,1.0,6.136155977845192,6.562331169843674,-0.9878081399947405,0.4609375,2.819607542362064,0.326291681093427,0.4859010875225067,0.4309418201446533
full_weight,53,1.0,5.407237261533737,6.130765333771706,-1.0956307845190167,0.529296875,2.7630623672157526,0.34653880352628874,0.40682706236839294,0.36571311950683594
full_weight,67,1.0,5.819938823580742,6.354676604270935,-1.102717827539891,0.482421875,2.82079138699919,0.3391030668576844,0.45726442337036133,0.41204512119293213
native_scratch,17,1.0,8.3383809030056,10.55682122707367,-1.6769855690654367,0.5546875,5.579876403324306,0.3401493120635172,0.5015329122543335,0.4692971706390381
native_scratch,29,1.0,8.785108044743538,10.707019358873367,-1.4525835363892838,0.494140625,5.277044928632677,0.33402433525733133,0.5102174282073975,0.47502827644348145
native_scratch,41,1.0,8.303725779056549,10.646009892225266,-1.4279954779776745,0.4921875,5.352155398577452,0.3431219002844973,0.5139371752738953,0.45717936754226685
native_scratch,53,1.0,9.698535099625587,11.60251672565937,-1.6703055745747406,0.541015625,6.183913821354508,0.3428835574923211,0.5762128829956055,0.49468761682510376
native_scratch,67,1.0,9.420678272843361,11.450045138597488,-1.6872383399750106,0.494140625,5.794902537018061,0.3569643520541276,0.552336573600769,0.4899696707725525
