model,seed,depth,condition,nll,perplexity,accuracy,answer_margin,evidence_attention_mass,distractor_attention_mass,memory_attention_mass,residual_divergence,accuracy_depth_1,accuracy_depth_2,accuracy_depth_3,accuracy_depth_4,memory_update_per_token
frozen,17,all,full_context_no_memory,1.618301510810852,5.044515132904053,0.419921875,-0.3998074233531952,nan,nan,nan,nan,0.352,0.4263565891472868,0.48175182481751827,0.4132231404958678,
frozen,17,1,matched_distractor,2.834545654296875,17.022664368723948,0.168,-1.9603631286621093,0.0,0.858810526907444,0.8588105292320252,,,,,,9.150729820251465
frozen,17,1,evidence_only,2.1326510009765625,8.43720422674788,0.184,-1.189795654296875,0.8834580044746398,0.0,0.883458001613617,,,,,,8.811655067443848
frozen,17,2,matched_distractor,3.1305607196896577,22.886809029688,0.10852713178294573,-2.2946024421573608,0.0,0.9654094419738118,0.9654094405876573,,,,,,9.069369589635569
frozen,17,2,evidence_only,2.0282488737919535,7.6007647998764,0.17829457364341086,-1.0993417325870012,0.9653533521548722,0.0,0.9653533544651297,,,,,,8.926080319308495
frozen,17,3,matched_distractor,3.0287463055909987,20.67130084324948,0.11678832116788321,-2.18153507344044,0.0,0.9666725385689388,0.9666725349252241,,,,,,8.864320170270265
frozen,17,3,evidence_only,1.6139757337361356,5.022740664022359,0.22627737226277372,-0.6461546734301713,0.9691682184917213,0.0,0.9691682222985873,,,,,,9.141037140449468
frozen,17,4,matched_distractor,3.1494256642239153,23.32266569227973,0.10743801652892562,-2.3437610973011362,0.0,0.9740544957809212,0.9740544917169681,,,,,,8.611738630562774
frozen,17,4,evidence_only,1.622809481029668,5.067306839123538,0.256198347107438,-0.6094200197330191,0.9770374092435049,0.0,0.9770374115833567,,,,,,9.094546830358585
consumer_lora,17,all,full_context_no_memory,1.656426191329956,5.240548610687256,0.38671875,-0.5153244137763977,nan,nan,nan,nan,0.36,0.35658914728682173,0.43795620437956206,0.3884297520661157,
consumer_lora,17,1,matched_distractor,2.8126929321289063,16.65470788191056,0.104,-1.765285888671875,0.0,0.755257494545318,0.7552574925422668,,,,,,12.369392112731934
consumer_lora,17,1,evidence_only,1.2025559387207032,3.328613792249817,0.64,0.27790494918823244,0.6526007500239241,0.0,0.6526007556915283,,,,,,11.236966461181641
consumer_lora,17,2,matched_distractor,3.0612370320992874,21.35395635979679,0.10852713178294573,-2.1893235990243363,0.0,0.7835559400097786,0.783555946146795,,,,,,11.62124787559805
consumer_lora,17,2,evidence_only,0.8404743352601695,2.317465971939143,0.8062015503875969,0.8030839299046716,0.7614604339397664,0.0,0.7614604412585266,,,,,,11.562685944313227
consumer_lora,17,3,matched_distractor,3.0099878102323436,20.28715262805674,0.13138686131386862,-2.2158098568881517,0.0,0.8360722219887152,0.8360722286857828,,,,,,11.793891057480861
consumer_lora,17,3,evidence_only,0.5014708233575751,1.6511480326868226,0.9562043795620438,1.5606969151183636,0.8433602747667146,0.0,0.8433602848192201,,,,,,12.07391081065157
consumer_lora,17,4,matched_distractor,3.167345661762332,23.74437503415547,0.12396694214876033,-2.402052382792323,0.0,0.7993129638433808,0.7993129592789107,,,,,,11.897410652854226
consumer_lora,17,4,evidence_only,0.34439674881864185,1.4111383919489284,1.0,2.024717630433642,0.833238491087489,0.0,0.8332384891253858,,,,,,12.644835795252776
interface_lora,17,all,full_context_no_memory,1.6799867153167725,5.365484714508057,0.38671875,-0.5349167585372925,nan,nan,nan,nan,0.368,0.3488372093023256,0.43795620437956206,0.3884297520661157,
interface_lora,17,1,matched_distractor,3.093692810058594,22.058385184011247,0.112,-2.3655801696777345,0.0,0.35823620081339685,0.35823620163835584,,,,,,12.390505554199219
interface_lora,17,1,evidence_only,0.8404711608886719,2.3174586154528907,0.752,0.8270283966064453,0.3222284579825765,0.0,0.32222845855075866,,,,,,11.369037414550782
interface_lora,17,2,matched_distractor,3.368759171907292,29.042467980713646,0.08527131782945736,-2.681711056435755,0.0,0.3160045897963939,0.31600459008802506,,,,,,12.203827155652897
interface_lora,17,2,evidence_only,0.5887375095093897,1.8017123342459682,0.875968992248062,1.3106665500374728,0.3092257040390637,0.0,0.3092257033152751,,,,,,12.154758039370988
interface_lora,17,3,matched_distractor,3.4028629664957086,30.05000918071189,0.08759124087591241,-2.782882467673643,0.0,0.2781862368224145,0.27818623567177414,,,,,,12.030260503727154
interface_lora,17,3,evidence_only,0.32589776672586035,1.3852737405632676,0.9635036496350365,2.0863781949899494,0.27383425605916584,0.0,0.27383425591656274,,,,,,12.619324196864218
interface_lora,17,4,matched_distractor,3.3369501287286933,28.133193111379065,0.1487603305785124,-2.60336076720687,0.0,0.33081408578795213,0.330814085796575,,,,,,11.973036466551221
interface_lora,17,4,evidence_only,0.23308367374514746,1.2624871119327177,1.0,2.5089686370092976,0.4053154881947434,0.0,0.4053154863140061,,,,,,13.191790115734763
broad_lora,17,all,full_context_no_memory,1.693514108657837,5.438559055328369,0.38671875,-0.5744447708129883,nan,nan,nan,nan,0.328,0.3488372093023256,0.45985401459854014,0.4049586776859504,
broad_lora,17,1,matched_distractor,3.1763510131835937,23.95916716334964,0.12,-2.4624031982421877,0.0,0.39990844303464107,0.39990844175219536,,,,,,9.660558959960937
broad_lora,17,1,evidence_only,0.5684065551757812,1.7654516591346407,0.856,1.4088922729492188,0.45398304636502873,0.0,0.45398304782807825,,,,,,10.451380317687988
broad_lora,17,2,matched_distractor,3.5697582414908005,35.50800775085495,0.11627906976744186,-2.9376394767169804,0.0,0.5151271042164489,0.5151271024762198,,,,,,10.193186700806137
broad_lora,17,2,evidence_only,0.40463601272235544,1.4987568723282054,0.9457364341085271,1.872424988783607,0.5725153067472537,0.0,0.5725153078751046,,,,,,10.970619578694189
