engine,model_id,examples,hot_warm_exact_rate,cold_int8_exact_rate,cold_int8_first_token_rate,cold_int8_common_prefix_tokens,cold_int8_f1_delta,hot_lifecycle_median_ms,warm_lifecycle_median_ms,cold_lifecycle_median_ms,warm_transition_median_ms,cold_transition_median_ms,warm_over_hot_latency,cold_over_hot_latency,restart_recovered,promotions,demotions,bytes_read,bytes_written
mlx-lm,mlx-community/Qwen3-0.6B-4bit,3,1.0,0.0,0.6666666666666666,1.3333333333333333,0.06787878787878789,326.57666597515345,643.8767500221729,600.2056249417365,348.39912480674684,940.3151669539511,1.9715944741476423,1.8378705139558293,True,7,9,352830741,553885593
sglang-mlx,mlx-community/Qwen3-0.6B-4bit,3,1.0,0.0,0.6666666666666666,0.6666666666666666,0.05666666666666668,278.77216693013906,529.0655421558768,526.6262921504676,158.0163750331849,701.2707500252873,1.897842054972661,1.8890920781285938,True,7,9,352866573,553939362
vllm-metal,mlx-community/Qwen3-0.6B-4bit,3,1.0,0.0,0.6666666666666666,4.0,-0.0053846153846153905,356.2690829858184,699.4398748502135,711.7111249826849,361.56520899385214,1015.7820419408381,1.9632348364004837,1.9976786057829643,True,7,9,358851861,560766876
