control,partition,dataset,example_id,seed,fraction,budget,facet_config,facet_family,facet_reduction,include_global,query_support_mode,query_support_span,query_support_tokens,query_facet_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,winning_facet,winning_facet_kind,winning_facet_family,winning_facet_span,selected_parent_ids,stale_parent,stale_parent_selected,junk_target_tokens,junk_observed_tokens,q_memory_comparisons,final_parent_count,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,full_query_forward_count,independent_window_forward_count
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,question,"[50, 68]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.13852419331669807,1.6039739847183228,0.5,1.0,0.5,0.0,0,15,local,window_2,"[64, 66]",[4],0,0.0,0,0,90,1,193,0.15858668857847166,0.002068999980110675,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,latest_message,"[43, 68]",25,25,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.27656805515289307,1.5983771085739136,0.5,1.0,0.5,0.0,0,22,local,window_2,"[64, 66]",[4],0,0.0,0,0,125,1,193,0.15858668857847166,0.002169000043068081,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,tail16,"[61, 77]",16,16,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.2308485060930252,1.5971629619598389,0.5,1.0,0.5,0.0,0,11,local,window_2,"[71, 73]",[4],0,0.0,0,0,80,1,193,0.15858668857847166,0.00226829998428002,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,tail32,"[45, 77]",32,32,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.2308485060930252,1.5971629619598389,0.5,1.0,0.5,0.0,0,27,local,window_2,"[71, 73]",[4],0,0.0,0,0,160,1,193,0.15858668857847166,0.002535400039050728,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,tail64,"[13, 77]",64,64,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.19847367703914642,1.5996830463409424,0.5,1.0,0.5,0.0,0,15,local,window_2,"[27, 29]",[4],0,0.0,0,0,320,1,193,0.15858668857847166,0.002182000025641173,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,11,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 77]",77,77,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.19847367703914642,1.6007440090179443,0.5,1.0,0.5,0.0,0,28,local,window_2,"[27, 29]",[4],0,0.0,0,0,385,1,193,0.15858668857847166,0.00258540001232177,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,question,"[50, 68]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1386987417936325,1.607487678527832,0.0,0.0,0.0,0.0,1,15,local,window_2,"[64, 66]",[0],0,1.0,0,0,90,1,256,0.21035332785538208,0.0016166999703273177,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,latest_message,"[43, 68]",25,25,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1386987417936325,1.60752272605896,0.0,0.0,0.0,0.0,1,22,local,window_2,"[64, 66]",[0],0,1.0,0,0,125,1,256,0.21035332785538208,0.002316800004336983,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,tail16,"[61, 77]",16,16,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1386987417936325,1.6075299978256226,0.0,0.0,0.0,0.0,1,4,local,window_2,"[64, 66]",[0],0,1.0,0,0,80,1,256,0.21035332785538208,0.0021596000296995044,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,tail32,"[45, 77]",32,32,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1386987417936325,1.6074910163879395,0.0,0.0,0.0,0.0,1,20,local,window_2,"[64, 66]",[0],0,1.0,0,0,160,1,256,0.21035332785538208,0.003505599976051599,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,tail64,"[13, 77]",64,64,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1593252420425415,1.6061434745788574,0.0,0.0,0.0,0.0,1,2,local,window_2,"[14, 16]",[3],0,0.0,0,0,320,1,256,0.21035332785538208,0.0031743000145070255,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,23,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 77]",77,77,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.1593252420425415,1.6061434745788574,0.0,0.0,0.0,0.0,1,15,local,window_2,"[14, 16]",[3],0,0.0,0,0,385,1,256,0.21035332785538208,0.002782900002785027,1,0
stale_contamination,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,question,"[50, 68]",18,18,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.11868105083703995,1.6031827926635742,0.5,1.0,0.5,0.0,0,15,local,window_2,"[64, 66]",[4],0,0.0,0,0,90,1,193,0.15858668857847166,0.0022297000396065414,1,0
