partition,dataset,fraction,facet_config,query_support_mode,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time
test,hotpotqa,0.2,w2_s1,full_prompt,35,7,5,0.2571428571428571,3.0,0.46,0.2,0.4,0.8285714285714286,1.0,-0.03169685530343226,1.7548920563289097,0.20952380952380953,0.32857142857142857,0.16666666666666666,0.0,1.1142857142857143,41.142857142857146,41.142857142857146,245.57142857142858,397.0857142857143,0.27249921413034395,0.002346528569302921
test,hotpotqa,0.2,w2_s1,latest_message,35,7,5,0.42857142857142855,2.4571428571428573,0.5819047619047619,0.37142857142857144,0.5428571428571428,0.9428571428571428,1.0,-0.010455191800636905,1.7540911844798497,0.29523809523809524,0.44285714285714284,0.2523809523809524,0.05714285714285714,0.9428571428571428,22.142857142857142,22.142857142857142,134.28571428571428,397.2857142857143,0.27230493236773223,0.002170874286509518
test,hotpotqa,0.2,w2_s1,question,35,7,5,0.42857142857142855,2.4571428571428573,0.5819047619047619,0.37142857142857144,0.5428571428571428,0.9428571428571428,1.0,-0.010455191800636905,1.7540911844798497,0.29523809523809524,0.44285714285714284,0.2523809523809524,0.05714285714285714,0.9428571428571428,22.142857142857142,22.142857142857142,134.28571428571428,397.2857142857143,0.27230493236773223,0.001831979998054781
test,hotpotqa,0.2,w2_s1,tail16,35,7,5,0.2857142857142857,2.8857142857142857,0.48047619047619045,0.22857142857142856,0.42857142857142855,0.8,1.0,-0.02676722716007914,1.7541032654898507,0.16666666666666666,0.2714285714285714,0.1333333333333333,0.0,1.2,16.0,16.0,93.71428571428571,398.4,0.2735642754871395,0.002133271430752107
test,hotpotqa,0.2,w2_s1,tail32,35,7,5,0.22857142857142856,3.142857142857143,0.4476190476190476,0.2,0.37142857142857144,0.7714285714285715,1.0,-0.03460863067635468,1.7547924314226424,0.15238095238095237,0.2714285714285714,0.12857142857142856,0.0,1.2285714285714286,31.857142857142858,31.857142857142858,186.71428571428572,396.8857142857143,0.2723684096829927,0.002347431433320578
test,hotpotqa,0.2,w2_s1,tail64,35,7,5,0.2571428571428571,3.0,0.46,0.2,0.4,0.8285714285714286,1.0,-0.03169685530343226,1.7548920563289097,0.20952380952380953,0.32857142857142857,0.16666666666666666,0.0,1.1142857142857143,41.142857142857146,41.142857142857146,245.57142857142858,397.0857142857143,0.27249921413034395,0.0023970685649796256
test,qasper,0.2,w2_s1,full_prompt,30,6,5,0.9333333333333333,1.8,0.7786111111111111,0.6333333333333333,0.8666666666666667,0.9,1.0,0.03009267821907997,2.7284173091252644,0.8833333333333333,0.2961111111111111,0.2911111111111111,0.8333333333333334,2.7,28.166666666666668,28.166666666666668,461.5,924.3,0.22925185595882755,0.0021850233354295296
test,qasper,0.2,w2_s1,latest_message,30,6,5,0.9666666666666667,1.5666666666666667,0.8055555555555556,0.6666666666666666,0.8666666666666667,0.9666666666666667,1.0,0.02977192277709643,2.726824084917704,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,9.166666666666666,9.166666666666666,151.16666666666666,919.3333333333334,0.22819848020767874,0.0020372833396929005
test,qasper,0.2,w2_s1,question,30,6,5,0.9666666666666667,1.5666666666666667,0.8055555555555556,0.6666666666666666,0.8666666666666667,0.9666666666666667,1.0,0.02977192277709643,2.726824084917704,0.8833333333333333,0.2961111111111111,0.28777777777777774,0.8,2.7,9.166666666666666,9.166666666666666,151.16666666666666,919.3333333333334,0.22819848020767874,0.0016702266642823816
test,qasper,0.2,w2_s1,tail16,30,6,5,0.9333333333333333,1.8333333333333333,0.8263636363636363,0.7333333333333333,0.8666666666666667,0.9,0.9666666666666667,0.03721226764221986,2.727322991689046,0.8666666666666667,0.28777777777777774,0.28111111111111114,0.8,2.7333333333333334,16.0,16.0,261.3333333333333,920.3666666666667,0.22859912888724884,0.002196716664669414
