candidate,recall_at_1,mrr,recall_at_4,r4_preserved,validation_comparisons
query_rerank:all:fixed,0.3,0.5083333333333333,0.6,True,82.9
query_rerank:residual:fixed,0.24,0.475,0.6,True,79.0
rank_conjunction:all:lambda=0.25,0.1,0.355,0.6,True,82.9
rank_conjunction:all:lambda=0.5,0.1,0.36166666666666664,0.6,True,82.9
rank_conjunction:all:lambda=1.0,0.08,0.385,0.6,True,82.9
rank_conjunction:all:lambda=2.0,0.16,0.435,0.6,True,82.9
rank_conjunction:residual:lambda=0.25,0.1,0.355,0.6,True,79.0
rank_conjunction:residual:lambda=0.5,0.1,0.36333333333333334,0.6,True,79.0
rank_conjunction:residual:lambda=1.0,0.08,0.37833333333333335,0.6,True,79.0
rank_conjunction:residual:lambda=2.0,0.08,0.39166666666666666,0.6,True,79.0
threshold_conjunction:all:threshold=-0.1833282858133316,0.12,0.389,0.58,True,82.9
threshold_conjunction:residual:threshold=-0.21166890859603882,0.12,0.38299999999999995,0.56,True,79.0
