partition,dataset,fraction,facet_config,query_support_mode,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time
test,hotpotqa,0.1,global,question,35,7,5,0.22857142857142856,2.6,0.5033333333333333,0.22857142857142856,0.4857142857142857,0.9714285714285714,1.0,-0.029292474793536322,1.7511168003082276,0.13333333333333333,0.3142857142857143,0.13333333333333333,0.0,0.6857142857142857,22.142857142857142,1.0,5.857142857142857,253.37142857142857,0.18204552328443957,0.0012744771482955132
test,hotpotqa,0.1,multiscale_2_4_8_16,question,35,7,5,0.37142857142857144,2.4571428571428573,0.5819047619047619,0.37142857142857144,0.5428571428571428,0.9428571428571428,1.0,-0.010455191800636905,1.7540911844798497,0.2380952380952381,0.5142857142857142,0.2380952380952381,0.0,0.4857142857142857,22.142857142857142,39.142857142857146,238.14285714285714,251.0,0.18006437994991278,0.0017515628565368908
test,hotpotqa,0.1,phrase_relation,question,35,7,5,0.37142857142857144,2.5142857142857142,0.5795238095238096,0.37142857142857144,0.5714285714285714,0.9428571428571428,1.0,-0.023695181709315095,1.7531857933316912,0.2380952380952381,0.5142857142857142,0.2380952380952381,0.0,0.4857142857142857,22.142857142857142,4.0,23.285714285714285,249.68571428571428,0.1789993185931172,0.001510357141627797
test,hotpotqa,0.1,token,question,35,7,5,0.2857142857142857,2.6285714285714286,0.5323809523809524,0.2857142857142857,0.5142857142857142,0.8571428571428571,1.0,-0.01601769296186311,1.7544550793511526,0.19523809523809524,0.42857142857142855,0.19523809523809524,0.0,0.5714285714285714,22.142857142857142,23.142857142857142,140.14285714285714,246.02857142857144,0.17582471541851405,0.0017425571418633419
test,hotpotqa,0.1,w16_s8,question,35,7,5,0.2857142857142857,2.5714285714285716,0.5395238095238095,0.2857142857142857,0.5714285714285714,0.8857142857142857,1.0,-0.02586041358964784,1.752979394367763,0.19523809523809524,0.42857142857142855,0.19523809523809524,0.0,0.5714285714285714,22.142857142857142,3.142857142857143,19.142857142857142,249.68571428571428,0.1789993185931172,0.0014340085675939918
test,hotpotqa,0.1,w2_s1,question,35,7,5,0.37142857142857144,2.4571428571428573,0.5819047619047619,0.37142857142857144,0.5428571428571428,0.9428571428571428,1.0,-0.010455191800636905,1.7540911844798497,0.2380952380952381,0.5142857142857142,0.2380952380952381,0.0,0.4857142857142857,22.142857142857142,22.142857142857142,134.28571428571428,251.0,0.18006437994991278,0.001723417140809553
test,hotpotqa,0.1,w4_s2,question,35,7,5,0.42857142857142855,2.2285714285714286,0.6257142857142857,0.42857142857142855,0.5714285714285714,0.9428571428571428,1.0,-0.009385636102940355,1.7536497558866229,0.2523809523809524,0.5428571428571428,0.2523809523809524,0.0,0.45714285714285713,22.142857142857142,11.142857142857142,67.57142857142857,251.0,0.18006437994991278,0.001606357142528785
test,hotpotqa,0.1,w4_s2_local_only,question,35,7,5,0.45714285714285713,2.2,0.64,0.45714285714285713,0.5714285714285714,0.9428571428571428,1.0,-0.010786350577005319,1.7539542027882167,0.26666666666666666,0.5714285714285714,0.26666666666666666,0.0,0.42857142857142855,22.142857142857142,10.142857142857142,61.714285714285715,251.0,0.18006437994991278,0.0016094371460245124
test,hotpotqa,0.1,w4_s2_top2mean,question,35,7,5,0.4,2.3714285714285714,0.6052380952380952,0.4,0.6,0.9142857142857143,1.0,-0.013203308704708304,1.753823389325823,0.2380952380952381,0.5142857142857142,0.2380952380952381,0.0,0.4857142857142857,22.142857142857142,11.142857142857142,67.57142857142857,251.0,0.18006437994991278,0.0017095485785310822
test,hotpotqa,0.1,w8_s4,question,35,7,5,0.3142857142857143,2.4857142857142858,0.560952380952381,0.3142857142857143,0.6,0.8857142857142857,1.0,-0.018353492207825183,1.7532540627888271,0.20952380952380953,0.45714285714285713,0.20952380952380953,0.0,0.5428571428571428,22.142857142857142,5.714285714285714,34.714285714285715,249.68571428571428,0.1789993185931172,0.001549828573063548
