candidate,hotpot_root_present,hotpot_mrr,hotpot_false_positives,qasper_root_present,qasper_preserved,comparisons
global,0.08888888888888889,0.3107010582010582,1.288888888888889,0.82,True,26.3
w2_s1,0.2222222222222222,0.3767724867724868,1.1333333333333333,0.78,True,328.31111111111113
w4_s2,0.2,0.3607936507936508,1.2222222222222223,0.82,True,172.04444444444442
w8_s4,0.17777777777777778,0.35114638447971785,1.2666666666666666,0.82,True,93.95555555555555
w16_s8,0.15555555555555556,0.3434920634920635,1.2666666666666666,0.8,True,60.66666666666667
w4_s2_top2mean,0.2,0.3483068783068783,1.2666666666666666,0.82,True,172.04444444444442
w4_s2_local_only,0.2,0.36333333333333334,1.2444444444444445,0.78,True,145.74444444444444
token,0.2,0.37858770858770857,1.2,0.82,True,354.6111111111111
multiscale_2_4_8_16,0.2222222222222222,0.3767724867724868,1.1333333333333333,0.78,True,571.7777777777778
phrase_relation,0.2222222222222222,0.3586568986568987,1.1555555555555554,0.8,True,64.2
