partition,candidate_k,mode,grounding_scope,rank_lambda,query_threshold,rows,edges,seeds,target_in_associative_candidates,target_rank,mrr,recall_at_1,recall_at_2,recall_at_4,query_oracle_margin,validating_facet_equals_root_rate,query_support_tokens,query_facet_count,query_root_comparisons,association_comparisons,validation_comparisons,total_search_comparisons,association_wall_time,validation_wall_time,routing_wall_time
test,4,association,all,,,35,7,5,1.0,2.142857142857143,0.5833333333333334,0.2857142857142857,0.7142857142857143,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,query_rerank,all,,,35,7,5,1.0,2.6857142857142855,0.5,0.2571428571428571,0.4,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,query_rerank,residual,,,35,7,5,1.0,2.7714285714285714,0.4880952380952381,0.2571428571428571,0.34285714285714286,1.0,-0.10601853890610592,0.0,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,82.42857142857143,6523864.571428572,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,all,0.25,,35,7,5,1.0,2.142857142857143,0.5833333333333334,0.2857142857142857,0.7142857142857143,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,all,0.5,,35,7,5,1.0,2.1142857142857143,0.5976190476190476,0.3142857142857143,0.7142857142857143,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,all,1.0,,35,7,5,1.0,2.0,0.6357142857142857,0.37142857142857144,0.7714285714285715,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,all,2.0,,35,7,5,1.0,2.6285714285714286,0.4952380952380952,0.22857142857142856,0.42857142857142855,1.0,-0.11259814756257193,0.5976190476190476,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,86.28571428571429,6523868.428571428,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,residual,0.25,,35,7,5,1.0,2.142857142857143,0.5833333333333334,0.2857142857142857,0.7142857142857143,1.0,-0.10601853890610592,0.0,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,82.42857142857143,6523864.571428572,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,residual,0.5,,35,7,5,1.0,2.085714285714286,0.5928571428571429,0.2857142857142857,0.7714285714285715,1.0,-0.10601853890610592,0.0,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,82.42857142857143,6523864.571428572,0.03498404286801815,0.0014637599998552884,0.03644780286787344
test,4,rank_conjunction,residual,1.0,,35,7,5,1.0,2.1714285714285713,0.5880952380952381,0.3142857142857143,0.6571428571428571,1.0,-0.10601853890610592,0.0,22.142857142857142,22.142857142857142,24.428571428571427,6523757.714285715,82.42857142857143,6523864.571428572,0.03498404286801815,0.0014637599998552884,0.03644780286787344
