control,partition,dataset,example_id,seed,fraction,budget,facet_config,facet_family,facet_reduction,include_global,query_support_mode,query_support_span,query_support_tokens,query_facet_count,oracle_root_parent,oracle_root_rank,oracle_root_present,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,winning_facet,winning_facet_kind,winning_facet_family,winning_facet_span,selected_parent_ids,stale_parent,stale_parent_selected,junk_target_tokens,junk_observed_tokens,q_memory_comparisons,final_parent_count,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,full_query_forward_count,independent_window_forward_count
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,latest_message,"[10, 28]",18,18,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.12590210139751434,1.6027612686157227,0.5,1.0,0.5,0.0,0,15,local,window_2,"[24, 26]",[4],,,,,90,1,193,0.15858668857847166,0.0026378000038675964,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,tail16,"[21, 37]",16,16,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.12590210139751434,1.6027612686157227,0.5,1.0,0.5,0.0,0,4,local,window_2,"[24, 26]",[4],,,,,80,1,193,0.15858668857847166,0.002045299974270165,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,tail32,"[5, 37]",32,32,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.12590210139751434,1.6027612686157227,0.5,1.0,0.5,0.0,0,20,local,window_2,"[24, 26]",[4],,,,,160,1,193,0.15858668857847166,0.002488700032699853,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,tail64,"[0, 37]",37,37,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.12590210139751434,1.6027612686157227,0.5,1.0,0.5,0.0,0,25,local,window_2,"[24, 26]",[4],,,,,185,1,193,0.15858668857847166,0.0023748999810777605,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,37,0.2,1,w2_s1,window,max,True,full_prompt,"[0, 37]",37,37,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.12590210139751434,1.6027612686157227,0.5,1.0,0.5,0.0,0,25,local,window_2,"[24, 26]",[4],,,,,185,1,193,0.15858668857847166,0.0019632999901659787,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,question,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.19930022954940796,1.6045022010803223,0.5,1.0,0.5,0.0,0,15,local,window_2,"[24, 26]",[4],,,,,90,1,193,0.15858668857847166,0.00209939997876063,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,latest_message,"[10, 28]",18,18,2,4,0.0,0.25,0.0,0.0,1.0,1.0,-0.19930022954940796,1.6045022010803223,0.5,1.0,0.5,0.0,0,15,local,window_2,"[24, 26]",[4],,,,,90,1,193,0.15858668857847166,0.001975500024855137,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,tail16,"[21, 37]",16,16,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.09724310040473938,1.6060831546783447,0.5,1.0,0.5,0.0,0,11,local,window_2,"[31, 33]",[4],,,,,80,1,193,0.15858668857847166,0.0018242999794892967,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,tail32,"[5, 37]",32,32,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.09724310040473938,1.6060831546783447,0.5,1.0,0.5,0.0,0,27,local,window_2,"[31, 33]",[4],,,,,160,1,193,0.15858668857847166,0.001957999949809164,1,0
clean_support,validation,hotpotqa,5adc3aff5542996e685252eb,53,0.2,1,w2_s1,window,max,True,tail64,"[0, 37]",37,37,2,3,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-0.09724310040473938,1.6060831546783447,0.5,1.0,0.5,0.0,0,32,local,window_2,"[31, 33]",[4],,,,,185,1,193,0.15858668857847166,0.0024516000412404537,1,0
