partition,dataset,fraction,facet_config,query_support_mode,junk_target_tokens,rows,identities,seeds,oracle_root_present,oracle_root_rank,mrr,recall_at_1,recall_at_2,recall_at_4,recall_at_8,oracle_margin,score_entropy,oracle_recall,oracle_precision,oracle_jaccard,complete_oracle,false_positive_parent_count,query_support_tokens,query_facet_count,q_memory_comparisons,active_final_kv_tokens,active_final_kv_fraction,scoring_wall_time,stale_parent_selected
test,hotpotqa,0.2,w2_s1,full_prompt,0,35,7,5,0.3142857142857143,2.8857142857142857,0.5009523809523809,0.2571428571428571,0.4857142857142857,0.8571428571428571,1.0,-0.0250432161880391,1.7553636959620884,0.2238095238095238,0.35714285714285715,0.18095238095238095,0.0,1.0857142857142856,81.14285714285714,81.14285714285714,479.85714285714283,391.7142857142857,0.2679979407042428,0.002786917142969157,0.22857142857142856
test,hotpotqa,0.2,w2_s1,full_prompt,16,35,7,5,0.4,2.7714285714285714,0.5280952380952382,0.2857142857142857,0.5428571428571428,0.8285714285714286,1.0,-0.024809730079557214,1.755298502104623,0.26666666666666666,0.4,0.20952380952380953,0.0,1.0,94.71428571428571,94.71428571428571,559.2857142857143,396.8857142857143,0.2723684096829927,0.0028773742877612157,0.17142857142857143
test,hotpotqa,0.2,w2_s1,full_prompt,32,35,7,5,0.4,2.8857142857142857,0.5147619047619048,0.2857142857142857,0.4857142857142857,0.8,1.0,-0.024365392433745522,1.7554656505584716,0.2380952380952381,0.37142857142857144,0.19047619047619047,0.0,1.0571428571428572,110.57142857142857,110.57142857142857,652.1428571428571,396.6857142857143,0.2722376052356415,0.003057774286051946,0.2571428571428571
test,hotpotqa,0.2,w2_s1,full_prompt,64,35,7,5,0.37142857142857144,2.8,0.5152380952380953,0.2857142857142857,0.45714285714285713,0.8,1.0,-0.024323805421590804,1.7554502350943428,0.2238095238095238,0.35714285714285715,0.18095238095238095,0.0,1.0857142857142856,142.71428571428572,142.71428571428572,840.4285714285714,396.6857142857143,0.2722376052356415,0.0032021314288223426,0.22857142857142856
test,hotpotqa,0.2,w2_s1,latest_message,0,35,7,5,0.3142857142857143,2.857142857142857,0.4933333333333333,0.2571428571428571,0.4,0.8571428571428571,1.0,-0.031314033828675744,1.7543240138462612,0.2238095238095238,0.35714285714285715,0.18095238095238095,0.0,1.0857142857142856,29.142857142857142,29.142857142857142,175.28571428571428,394.54285714285714,0.2699337816552222,0.0022876457161536174,0.2
test,hotpotqa,0.2,w2_s1,latest_message,16,35,7,5,0.4,2.657142857142857,0.5066666666666667,0.22857142857142856,0.5142857142857142,0.8857142857142857,1.0,-0.03286942578852177,1.7542903729847499,0.2523809523809524,0.38571428571428573,0.20952380952380953,0.02857142857142857,1.0285714285714285,29.142857142857142,29.142857142857142,175.28571428571428,394.54285714285714,0.2699337816552222,0.0023128971424219865,0.2
test,hotpotqa,0.2,w2_s1,latest_message,32,35,7,5,0.34285714285714286,2.7714285714285714,0.4971428571428571,0.22857142857142856,0.4857142857142857,0.8571428571428571,1.0,-0.03611197075141328,1.7543785197394235,0.20952380952380953,0.32857142857142857,0.17619047619047618,0.02857142857142857,1.1142857142857143,29.142857142857142,29.142857142857142,175.28571428571428,395.65714285714284,0.2708680385646665,0.002295334284592952,0.2571428571428571
test,hotpotqa,0.2,w2_s1,latest_message,64,35,7,5,0.3142857142857143,2.8285714285714287,0.4914285714285714,0.22857142857142856,0.45714285714285713,0.8571428571428571,1.0,-0.0419486691909177,1.7541413681847708,0.20952380952380953,0.34285714285714286,0.17142857142857143,0.0,1.1142857142857143,29.142857142857142,29.142857142857142,175.28571428571428,394.34285714285716,0.269802977207871,0.002285962856175112,0.22857142857142856
test,hotpotqa,0.2,w2_s1,question,0,35,7,5,0.45714285714285713,2.4285714285714284,0.5895238095238096,0.37142857142857144,0.6,0.8857142857142857,1.0,-0.014087926543184689,1.7541753223964147,0.28095238095238095,0.42857142857142855,0.2238095238095238,0.0,0.9714285714285714,22.142857142857142,22.142857142857142,134.28571428571428,393.62857142857143,0.26913032919312907,0.0019097057171165942,0.14285714285714285
test,hotpotqa,0.2,w2_s1,question,16,35,7,5,0.4857142857142857,2.2857142857142856,0.579047619047619,0.3142857142857143,0.6285714285714286,0.9142857142857143,1.0,-0.016673245041498117,1.7540688242231097,0.3238095238095238,0.4714285714285714,0.26190476190476186,0.02857142857142857,0.8857142857142857,22.142857142857142,22.142857142857142,134.28571428571428,393.62857142857143,0.26913032919312907,0.001864197146746197,0.17142857142857143
test,hotpotqa,0.2,w2_s1,question,32,35,7,5,0.45714285714285713,2.4285714285714284,0.5795238095238094,0.34285714285714286,0.6,0.9142857142857143,1.0,-0.0161777349455016,1.7542164598192487,0.3380952380952381,0.4857142857142857,0.3,0.11428571428571428,0.8571428571428571,22.142857142857142,22.142857142857142,134.28571428571428,393.62857142857143,0.26913032919312907,0.0018994485709949264,0.2
test,hotpotqa,0.2,w2_s1,question,64,35,7,5,0.4,2.4857142857142858,0.5738095238095238,0.34285714285714286,0.5714285714285714,0.9142857142857143,1.0,-0.023290775396994184,1.7540367603302003,0.30952380952380953,0.45714285714285713,0.2714285714285714,0.08571428571428572,0.9142857142857143,22.142857142857142,22.142857142857142,134.28571428571428,393.62857142857143,0.26913032919312907,0.0018740200021836375,0.14285714285714285
test,hotpotqa,0.2,w2_s1,tail16,0,35,7,5,0.3142857142857143,2.7714285714285714,0.4809523809523809,0.2,0.4857142857142857,0.8571428571428571,1.0,-0.0211195814290217,1.75418792452131,0.19523809523809524,0.2857142857142857,0.15714285714285714,0.02857142857142857,1.1428571428571428,16.0,16.0,93.71428571428571,399.9142857142857,0.2744350550813233,0.00222891999874264,0.22857142857142856
test,hotpotqa,0.2,w2_s1,tail16,16,35,7,5,0.4,2.6857142857142855,0.5176190476190476,0.2571428571428571,0.5428571428571428,0.8285714285714286,1.0,-0.01739637814462185,1.75414023739951,0.2380952380952381,0.34285714285714286,0.19047619047619047,0.02857142857142857,1.0571428571428572,16.0,16.0,93.71428571428571,399.9142857142857,0.2744350550813233,0.0022162428524877343,0.17142857142857143
test,hotpotqa,0.2,w2_s1,tail16,32,35,7,5,0.4,2.7142857142857144,0.5295238095238096,0.2857142857142857,0.5428571428571428,0.8,1.0,-0.01606890484690666,1.7541160787854875,0.2238095238095238,0.32857142857142857,0.18095238095238095,0.02857142857142857,1.0857142857142856,16.0,16.0,93.71428571428571,399.9142857142857,0.2744350550813233,0.0021122514236984508,0.2
test,hotpotqa,0.2,w2_s1,tail16,64,35,7,5,0.4,2.6857142857142855,0.5342857142857143,0.2857142857142857,0.5714285714285714,0.8,1.0,-0.01866246871650219,1.7540454694202967,0.2380952380952381,0.34285714285714286,0.2,0.05714285714285714,1.0571428571428572,16.0,16.0,93.71428571428571,399.9142857142857,0.2744350550813233,0.002156020002439618,0.14285714285714285
test,hotpotqa,0.2,w2_s1,tail32,0,35,7,5,0.3142857142857143,2.7714285714285714,0.47761904761904755,0.2,0.42857142857142855,0.8571428571428571,1.0,-0.029333330105457987,1.7545783451625279,0.19523809523809524,0.3,0.16190476190476188,0.02857142857142857,1.1428571428571428,32.0,32.0,187.42857142857142,396.0571428571429,0.27112964745936896,0.002366825712046453,0.17142857142857143
test,hotpotqa,0.2,w2_s1,tail32,16,35,7,5,0.34285714285714286,2.5714285714285716,0.49476190476190474,0.2,0.4857142857142857,0.9428571428571428,1.0,-0.023023894402597632,1.7545038291386195,0.19523809523809524,0.3,0.16190476190476188,0.02857142857142857,1.1428571428571428,32.0,32.0,187.42857142857142,396.25714285714287,0.27126045190672016,0.0023894771418002036,0.2
test,hotpotqa,0.2,w2_s1,tail32,32,35,7,5,0.37142857142857144,2.6,0.4957142857142858,0.2,0.5142857142857142,0.9142857142857143,1.0,-0.02394729716969388,1.7545502935137067,0.2380952380952381,0.34285714285714286,0.19047619047619047,0.02857142857142857,1.0571428571428572,32.0,32.0,187.42857142857142,396.25714285714287,0.27126045190672016,0.0023295314367195326,0.17142857142857143
test,hotpotqa,0.2,w2_s1,tail32,64,35,7,5,0.37142857142857144,2.5714285714285716,0.5228571428571429,0.2571428571428571,0.5142857142857142,0.8857142857142857,1.0,-0.027374151189412388,1.754434711592538,0.26666666666666666,0.37142857142857144,0.21904761904761902,0.05714285714285714,1.0,32.0,32.0,187.42857142857142,396.25714285714287,0.27126045190672016,0.002363900005418275,0.11428571428571428
