resource_type,records,median_full_tokens,p90_full_tokens,p95_full_tokens,max_full_tokens,median_selection_full_ratio
tool,18,233.5,242.0,244.0,244.0,0.3684089134908807
skill,25,468,478,480,484,0.21548117154811716
