skill_name,selection_tokens,instruction_tokens,full_tokens,selection_full_ratio,length_bucket
github_issue_triage,105,179,512,0.205078125,short
github_pr_review,101,340,675,0.14962962962962964,medium
incident_triage,102,971,1333,0.07651912978244561,long
postmortem_writing,108,173,509,0.21218074656188604,short
document_review,98,341,673,0.14561664190193166,medium
research_summary,102,965,1321,0.07721423164269493,long
meeting_summary,97,170,485,0.2,short
customer_support_reply,102,345,685,0.14890510948905109,medium
customer_escalation,109,977,1353,0.08056171470805618,long
bug_reproduction,100,176,498,0.20080321285140562,short
performance_diagnosis,100,346,687,0.14556040756914118,medium
data_quality_review,100,970,1333,0.07501875468867217,long
privacy_assessment,105,180,519,0.2023121387283237,short
security_review,97,347,681,0.14243759177679882,medium
dependency_audit,97,975,1342,0.07228017883755589,long
release_checklist,99,180,516,0.19186046511627908,short
migration_planning,103,344,684,0.15058479532163743,medium
api_design_review,104,978,1355,0.07675276752767528,long
accessibility_review,101,182,519,0.19460500963391136,short
experiment_analysis,96,348,686,0.13994169096209913,medium
model_eval_review,102,978,1353,0.07538802660753881,long
prompt_eval_design,100,178,509,0.19646365422396855,short
literature_screening,99,343,678,0.14601769911504425,medium
onboarding_plan,103,973,1339,0.07692307692307693,long
decision_record,98,171,494,0.19838056680161945,short
github_issue_deduplication,109,347,688,0.15843023255813954,medium
code_security_review,109,970,1343,0.08116157855547282,long
incident_status_update,103,173,504,0.20436507936507936,short
postmortem_action_review,109,350,704,0.15482954545454544,medium
contract_consistency_review,106,969,1332,0.07957957957957958,long
research_claim_extraction,105,176,511,0.2054794520547945,short
meeting_decision_audit,101,340,675,0.14962962962962964,medium
support_case_handoff,105,972,1339,0.07841672890216579,long
root_cause_hypothesis_review,110,183,532,0.20676691729323307,short
data_contract_review,103,344,685,0.15036496350364964,medium
threat_scenario_prioritization,110,971,1344,0.0818452380952381,long
release_notes,99,173,500,0.198,short
migration_readiness_review,103,345,685,0.15036496350364964,medium
architecture_tradeoff_review,101,972,1341,0.07531692766592095,long
ux_flow_review,107,179,524,0.20419847328244276,short
experiment_failure_analysis,101,344,681,0.14831130690161526,medium
model_error_taxonomy,98,972,1337,0.07329842931937172,long
systematic_review_protocol,105,177,507,0.20710059171597633,short
research_methodology_review,109,347,701,0.15549215406562053,medium
project_kickoff,109,975,1355,0.08044280442804429,long
retrospective_facilitation,110,175,517,0.2127659574468085,short
vendor_assessment,107,354,708,0.15112994350282485,medium
api_migration_guide,101,970,1334,0.07571214392803598,long
evaluation_dataset_review,107,181,522,0.2049808429118774,short
research_literature_review,110,345,697,0.15781922525107603,medium
