resource_type,max_candidates,condition,cases,quality_cases,context_fit_rate,required_recall_at_k,phase_a_tokens,phase_b_tokens,total_capability_tokens,all_candidate_full_tokens,candidate_full_tokens_avoided,total_disclosure_ratio,native_kv_mib,model_invocations,ttft_seconds,transition_seconds,materialization_seconds,wall_clock_seconds,capability_choice_correct,wrong_tool_choice,unsafe_tool_choice,call_parse_valid,required_argument_coverage,argument_semantic_correct,enum_type_valid,schema_valid_call,execution_acceptance,task_success,wrong_tool_execution_attempt,host_rejection
tool,2,T0_full_all,8,8,1.000000,0.875000,472.000000,0.000000,472.000000,472.000000,0.000000,1.000000,51.625000,1.000000,0.573336,0.000000,0.000238,4.361147,0.750000,0.125000,0.000000,0.875000,0.750000,0.500000,1.000000,0.875000,0.875000,0.500000,0.125000,0.125000
tool,2,T1_selection_only,8,8,1.000000,0.875000,173.875000,0.000000,173.875000,472.000000,298.125000,0.368351,19.017578,1.000000,0.405887,0.000000,0.000185,2.934662,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
tool,2,T2_selection_to_full,8,8,1.000000,0.875000,173.875000,208.000000,381.875000,472.000000,90.125000,0.808680,41.767578,1.875000,0.725190,0.002618,0.002782,5.003303,0.750000,0.250000,0.000000,0.875000,0.750000,0.250000,1.000000,0.875000,0.875000,0.250000,0.125000,0.125000
tool,2,T3_oracle_full,8,8,1.000000,0.875000,236.875000,0.000000,236.875000,472.000000,235.125000,0.501897,25.908203,1.000000,0.362047,0.000000,0.000183,4.044911,1.000000,0.000000,0.000000,1.000000,1.000000,0.375000,1.000000,1.000000,1.000000,0.375000,0.000000,0.000000
tool,4,T0_full_all,8,8,1.000000,1.000000,945.500000,0.000000,945.500000,945.500000,0.000000,1.000000,103.414062,1.000000,0.799530,0.000000,0.000330,4.634289,0.500000,0.375000,0.125000,0.875000,0.500000,0.250000,1.000000,0.875000,0.750000,0.250000,0.375000,0.250000
tool,4,T1_selection_only,8,8,1.000000,1.000000,349.125000,0.000000,349.125000,945.500000,596.375000,0.369236,38.185547,1.000000,0.839412,0.000000,0.000402,2.879545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
tool,4,T2_selection_to_full,8,8,1.000000,1.000000,349.125000,208.000000,557.125000,945.500000,388.375000,0.589377,60.935547,1.875000,1.158161,0.001649,0.001858,5.432551,0.875000,0.125000,0.000000,0.875000,0.875000,0.375000,1.000000,0.875000,0.875000,0.375000,0.000000,0.125000
tool,4,T3_oracle_full,8,8,1.000000,1.000000,236.875000,0.000000,236.875000,945.500000,708.625000,0.250535,25.908203,1.000000,0.360407,0.000000,0.000210,4.055403,1.000000,0.000000,0.000000,1.000000,1.000000,0.375000,1.000000,1.000000,1.000000,0.375000,0.000000,0.000000
tool,6,T0_full_all,8,8,1.000000,1.000000,1417.000000,0.000000,1417.000000,1417.000000,0.000000,1.000000,154.984375,1.000000,1.117652,0.000000,0.000626,4.956895,0.625000,0.375000,0.125000,1.000000,0.625000,0.250000,1.000000,1.000000,0.875000,0.250000,0.375000,0.125000
tool,6,T1_selection_only,8,8,1.000000,1.000000,523.625000,0.000000,523.625000,1417.000000,893.375000,0.369524,57.271484,1.000000,1.198100,0.000000,0.000427,3.307043,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000
tool,6,T2_selection_to_full,8,8,1.000000,1.000000,523.625000,236.250000,759.875000,1417.000000,657.125000,0.536242,83.111328,2.000000,1.582979,0.002125,0.002500,6.424007,0.750000,0.250000,0.125000,1.000000,0.750000,0.250000,1.000000,1.000000,0.875000,0.250000,0.250000,0.125000
