resource_type,policy,queries,top1,recall_at_2,recall_at_4,recall_at_8,recall_at_3
tool,bm25,144,0.4027777777777778,,,,0.5555555555555556
tool,auto_semantic,144,0.6180555555555556,,,,0.875
tool,embedding,144,0.5555555555555556,,,,0.7638888888888888
tool,fused,144,0.8125,,,,0.9375
skill,auto_semantic,50,0.52,0.64,0.74,0.8,
skill,bm25,50,0.6,0.68,0.78,0.88,
skill,embedding,50,0.68,0.86,0.92,0.96,
skill,fused,50,0.68,0.84,0.94,0.96,
