metric,source,value
baseline_em,paper2_qwen_product_demo,0.0
baseline_f1,paper2_qwen_product_demo,0.07500000000000001
evidence_recall,paper2_qwen_product_demo,0.6666666666666666
examples,paper2_qwen_product_demo,4
ingest_seconds,paper2_qwen_product_demo,6.523432299996784
materialized_kv_token_fraction,paper2_qwen_product_demo,0.06613118561817778
peak_gpu_bytes,paper2_qwen_product_demo,1208939008.0
query_encoding_seconds,paper2_qwen_product_demo,0.08449817500513745
requested_chunk_fraction,paper2_qwen_product_demo,0.20375770063270063
resident_detail_kv_bytes,paper2_qwen_product_demo,95707136.0
routed_em,paper2_qwen_product_demo,0.0
routed_f1,paper2_qwen_product_demo,0.03333333333333334
routed_wall_seconds,paper2_qwen_product_demo,2.145792950010218
routing_index_bytes,paper2_qwen_product_demo,46976.0
routing_seconds,paper2_qwen_product_demo,0.00639680000313092
tokens_per_second,paper2_qwen_product_demo,7.460267135567053
transfer_bytes_across_layers,paper2_qwen_product_demo,4194304.0
ttft_proxy_ms_cold,paper4_external_lifecycle,38.984112470643595
ttft_proxy_ms_warm,paper4_external_lifecycle,13.581262435764074
ttft_proxy_ms_hot,paper4_external_lifecycle,0.5941624694969505
