condition,pra_level,history,fallback,resource_transport,physical_hit
CURRENT_G10_PREPEND,E0,FULL,message_zero_control,text,UNKNOWN
PREFIX_PRESERVING_G10,E0,FULL,before_current_user,text,UNKNOWN
SESSION_DELTA_E0,E0,DELTA after turn 1,before_current_user,text,UNKNOWN
PRA_ENABLED_SESSION,E1 contract,DELTA after turn 1,none,ADD/UPDATE/REMOVE,UNKNOWN
