seed,condition,generation_seconds,routing_operations,selection_epochs,materialization_epochs,temporal_jaccard,layer_jaccard,baseline_selection_jaccard,selected_chunks,output_digest
11,request_shared_last,0.08600659994408488,1,1,0,1.0,1.0,1.0,2,463662d0e400
11,request_shared_first,0.0731114000082016,1,1,0,1.0,1.0,0.3333333333333333,2,28bdcfb6fbac
11,request_per_layer,0.0846725997980684,3,1,0,1.0,1.0,0.13333333333333333,15,28bdcfb6fbac
11,token_shared_last,0.09072300000116229,3,3,3,1.0,1.0,0.13333333333333333,15,28bdcfb6fbac
11,token_shared_first,0.15254259994253516,3,3,9,1.0,1.0,0.13333333333333333,15,463662d0e400
11,token_per_layer,0.10833350010216236,9,9,9,1.0,1.0,0.13333333333333333,15,463662d0e400
23,request_shared_last,0.07801899989135563,1,1,0,1.0,1.0,1.0,2,f676a11abea1
23,request_shared_first,0.09871779987588525,1,1,0,1.0,1.0,0.3333333333333333,2,f676a11abea1
23,request_per_layer,0.10455480008386075,3,1,0,1.0,1.0,0.13333333333333333,15,f676a11abea1
23,token_shared_last,0.08255489985458553,3,3,3,1.0,1.0,0.13333333333333333,15,ce72126dee24
23,token_shared_first,0.09135290002450347,3,3,9,1.0,1.0,0.13333333333333333,15,f676a11abea1
23,token_per_layer,0.08806689991615713,9,9,9,1.0,1.0,0.13333333333333333,15,f676a11abea1
37,request_shared_last,0.05467540002427995,1,1,0,1.0,1.0,1.0,2,b0080bc57b42
37,request_shared_first,0.07750969985499978,1,1,0,1.0,1.0,0.0,2,b0080bc57b42
37,request_per_layer,0.07623969996348023,3,1,0,1.0,1.0,0.13333333333333333,15,b0080bc57b42
37,token_shared_last,0.0899517999496311,3,3,3,1.0,1.0,0.13333333333333333,15,b0080bc57b42
37,token_shared_first,0.09611040004529059,3,3,9,1.0,1.0,0.13333333333333333,15,b0080bc57b42
37,token_per_layer,0.11145079997368157,9,9,9,1.0,1.0,0.13333333333333333,15,b0080bc57b42
53,request_shared_last,0.07920560007914901,1,1,0,1.0,1.0,1.0,2,5b75327e9b27
53,request_shared_first,0.0692660000640899,1,1,0,1.0,1.0,1.0,2,5b75327e9b27
53,request_per_layer,0.08078030007891357,3,1,0,1.0,1.0,0.13333333333333333,15,5b75327e9b27
53,token_shared_last,0.08889909996651113,3,3,3,1.0,1.0,0.13333333333333333,15,5b75327e9b27
53,token_shared_first,0.0970089000184089,3,3,9,1.0,1.0,0.13333333333333333,15,5b75327e9b27
53,token_per_layer,0.11857209983281791,9,9,9,1.0,1.0,0.13333333333333333,15,5b75327e9b27
71,request_shared_last,0.06756830005906522,1,1,0,1.0,1.0,1.0,2,bd25cfb29fc5
71,request_shared_first,0.06312209996394813,1,1,0,1.0,1.0,1.0,2,bd25cfb29fc5
71,request_per_layer,0.06682560010813177,3,1,0,1.0,1.0,0.13333333333333333,15,bd25cfb29fc5
71,token_shared_last,0.06719060009345412,2,2,2,1.0,1.0,0.13333333333333333,15,bd25cfb29fc5
71,token_shared_first,0.06637180014513433,2,2,6,1.0,1.0,0.13333333333333333,15,bd25cfb29fc5
71,token_per_layer,0.07348689995706081,6,6,6,1.0,1.0,0.13333333333333333,15,bd25cfb29fc5
