condition,turns,stable_turns_after_first,mean_prefix_reuse_fraction,prefix_invalidations,message_bytes_sent,resource_bytes_sent,session_delta_bytes,engine_session_reuse_turns,engine_prefix_cache_hits
CURRENT_G10_PREPEND,5,0,0.0,4,1995,0,0,0,NOT_MEASURED
PREFIX_PRESERVING_G10,5,4,0.7275613275613276,0,3355,0,0,0,NOT_MEASURED
SESSION_DELTA_E0,5,4,0.7275613275613276,0,921,0,684,4,NOT_MEASURED
PRA_ENABLED_SESSION,5,4,0.7275613275613276,0,281,2297,2012,4,NOT_MEASURED
