fixture,transport,stable_request_id,stable_session_id,incremental_deltas,cancellation_cleanup,native_reference_cleanup,status
gateway_unit,iterator,1,1,1,1,1,pass
gateway_http,openai_compatible_sse,1,1,1,1,1,pass
