source,raw_interval_count,merged_interval_count,raw_selected_tokens,unique_selected_tokens,overlap_removed_tokens,duplication_ratio,record_boundaries_preserved,status
offline_overlap_fixture,2,1,64,56,8,1.142857,1,pass
paper8_native_bug_ablation_v2_mean,,,,,48.752381,,,pass
paper8_native_bug_ablation_v2_max,,,,,,2.047872,1,pass
