fixture,model,dtype,reference_tokens,query_tokens,query_position_offset,max_abs_logit_error,mean_abs_logit_error,top_token_equal,status
offline_e0_full_reference,Qwen3-random-tiny,float32,8,4,8,5.960464477539063e-08,1.2003158467166486e-08,1,pass
paper8_checkpoint_e0,Qwen3-0.6B,float16,7,9,7,0.0390625,0.007022857666015625,1,pass
