condition,examples,ingestion_ms,native_reuse,physical_context_tokens,regime,seed,selected_native_kv_tokens,supporting_document_coverage,token_f1,total_latency_ms,ttft_ms,visible_prompt_tokens
NO_PRA_STANDARD_RAG,15,61.04209979918475,0.0,119.06666666666666,COLD,101,0.0,0.9333333333333333,0.1096969696969697,176.84036086623868,101.22098045734067,151.06666666666666
NO_PRA_STANDARD_RAG,15,61.18207219600057,0.0,119.06666666666666,WARM,101,0.0,0.9333333333333333,0.1096969696969697,182.35413886529082,104.12731666583568,151.06666666666666
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,60.48806099764382,0.0,121.46666666666667,COLD,101,121.46666666666667,0.9,0.10763014763014762,181.13130838998282,101.8429222671936,32.0
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,0.03419733063007394,1.0,121.46666666666667,WARM,101,121.46666666666667,0.9,0.10763014763014762,116.52285560655098,37.25043612842759,32.0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,59.81119980181878,0.0,121.46666666666667,COLD,101,0.0,0.9,0.10763014763014762,175.77125799531737,100.75118586731453,153.46666666666667
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,60.20559992175549,0.0,121.46666666666667,WARM,101,0.0,0.9,0.10763014763014762,176.6342749275888,101.98887772470091,153.46666666666667
NO_PRA_STANDARD_RAG,15,60.588914000739656,0.0,119.13333333333334,COLD,11,0.0,0.9333333333333333,0.1096969696969697,174.41085840109736,99.63038339822863,151.13333333333333
NO_PRA_STANDARD_RAG,15,60.60842498748874,0.0,119.13333333333334,WARM,11,0.0,0.9333333333333333,0.1096969696969697,176.2168083145904,101.55671671576177,151.13333333333333
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,61.36038887392109,0.0,121.6,COLD,11,121.6,0.8666666666666667,0.09227661227661228,186.12980000907555,106.4092416743127,32.0
PRA_NATIVE_MEMORY_NO_ADAPTOR,15,0.032019467713932194,1.0,121.6,WARM,11,121.6,0.8666666666666667,0.09227661227661228,115.62000847576807,36.38940006494522,32.0
PRA_SELECTED_CONTEXT_NO_ADAPTOR,15,60.02083627972752,0.0,121.6,COLD,11,0.0,0.8666666666666667,0.09227661227661228,176.65900026913732,100.52470853940274,153.6
