baseline,expected_action,predicted_action,count
MODEL_ESCALATION,CALL_TOOL,CONTINUE,20
MODEL_ESCALATION,CALL_TOOL,MATERIALIZE_FULL,5
MODEL_ESCALATION,CONTINUE,CONTINUE,25
MODEL_ESCALATION,CURSOR_NEXT,CONTINUE,15
MODEL_ESCALATION,CURSOR_QUERY,CONTINUE,10
MODEL_ESCALATION,MATERIALIZE_FULL,CONTINUE,25
MODEL_ESCALATION,MATERIALIZE_MORE,MATERIALIZE_FULL,25
MODEL_ESCALATION,SEARCH_RECORD,CONTINUE,25
PRA_PLUS_MODEL,CALL_TOOL,CONTINUE,20
PRA_PLUS_MODEL,CALL_TOOL,MATERIALIZE_FULL,5
PRA_PLUS_MODEL,CONTINUE,CONTINUE,50
PRA_PLUS_MODEL,CONTINUE,MATERIALIZE_FULL,25
PRA_PLUS_MODEL,CURSOR_NEXT,CONTINUE,15
PRA_PLUS_MODEL,CURSOR_QUERY,CONTINUE,10
PRA_PLUS_MODEL,MATERIALIZE_FULL,CONTINUE,25
