baseline,n,task_success,task_success_ci_low,task_success_ci_high,evidence_recall,mechanism_correct,under_expansion,over_expansion,visible_tokens,materialized_tokens,network_bytes,model_passes,latency_seconds
FULL,150,1.0,0.9750297556319235,1.0,1.0,0.0,0.0,0.0,514.8666666666667,266.4,1064.2666666666667,1.0,3.2483765806769953
COMPACT_ONLY,150,0.16666666666666666,0.115514298743043,0.23446586416900808,0.16666666666666666,0.0,0.0,0.0,238.66666666666666,18.366666666666667,73.3,1.0,1.2964810226655876
PRA_AUTO,150,0.5,0.42099012028854144,0.5790098797114586,0.5,0.5,0.0,0.0,251.53333333333333,31.233333333333334,124.16666666666667,1.0,1.4598943193148202
MODEL_ESCALATION,150,0.3333333333333333,0.262887648323876,0.41210243313214945,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,306.53333333333336,86.23333333333333,344.3666666666667,2.0,3.412933751343129
PRA_PLUS_MODEL,150,0.5,0.42099012028854144,0.5790098797114586,0.5,0.3333333333333333,0.5,0.0,319.4,99.0,395.23333333333335,2.0,3.4239003953306626
CCR_TOOL,150,0.78,0.7071769001714163,0.8388397629824609,0.78,0.78,0.22,0.16666666666666666,479.61333333333334,258.3333333333333,1031.8933333333334,2.0,4.758652644664981
