phase,dataset,condition,examples,exact_match,token_f1,answer_contained,normalized_answer_accuracy,gold_mean_token_logprob,gold_mean_logprob_delta_vs_none,materialized_unique_tokens,native_kv_token_states,native_kv_bytes,kv_reduction_vs_whole,evidence_kv_tokens,non_evidence_kv_tokens,evidence_density,memory_attention_mass,evidence_attention_mass,non_evidence_attention_mass,attention_entropy,ttft_seconds,tpot_seconds,total_generation_seconds,interval_resolution_seconds,logical_gather_seconds,logical_h2d_seconds,peak_gpu_allocated_bytes,peak_gpu_reserved_bytes,cross_shard_interval_count,conceptual_selected_parents,evidence_recall,complete_evidence_recovery,annotated_edge_recall,evidence_source_tokens,evidence_coverage,requested_materialization_tokens,deduplicated_materialization_tokens,active_kv_fraction,cpu_reference_cache_bytes,gpu_reference_cache_bytes,h2d_kv_bytes,encoding_granularity_tokens
heldout,2wikimultihopqa,M0_native_gist,32,0.25,0.26674107142857145,0.25,0.25,-4.869929333450273,-0.0023681665988988243,4.8125,19.25,78848.0,0.9685360863095238,0.0,4.8125,0.0,0.003819404489547651,0.0,0.003819404489547651,1.0078919667284936,0.6912418437532324,0.5828535982828509,3.5761342406076437,0.0,0.0,0.007135471852961928,1209669760.0,1233321984.0,0.0,4.8125,,,,83.0,0.0,4.8125,4.8125,0.004396192184823039,148341760.0,0.0,78848.0,256.0
heldout,2wikimultihopqa,M1_whole_parent,32,0.1875,0.21986607142857142,0.1875,0.1875,-4.45050950937366,0.4170516574777139,153.28125,613.125,0.0,0.0,83.0,70.28125,0.5558814639136904,0.35051722232310567,0.17147176267462783,0.1790454580491314,1.848010464105755,0.3374383593654784,0.21031407044061953,1.443221159373934,0.0,0.0,0.0,1212538336.0,1233911808.0,0.0,4.8125,,,,83.0,1.0,153.28125,153.28125,0.13937842116207685,148341760.0,0.0,0.0,256.0
heldout,2wikimultihopqa,M2_evidence_only,32,0.1875,0.21986607142857142,0.1875,0.1875,-4.445938172750175,0.42162299410119886,83.0,332.0,1359872.0,0.4441185360863095,83.0,0.0,1.0,0.20757451886311173,0.20757451886311173,0.0,1.5104347192682326,0.36444901563299936,0.24552568566687114,1.5556679156325117,0.0013055687959422357,0.0012753718729072716,0.006905193742568372,1210934320.0,1233649664.0,8.125,4.8125,,,,83.0,1.0,86.625,83.0,0.07646510378029943,148341760.0,0.0,1359872.0,256.0
heldout,2wikimultihopqa,M3_radius_2,32,0.21875,0.2615327380952381,0.21875,0.21875,-4.494414002205303,0.37314716464607045,92.0625,368.25,1508352.0,0.38135191902281745,83.0,9.0625,0.8955825137318716,0.2513078656338621,0.2016704166526324,0.04963744724591379,1.581681384705007,0.3946150125011627,0.23876998681843403,1.6257154531194828,0.000924299965845421,0.0015633250040991697,0.010168740642257035,1211139456.0,1233715200.0,8.5,4.8125,,,,83.0,1.0,96.0625,92.0625,0.08467022579025736,148341760.0,0.0,1508352.0,256.0
heldout,2wikimultihopqa,M_none,32,0.25,0.26674107142857145,0.25,0.25,-4.867561166851374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.7827163468646177,0.1898153966810458,1.7104356156123686,0.0,0.0,0.0,1209652576.0,1233256448.0,0.0,0.0,,,,83.0,0.0,0.0,0.0,0.0,148341760.0,0.0,0.0,256.0
heldout,musique,M0_native_gist,32,0.0,0.0,0.0,0.0,-15.29482188820839,-10.89715487882495,12.09375,338.625,1387008.0,0.9686082208271113,0.0,12.09375,0.0,0.13934551040163765,0.0,0.13934551040163765,1.9128112250140734,0.8607971093770175,0.29496473928468603,2.9263418687369267,0.0,0.0,0.06689599687888403,1212726864.0,1244594176.0,0.0,12.09375,,,,316.84375,0.0,12.09375,12.09375,0.004773595150832321,288239616.0,0.0,1387008.0,256.0
heldout,musique,M1_whole_parent,32,0.0,0.017433954933954936,0.0,0.0,-6.916641689836979,-2.518974680453539,385.40625,10791.375,0.0,0.0,316.84375,68.5625,0.7907767766000504,0.7268243401943307,0.5564168324729378,0.17040750724793594,2.813110465183854,0.34287457813115907,0.20728393660465372,1.7620907281234395,0.0,0.0,0.0,1221285152.0,1248395264.0,0.0,12.09375,,,,316.84375,1.0,385.40625,385.40625,0.15210386884538654,288239616.0,0.0,0.0,256.0
heldout,musique,M2_evidence_only,32,0.0,0.023863636363636365,0.0,0.0,-6.858648717403412,-2.460981708019972,316.84375,8871.625,36338176.0,0.2092232233999496,316.84375,0.0,1.0,0.6894942475116425,0.6894942475116425,0.0,2.6396899672358165,0.40139620625632233,0.30596106875028845,2.5441977375157876,0.006844028081104625,0.009277668730646838,0.07387298757384997,1219785008.0,1247477760.0,71.75,12.09375,,,,316.84375,1.0,316.84375,316.84375,0.12387357197745207,288239616.0,0.0,36338176.0,256.0
heldout,musique,M3_radius_2,32,0.0,0.02003205128205128,0.0,0.0,-6.850689522922039,-2.453022513538599,326.78125,9149.875,37477888.0,0.17919119125382646,316.84375,9.9375,0.9621214956046774,0.696909760753832,0.6637288689572804,0.03318089183328864,2.654942504396396,0.48549162499330123,0.3148245049097958,2.6900222406075045,0.00779146244894946,0.010249618735542754,0.08355837183989934,1219976832.0,1247543296.0,71.75,12.09375,,,,316.84375,1.0,326.78125,326.78125,0.1279195069287452,288239616.0,0.0,37477888.0,256.0
heldout,musique,M_none,32,0.0,0.0250999000999001,0.0,0.0,-4.39766700938344,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,0.24262586563054356,0.10311870749375798,0.8387389562522003,0.0,0.0,0.0,1212531648.0,1244594176.0,0.0,0.0,,,,316.84375,0.0,0.0,0.0,0.0,288239616.0,0.0,0.0,256.0
