catalog_size,comparison,exact_two_sided_sign_flip_p,mean_difference,same_direction_seeds,zero_difference_seeds
8,oracle_memory-minus-discovered_memory,1.0,0.0,0,5
8,oracle_memory-minus-shuffled_memory,0.0625,1.0,5,0
8,oracle_memory-minus-disabled_memory,0.0625,1.0,5,0
8,oracle_memory-minus-direct_selected,0.5,0.075,2,3
32,oracle_memory-minus-discovered_memory,1.0,0.0,0,5
32,oracle_memory-minus-shuffled_memory,0.0625,0.95,5,0
32,oracle_memory-minus-disabled_memory,0.0625,0.95,5,0
32,oracle_memory-minus-direct_selected,0.25,0.125,3,2
128,oracle_memory-minus-discovered_memory,1.0,0.0,0,5
128,oracle_memory-minus-shuffled_memory,0.0625,0.925,5,0
128,oracle_memory-minus-disabled_memory,0.0625,0.925,5,0
128,oracle_memory-minus-direct_selected,0.375,0.125,3,1
