active_fraction,argument_exact,cache_encode_ms,call_exact,call_generation_ms,catalog_size,condition,conditional_continuation_exact,context_fit_rate,end_to_end_success,examples,logical_catalog_tokens,materialized_kv_tokens,native_prompt_tokens,schema_exact,seed,selected_identity_correct,teacher_nll
0.007975693125712115,0.875,12.69462495110929,0.875,173.95684999064542,128,oracle_memory,1.0,1.0,0.875,8,5266.0,42.0,26.125,0.875,23,1.0,0.14506275550034786
0.007975693125712115,0.0,13.61289998749271,0.0,172.70620001363568,128,shuffled_memory,1.0,1.0,0.0,8,5266.0,42.0,26.125,0.0,23,0.0,2.1419379115104675
0.125,0.75,0.0,0.75,92.78465001261793,8,direct_selected,1.0,1.0,0.75,8,329.0,0.0,66.5,0.75,37,1.0,0.11951026204769732
0.0,0.25,0.0,0.25,95.00624999054708,8,disabled_memory,1.0,1.0,0.0,8,329.0,0.0,25.375,0.25,37,0.0,0.31924736350629246
0.125,1.0,13.015974982408807,1.0,182.11033748229966,8,discovered_memory,1.0,1.0,1.0,8,329.0,41.125,25.375,1.0,37,1.0,0.0067512648497540795
1.0,0.25,0.0,0.0,105.73423749883659,8,eager_catalog,1.0,1.0,0.0,8,329.0,0.0,354.375,0.25,37,0.0,0.7536411164328456
0.125,1.0,13.3799749892205,1.0,179.21266247867607,8,oracle_memory,1.0,1.0,1.0,8,329.0,41.125,25.375,1.0,37,1.0,0.0067512648497540795
0.125,0.25,13.254537479951978,0.25,182.32978752348572,8,shuffled_memory,1.0,1.0,0.0,8,329.0,41.125,25.375,0.25,37,0.0,0.6846161817957181
0.031342182890855455,0.75,0.0,0.75,90.32368753105402,32,direct_selected,1.0,1.0,0.75,8,1356.0,0.0,69.375,0.75,37,1.0,0.07691979316859943
0.0,0.25,0.0,0.25,91.11264999955893,32,disabled_memory,1.0,1.0,0.0,8,1356.0,0.0,26.875,0.25,37,0.0,0.222016971463745
0.031342182890855455,1.0,12.170675006927922,1.0,172.50830002012663,32,discovered_memory,1.0,1.0,1.0,8,1356.0,42.5,26.875,1.0,37,1.0,0.007628551406355655
,,,,,32,eager_catalog,,0.0,,8,1356.0,,,,37,,
0.031342182890855455,1.0,12.151062517659739,1.0,176.19972504326142,32,oracle_memory,1.0,1.0,1.0,8,1356.0,42.5,26.875,1.0,37,1.0,0.007628551406355655
0.03125,0.125,13.109337538480759,0.125,176.6801250341814,32,shuffled_memory,1.0,1.0,0.0,8,1356.0,42.375,26.875,0.125,37,0.0,0.7924301137884413
0.007904481579946828,0.75,0.0,0.75,90.58296246803366,128,direct_selected,1.0,1.0,0.75,8,5266.0,0.0,67.5,0.75,37,1.0,0.17908053662699785
0.0,0.125,0.0,0.125,88.75557509600185,128,disabled_memory,1.0,1.0,0.0,8,5266.0,0.0,25.875,0.125,37,0.0,0.24394667358137667
0.007904481579946828,1.0,12.492100009694695,1.0,167.97486244468018,128,discovered_memory,1.0,1.0,1.0,8,5266.0,41.625,25.875,1.0,37,1.0,0.002497472754498631
,,,,,128,eager_catalog,,0.0,,8,5266.0,,,,37,,
0.007904481579946828,1.0,12.703675078228116,1.0,167.4149000318721,128,oracle_memory,1.0,1.0,1.0,8,5266.0,41.625,25.875,1.0,37,1.0,0.002497472754498631
0.007880744398025066,0.125,12.712487514363602,0.125,174.36757500399835,128,shuffled_memory,1.0,1.0,0.0,8,5266.0,41.5,25.875,0.125,37,0.0,0.9172402594206233
0.125,1.0,0.0,1.0,91.08622500207275,8,direct_selected,1.0,1.0,1.0,8,329.0,0.0,66.5,1.0,53,1.0,0.001457251411238758
0.0,0.0,0.0,0.0,84.54923747922294,8,disabled_memory,1.0,1.0,0.0,8,329.0,0.0,25.375,0.0,53,0.0,0.3507213890552521
0.125,1.0,12.372424971545115,1.0,179.26058752345853,8,discovered_memory,1.0,1.0,1.0,8,329.0,41.125,25.375,1.0,53,1.0,1.6266442237622414e-05
1.0,0.25,0.0,0.0,101.87265000422485,8,eager_catalog,1.0,1.0,0.0,8,329.0,0.0,354.375,0.25,53,0.125,0.4713073056191206
0.125,1.0,12.190024950541556,1.0,179.26656251074746,8,oracle_memory,1.0,1.0,1.0,8,329.0,41.125,25.375,1.0,53,1.0,1.6266442237622414e-05
0.125,0.25,12.515325011918321,0.25,179.78967499220744,8,shuffled_memory,1.0,1.0,0.0,8,329.0,41.125,25.375,0.25,53,0.0,0.5859018557587774
