split,dataset,example_id,condition,evidence_recall,precision,mrr,ndcg,any_hit,path_completion,missed_evidence,logical_chunks,requested_chunks,resident_chunks,materialized_chunks,materialized_tokens,active_fraction,distractor_requests,routing_ms,gist_index_build_ms,token_index_build_ms,cold_discovery_ms,semantic_comparisons,token_comparisons
validation,hotpotqa,5ac4f8705542995c82c4ad8d,A1_broad_semantic,0.2,0.125,1.0,0.3391602052736161,1.0,0.0,0.8,65,8,65,0,0,0.0,7,2.470599953085184,5.6374999694526196,0.0,8.108099922537804,65,0
validation,hotpotqa,5ac4f8705542995c82c4ad8d,O1_oracle,0.8,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,65,4,65,0,0,0.0,0,0.02050003968179226,3.2046998385339975,0.0,3.22519987821579,0,0
validation,hotpotqa,5ae4be5c5542995ad6573e3a,B0_gist,0.16666666666666666,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,1.1517000384628773,1.8946998752653599,0.0,3.046399913728237,43,0
validation,hotpotqa,5ae4be5c5542995ad6573e3a,B1_bm25,0.3333333333333333,0.5,1.0,0.5855700749881525,1.0,0.0,0.6666666666666667,43,4,43,0,0,0.0,2,18.125100061297417,3.399300156161189,10.631700046360493,32.1561002638191,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,B2_exact,0.16666666666666666,0.25,0.5,0.24630238874073,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,20.26979997754097,2.4115999694913626,14.450000133365393,37.131400080397725,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,B3_weighted,0.16666666666666666,0.25,0.5,0.24630238874073,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,22.296200040727854,2.1396998781710863,17.72739994339645,42.16329986229539,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,B4_approx,0.16666666666666666,0.25,1.0,0.3903800499921017,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,23.41250004246831,2.2080999333411455,10.287699988111854,35.90829996392131,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,H1_union,0.16666666666666666,0.25,0.3333333333333333,0.19519002499605084,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,27.370600029826164,2.117900177836418,15.327499946579337,44.81600015424192,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,H2_token_semantic,0.16666666666666666,0.25,1.0,0.3903800499921017,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,23.807699792087078,3.4483999479562044,18.450200092047453,45.706299832090735,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,H3_semantic_token,0.16666666666666666,0.25,1.0,0.3903800499921017,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,20.579499891027808,3.606799989938736,18.736899830400944,42.92319971136749,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,H4_cascade,0.16666666666666666,0.25,0.5,0.24630238874073,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,18.086399883031845,2.414700109511614,11.26279984600842,31.76389983855188,43,43
validation,hotpotqa,5ae4be5c5542995ad6573e3a,H5_iterative_hybrid,0.16666666666666666,0.25,1.0,0.3903800499921017,1.0,0.0,0.8333333333333334,43,4,43,0,0,0.0,3,59.424800099805,2.1340998355299234,11.380800046026707,72.93969998136163,129,129
