dataset,condition,baseline,mean_difference,bootstrap_ci95_low,bootstrap_ci95_high,positive_examples,negative_examples,ties
hotpotqa,B1_bm25,B0_gist,0.2470238095238095,0.13125,0.3763392857142857,10,0,6
hotpotqa,B2_exact,B0_gist,0.13616071428571427,0.021875,0.25357142857142856,7,2,7
hotpotqa,B3_weighted,B0_gist,0.13616071428571427,0.018750000000000003,0.25625,7,2,7
hotpotqa,H5_iterative_hybrid,B0_gist,0.12872023809523808,0.017708333333333333,0.24166666666666664,10,4,2
qasper,B1_bm25,B0_gist,0.00369162087912088,-0.05099587912087912,0.06619162087912088,2,2,12
qasper,B2_exact,B0_gist,0.13967376373626372,0.052754120879120875,0.24391483516483517,10,1,5
qasper,B3_weighted,B0_gist,0.022888049450549453,-0.021978021978021976,0.07256181318681318,4,2,10
qasper,H5_iterative_hybrid,B0_gist,0.04308035714285714,-0.014285714285714284,0.1109375,4,2,10
