any_evidence,budget,candidate_chunks,chain_completion,condition,dataset,depth,evidence_coverage,exact_evidence_identity,example_id,fraction,frontier_projection,gist_comparisons,materialized_kv_fraction,materialized_kv_tokens,routing_seconds,seed,unique_selected_chunks
0.0,2,39,0.0,one_shot,hotpotqa,1,0.0,0.0,5adc3aff5542996e685252eb,0.05,memory,39,0.05258833196384552,64,0.19856059999438003,11,2
1.0,2,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5adc3aff5542996e685252eb,0.05,memory,78,0.05258833196384552,64,0.02150390000315383,11,2
0.0,2,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.0,0.0,5adc3aff5542996e685252eb,0.05,query,78,0.05258833196384552,64,0.005544000014197081,11,2
1.0,4,39,0.0,one_shot,hotpotqa,1,0.25,0.0,5adc3aff5542996e685252eb,0.1,memory,39,0.10517666392769104,128,0.004506200028117746,11,4
1.0,4,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5adc3aff5542996e685252eb,0.1,memory,117,0.10517666392769104,128,0.023527200042735785,11,4
1.0,4,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5adc3aff5542996e685252eb,0.1,query,117,0.10517666392769104,128,0.009094399982132018,11,4
1.0,8,39,1.0,one_shot,hotpotqa,1,0.5,0.0,5adc3aff5542996e685252eb,0.2,memory,39,0.21035332785538208,256,0.00551749998703599,11,8
1.0,8,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.25,0.0,5adc3aff5542996e685252eb,0.2,memory,195,0.21035332785538208,256,0.0164132000063546,11,8
1.0,8,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.25,0.0,5adc3aff5542996e685252eb,0.2,query,195,0.21035332785538208,256,0.01680749998195097,11,8
1.0,12,39,1.0,one_shot,hotpotqa,1,0.75,0.0,5adc3aff5542996e685252eb,0.3,memory,39,0.3155299917830731,384,0.00963769998634234,11,12
1.0,12,39,0.0,chunk_closure_memory_frontier,hotpotqa,2,0.5,0.0,5adc3aff5542996e685252eb,0.3,memory,273,0.3155299917830731,384,0.022714100021403283,11,12
1.0,12,39,0.0,chunk_closure_query_frontier,hotpotqa,2,0.5,0.0,5adc3aff5542996e685252eb,0.3,query,273,0.3155299917830731,384,0.023944499960634857,11,12
1.0,2,40,0.0,one_shot,hotpotqa,1,0.25,0.0,5ab56db7554299494045efc6,0.05,memory,40,0.05035405192761605,64,0.003040499985218048,11,2
