any_evidence,bridge_locality_score,budget_parents,candidate_parents,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_evidence_identity,example_id,fraction,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,parent_entropy,path_depth,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,unique_parents_selected
1.0,0,2,6,1.0,one_shot_parent,0,hotpotqa,0.5,0.0,5ab2b863554299295394685a,0.3,0,0,0,0,0.33485938521909747,512,0,0,1,0,0.0038040000363253057,11,6,2
1.0,0,2,6,1.0,parent_closure,0,hotpotqa,0.5,0.0,5ab2b863554299295394685a,0.3,0,0,0,0,0.33485938521909747,512,0,0,2,0,0.005684000032488257,11,12,2
1.0,0.19016239047050476,2,6,1.0,local_gist_closure,1,hotpotqa,0.5,0.0,5ab2b863554299295394685a,0.3,3.8651208877563477,1.0,56,1.2906706471157339,0.33485938521909747,512,0,1.7906033992767334,2,0,0.009610500012058765,11,54,2
0.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.1,0,0,0,0,0.2222222222222222,256,0,0,1,0,0.0027227000100538135,11,5,1
0.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.1,0,0,0,0,0.2222222222222222,256,0,0,1,0,0.00422410003375262,11,5,1
0.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.1,0.0,1.0,8,1.0,0.2222222222222222,256,0,1.6057995557785034,1,0,0.003122700029052794,11,5,1
0.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.2,0,0,0,0,0.2222222222222222,256,0,0,1,0,0.0028880999889224768,11,5,1
0.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.2,0,0,0,0,0.2222222222222222,256,0,0,1,0,0.002611099975183606,11,5,1
0.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.0,0.0,5a710a915542994082a3e504,0.2,0.0,1.0,8,1.0,0.2222222222222222,256,0,1.6057995557785034,1,0,0.002414099988527596,11,5,1
1.0,0,2,5,0.0,one_shot_parent,0,hotpotqa,0.5,0.0,5a710a915542994082a3e504,0.3,0,0,0,0,0.4444444444444444,512,0,0,1,0,0.005842800019308925,11,5,2
1.0,0,2,5,0.0,parent_closure,0,hotpotqa,0.5,0.0,5a710a915542994082a3e504,0.3,0,0,0,0,0.4444444444444444,512,0,0,2,0,0.006277400010731071,11,10,2
1.0,0.6653786301612854,2,5,0.0,local_gist_closure,1,hotpotqa,0.5,0.0,5a710a915542994082a3e504,0.3,3.6662280559539795,1.0,48,1.9341324625854803,0.4444444444444444,512,0,1.604144811630249,2,0,0.0093324999907054,11,45,2
1.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.1,0,0,0,0,0.21386800334168754,256,0,0,1,0,0.0028156000189483166,11,5,1
1.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.1,0,0,0,0,0.21386800334168754,256,0,0,1,0,0.002608699956908822,11,5,1
1.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.1,0.0,1.0,8,1.0,0.21386800334168754,256,0,1.5713987350463867,1,0,0.0027020000270567834,11,5,1
1.0,0,1,5,0.0,one_shot_parent,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.2,0,0,0,0,0.21386800334168754,256,0,0,1,0,0.005010300024878234,11,5,1
1.0,0,1,5,0.0,parent_closure,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.2,0,0,0,0,0.21386800334168754,256,0,0,1,0,0.004009799973573536,11,5,1
1.0,0.0,1,5,0.0,local_gist_closure,0,hotpotqa,0.3333333333333333,0.0,5adc93a4554299438c868e01,0.2,0.0,1.0,8,1.0,0.21386800334168754,256,0,1.5713987350463867,1,0,0.0036912999930791557,11,5,1
