seed,condition,visible_tokens,new_materialized_tokens,logical_reuse_tokens,prefix_cached_tokens,native_reuse_tokens,quality,ttft_ms,measurement_status
11,full_context,72,72,0,,,1.0,,CONTROLLED_ACCOUNTING
11,selected_context_without_logical_reuse,88,28,0,,,1.0,,CONTROLLED_ACCOUNTING
11,session_aware_selected_context,72,12,16,,,1.0,,CONTROLLED_ACCOUNTING
11,native_memory,,,,,,,,NOT_MEASURED
23,full_context,72,72,0,,,1.0,,CONTROLLED_ACCOUNTING
23,selected_context_without_logical_reuse,88,28,0,,,1.0,,CONTROLLED_ACCOUNTING
23,session_aware_selected_context,72,12,16,,,1.0,,CONTROLLED_ACCOUNTING
23,native_memory,,,,,,,,NOT_MEASURED
37,full_context,72,72,0,,,1.0,,CONTROLLED_ACCOUNTING
37,selected_context_without_logical_reuse,88,28,0,,,1.0,,CONTROLLED_ACCOUNTING
37,session_aware_selected_context,72,12,16,,,1.0,,CONTROLLED_ACCOUNTING
37,native_memory,,,,,,,,NOT_MEASURED
53,full_context,72,72,0,,,1.0,,CONTROLLED_ACCOUNTING
53,selected_context_without_logical_reuse,88,28,0,,,1.0,,CONTROLLED_ACCOUNTING
53,session_aware_selected_context,72,12,16,,,1.0,,CONTROLLED_ACCOUNTING
53,native_memory,,,,,,,,NOT_MEASURED
71,full_context,72,72,0,,,1.0,,CONTROLLED_ACCOUNTING
71,selected_context_without_logical_reuse,88,28,0,,,1.0,,CONTROLLED_ACCOUNTING
71,session_aware_selected_context,72,12,16,,,1.0,,CONTROLLED_ACCOUNTING
71,native_memory,,,,,,,,NOT_MEASURED
