variant,comparator,dataset,condition,mean_delta_logp_difference,std,ci95,same_direction
lora_o_r32_s64_lr1,fixed,hotpotqa,oracle,2.1637105542115025,1.1476286406124039,1.4247407227315978,True
lora_o_r32_s64_lr1,fixed,hotpotqa,routed,-10.541032165288925,3.8996755763752535,4.841310509764554,True
lora_o_r32_s64_lr1,fixed,qasper,oracle,3.1969851650297643,0.8945669645293658,1.1105735239365069,True
lora_o_r32_s64_lr1,fixed,qasper,routed,3.590448744595051,1.003370528996406,1.2456493346899087,True
lora_o_r16_s32_lr1,fixed,hotpotqa,oracle,0.9371633191334695,0.9992863994179286,1.2405790310032874,False
lora_o_r16_s32_lr1,fixed,hotpotqa,routed,-10.148668982088566,2.8004612798433106,3.4766744978555826,True
lora_o_r16_s32_lr1,fixed,qasper,oracle,3.4805852711200713,0.7299622397675581,0.90622252900401,True
lora_o_r16_s32_lr1,fixed,qasper,routed,3.776244115829468,0.7918927457408586,0.9831070809549348,True
lora_o_r8_s128_lr2,fixed,hotpotqa,oracle,1.3178272517144705,2.0573492806915175,2.5541270035920403,False
lora_o_r8_s128_lr2,fixed,hotpotqa,routed,-13.639963030815125,4.403121003627809,5.466320357459681,True
lora_o_r8_s128_lr2,fixed,qasper,oracle,2.9333723917603494,0.7929268999231105,0.9843909471159007,True
lora_o_r8_s128_lr2,fixed,qasper,routed,3.316789096593857,0.7934949162924134,0.9850961195243656,True
combo_residual_32_lora_o_r32_s64_lr1,fixed,hotpotqa,oracle,2.465188252934786,0.8099689086904611,1.0055480035266195,True
combo_residual_32_lora_o_r32_s64_lr1,fixed,hotpotqa,routed,-9.95805503288284,3.411852123562877,4.235694795647793,True
combo_residual_32_lora_o_r32_s64_lr1,fixed,qasper,oracle,3.6172153875231743,0.7125792433034196,0.8846421483223796,True
combo_residual_32_lora_o_r32_s64_lr1,fixed,qasper,routed,3.9857830688357354,0.662938333598937,0.8230146992795624,True
