dataset,groups,max,mean,mean_best_distractor_quantile,mean_entropy,mean_oracle_score_quantile,mean_top1_top2_margin,mean_top4_spread,median,method,min,q05,q25,q75,q95,score_family,scores,std
hotpotqa,85,0.5670632123947144,-0.11222116649150848,0.8256862745098039,1.6782828751732322,0.5674325674325674,0.06868519986815312,0.1972272715147804,-0.13307520747184753,local_gist_closure,-0.5416469573974609,-0.43670544028282166,-0.3047260046005249,0.06096179038286209,0.28447338938713074,propagated_semantic,505,0.22888600826263428
hotpotqa,80,0.4916124641895294,-0.3970806300640106,0.8860416666666667,1.8075155794620514,0.5455238095238095,0.05532455095089972,0.1751224035397172,-0.44923311471939087,local_gist_closure,-0.849675178527832,-0.7614021897315979,-0.626108705997467,-0.21544061601161957,0.15194587409496307,root_semantic,520,0.2829785943031311
hotpotqa,85,16.11253547668457,13.952868461608887,0.8688524590163934,0.4890776599154753,0.5614035087719298,0.03643051147460938,0.02804867239559398,13.891850471496582,native_qk_max_topk_p20,11.497359275817871,12.85628890991211,13.216888427734375,14.541786193847656,15.836638450622559,native_qk,155,0.8628491163253784
hotpotqa,80,0.4916124641895294,-0.3970806300640106,0.8860416666666667,1.8075155794620514,0.5455238095238095,0.05532455095089972,0.1751224035397172,-0.44923311471939087,native_qk_max_topk_p20,-0.849675178527832,-0.7614021897315979,-0.626108705997467,-0.21544061601161957,0.15194587409496307,root_semantic,520,0.2829785943031311
hotpotqa,85,12.925042152404785,12.164504051208496,0.7213114754098361,0.48881261699339923,0.7309941520467835,0.04695322036743164,0.033516401403090534,12.235990524291992,native_qk_top4_topk_p20,9.150919914245605,11.547380447387695,11.968100547790527,12.522577285766602,12.686075210571289,native_qk,155,0.49894997477531433
hotpotqa,80,0.4916124641895294,-0.3970806300640106,0.8860416666666667,1.8075155794620514,0.5455238095238095,0.05532455095089972,0.1751224035397172,-0.44923311471939087,native_qk_top4_topk_p20,-0.849675178527832,-0.7614021897315979,-0.626108705997467,-0.21544061601161957,0.15194587409496307,root_semantic,520,0.2829785943031311
hotpotqa,85,0.39800676703453064,-0.3436250388622284,0.8632126696832579,1.681324808737811,0.516999666999667,0.04565695841961047,0.14454984660534298,-0.38698285818099976,parent_closure,-0.6724967360496521,-0.5964420437812805,-0.46971699595451355,-0.22570087015628815,0.0019065727246925235,propagated_semantic,505,0.1847497820854187
hotpotqa,80,0.4916124641895294,-0.3970806300640106,0.8860416666666667,1.8075155794620514,0.5455238095238095,0.05532455095089972,0.1751224035397172,-0.44923311471939087,parent_closure,-0.849675178527832,-0.7614021897315979,-0.626108705997467,-0.21544061601161957,0.15194587409496307,root_semantic,520,0.2829785943031311
qasper,190,0.5025385618209839,0.010318336077034473,0.9964845826687931,2.7987096849240753,0.4126443589340817,0.041267153650130096,0.09582138328175796,0.02658868581056595,local_gist_closure,-0.5278515219688416,-0.27709949016571045,-0.10497529804706573,0.13349758088588715,0.2675027549266815,propagated_semantic,3370,0.16806887090206146
qasper,80,0.6385114789009094,-0.3143068850040436,0.9558965599617772,2.8124197751283644,0.6570405029752856,0.11829751012846827,0.24028702303767205,-0.3248707950115204,local_gist_closure,-0.8623396754264832,-0.6835437417030334,-0.505806565284729,-0.14750951528549194,0.1150548905134201,root_semantic,1455,0.24963945150375366
qasper,190,16.74533462524414,14.294259071350098,0.985438596491228,1.4626949420100763,0.4475732600732601,0.06945977963899311,0.1372151073656584,14.281625747680664,native_qk_max_topk_p20,12.484850883483887,13.337337493896484,13.890364646911621,14.670409202575684,15.429052352905273,native_qk,875,0.6336411833763123
qasper,80,0.6385114789009094,-0.3143068850040436,0.9558965599617772,2.8124197751283644,0.6570405029752856,0.11829751012846827,0.24028702303767205,-0.3248707950115204,native_qk_max_topk_p20,-0.8623396754264832,-0.6835437417030334,-0.505806565284729,-0.14750951528549194,0.1150548905134201,root_semantic,1455,0.24963945150375366
qasper,190,13.649917602539062,12.467850685119629,0.9839348370927318,1.4643433903392993,0.423992673992674,0.06358809220163446,0.1371822256790964,12.399199485778809,native_qk_top4_topk_p20,11.46542739868164,12.065715789794922,12.265915870666504,12.648954391479492,13.083551406860352,native_qk,875,0.3127405643463135
qasper,80,0.6385114789009094,-0.3143068850040436,0.9558965599617772,2.8124197751283644,0.6570405029752856,0.11829751012846827,0.24028702303767205,-0.3248707950115204,native_qk_top4_topk_p20,-0.8623396754264832,-0.6835437417030334,-0.505806565284729,-0.14750951528549194,0.1150548905134201,root_semantic,1455,0.24963945150375366
qasper,190,0.36529991030693054,-0.16226106882095337,0.9955857921318447,2.799034669524745,0.34332011692136777,0.033504178345595534,0.07607482028634925,-0.14907212555408478,parent_closure,-0.586775541305542,-0.43934810161590576,-0.2814220190048218,-0.04248218238353729,0.08878323435783386,propagated_semantic,3370,0.16239479184150696
qasper,80,0.6385114789009094,-0.3143068850040436,0.9558965599617772,2.8124197751283644,0.6570405029752856,0.11829751012846827,0.24028702303767205,-0.3248707950115204,parent_closure,-0.8623396754264832,-0.6835437417030334,-0.505806565284729,-0.14750951528549194,0.1150548905134201,root_semantic,1455,0.24963945150375366
